"Florida Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",76.4056927277098,72.33627176247089,75.63768956720779,79.4179847221178,81.5070716820652,83.19635057292639,85.48846380813909,87.4459252780465,89.5027621464547,93.76223284642549,99.4708192609786,97.61780816666189,100.1200008111488,101.0346238382718,107.32464939247639,109.35452225547878,110.1442711165611,107.7080476215528,100.5676170275698,96.9341211172697,101.0591951927932,98.31223748478358,97.9383506328161,97.8484148664731,99.33387820113988,101.6016032021778,104.73119306324901,107.36988676490199,111.69713109091681,110.70327310974379,93.712898209362,110.42880029269308
"Electric power industry",90.01496871533371,95.65282163841854,94.13957857435726,98.05485925958385,100.36026188210491,102.6776043865786,107.7042815359215,110.9835904653032,121.51297472521316,118.17444548241471,120.6528159981128,121.97991035409267,125.40064362493689,130.2286402133743,130.56531502741026,130.90193172942486,127.50103560810811,128.7366498512906,121.3081925514662,114.6963958371502,123.85476003315729,114.90907110993315,111.4209686898159,109.23245470394565,113.96065585045375,112.28349727702626,110.64397882723365,107.540434307588,104.76975082398525,98.28335971889226,96.24545447118531,95.0706623154433
"Industry",19.59454892836704,18.935091479297384,20.310686558124587,21.611722406972564,22.670910564937312,24.064858988965348,24.129483682699426,23.004387147427654,23.152321519696837,22.55201764985167,22.35176366829468,21.596355128445932,20.61854999076571,21.299542148097217,21.7513399339102,24.5406376883968,27.227554058912496,29.46551635456922,22.516935015619694,20.642191582119292,20.41982806416672,24.9026362519437,21.041335853091528,21.100386739710594,21.0054203855988,22.115144511548127,25.623268060968122,26.394060947340858,29.404316429106355,26.25877594552475,27.71853062744615,27.38485773476029
"Commercial",16.2695656850731,15.156516294036802,15.057128670778997,13.6341692682395,13.119754139799598,12.805411084440701,12.753827669409,11.7876111825938,11.5477584763002,11.9166101733953,13.4751109107197,13.588711833844599,14.079572799024598,14.909493241935502,16.5914572521973,17.3896013365422,17.223484896589298,15.813549838433499,15.2987251846504,15.434901844674302,19.0486022414648,17.056548141486203,18.1825187110051,18.4450330623453,18.6872346222795,20.908393774220105,22.094896217037498,22.2153832862173,22.5309220321283,24.239957816274003,21.5054899984815,21.789522431720897
"Agriculture",11.120501077292301,11.0751131891624,11.0986191189312,11.3530955156012,11.5584178120873,11.4890272710022,11.2357267151867,11.4918232750291,11.2524749199596,13.510858568793,13.073834956863701,11.4407306475063,11.672899628537301,11.8664988606034,11.011587377931301,11.268111869327099,10.735342506281402,10.5995235160123,10.1692075097853,10.1749199593329,11.9945087071669,10.603211254381801,10.5898309790608,10.9176780623046,10.4465204620344,10.2250744272814,9.8902244761366,9.7884391041359,9.915874594956598,9.5337200867916,9.2306445440505,9.0353207720862
"Residential",1.7861925414869,1.8575679346289,2.0295032171222998,1.7882860136364997,1.6859807876344,2.0609030808423996,2.3075026128259,2.0340282663786002,2.1138762914171,2.1029112247602,2.2257191171737,2.0811221069569,1.9899979899309,1.9792039691188,2.0804983581868,1.9671068746788003,1.9684777003195,1.9339568865227,2.0475647611607997,2.5116815850534,2.820022930242,2.6441284631274002,2.7719941695644,3.0265599766922997,3.3969890978555,3.5345960904585,4.001732697239101,4.2285483555062005,4.5924290379407,5.6911146371940005,5.2650634199246005,6.256995539032699
"Gross total",215.19146967526285,215.01338229801493,218.27320570652216,225.86011718615146,230.90239686862873,236.2941553847556,243.61928602418163,246.74736561477886,259.0821680790416,262.0190759456404,271.2500639121432,268.3046382375083,273.8816648443442,281.318002271401,289.3248473421122,295.4219117538485,294.80016588677194,294.25724406838117,271.90824205025217,260.3942119255998,279.19691716899086,268.4278327056558,261.9449990353538,260.5705274114715,266.83069861936184,270.6683092827122,276.98529334186395,277.53675276569015,282.910424009034,274.71020131442043,253.67808127045004,269.9661590857365
