"Louisiana Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Industry",142.17344691910606,138.21394109168457,144.76297516519676,144.51369500691789,145.97251285246477,146.44292783415665,149.39704272396065,156.16675629611123,145.23351367581103,141.1266803732199,145.91920517063787,130.80649010730065,132.67317332523018,125.55907144278542,133.8103459058481,129.00476884742488,138.85175787347885,145.8475922607329,139.96556080264364,127.899284635513,139.18067588181827,139.16706609688197,137.39023586494991,131.90504755948908,129.36496802979153,129.43931029295106,131.73576373578135,135.60298236163692,140.9996667894293,147.61286479802334,136.88853043195112,135.9149008962153
"Transportation",33.739314105825095,34.3895629919742,36.428806198053394,36.8902859282412,39.433426363693094,39.481186917977894,41.62301828980961,38.4894121403474,38.09338219166911,41.5159915255713,46.7735474270708,41.2806885517155,43.036586981275896,43.283374468162606,41.6686284608825,40.18075754501879,42.8136754523504,39.1675101844385,36.273519809652804,35.67118227932709,31.4323792191526,31.953603996912,30.539580284072503,30.028662058299,29.676216029168305,28.691026344652,30.7514961758906,32.1330757827506,32.230088914468894,34.5463940744841,32.4683338998799,39.0926875676468
"Electric power industry",34.92484958125016,35.00288750567861,36.3879276025802,38.31336611092859,39.372532897823746,40.252538708576445,35.93580776982985,39.677925947647346,41.98313383765309,41.95732850748905,43.4187140120066,39.99915423302295,42.241370812906446,39.8806322146479,41.861446265614,43.76774631374875,38.746123869467546,38.99509014943575,40.74189658018715,38.546395234715355,43.322737311526254,47.03920236443455,43.81028983657155,41.56742789457051,40.00133751581205,39.8629733580188,36.721439258937956,33.8937681697008,34.34900727115585,31.03027884537105,27.87338681703225,30.775086032935004
"Agriculture",9.592193367523,9.4818750254522,9.7048864597944,9.138146556470701,9.7919798392946,9.2990984974453,9.896394047268,9.349766929383799,10.0084360929501,10.066054498831399,9.924483148066098,9.4132246890111,9.4414634361562,9.2674383702255,9.3258327378934,9.5630801138086,8.5573809543777,9.2734218859311,9.0256268114295,9.497386625753899,9.2954228176232,8.9218060590831,9.3885739283321,9.035584340801101,9.7847522484962,9.392568723469498,9.5385582317474,9.5165353577014,9.782534206690901,9.3663402977192,9.3409484991386,9.0880414303054
"Commercial",5.9364881148309,5.8948916878972994,5.7789619233539,5.3811310002274,5.364834183952899,5.0544016681845,4.9973434493165,5.1147515816699,4.6363275110757005,4.851665789386099,6.2239346345436,5.1964265602456,5.2168301804896995,5.984060865169201,5.594624213637501,5.595943925019601,4.7080148189238,7.9137071749468,4.9957238951974,5.620163914854,5.723560116203701,5.7511762767235,5.4839224158349005,5.833525243510201,5.886121121860999,6.3525348088918,6.4809916555051,6.739056540909601,7.5218693006481,7.0480689196591,6.5008564694215005,6.644047882068199
"Residential",3.1837197058648,3.2927711767739,3.3652703926316994,3.3536302943079,3.1623552238137997,3.2719463669024,3.5847968749444,3.6451844384700003,3.2545260620376,3.165934739798,3.5532668771882,3.3455109529311,3.1519737832635997,2.9841116977252997,2.7020229681794006,2.6370939642321,2.2116334235679997,2.3482884043546997,2.4253346513457004,2.4664140670315,2.9747136534619996,2.6833544478122,2.1905220232123,2.6392151389125,3.0286374271197,2.6332799917858996,2.3227270262911004,2.2517281602372,2.7938657254589,2.683408242424,2.6440741704102,3.0390146860862
"Gross total",229.5500117944,226.27592947946079,236.42882774161035,237.5902548970937,243.0976413610429,243.8020999932432,245.43440315512902,252.4437973336297,243.2093193711966,242.68365543429573,255.81315126951318,230.04149509422692,235.761398519322,226.95868905871592,234.9629005520549,230.74939070925274,235.88858639216627,243.54561005983976,233.4276625504562,219.70082675719487,231.92948899978606,235.51620924184732,228.8031243529733,221.0094622355824,217.7420323722488,216.37169351976905,217.5509760841535,220.13714637293654,227.67703220785194,232.2873551776808,215.71613028783355,224.55377849525692
