"Hawaii Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",7.8819536761737,7.232314279847401,7.3980635004377,6.8912276060813,7.449297972263201,7.4176213478569,7.4171015174064,7.3147429682807,7.1892095851694,7.216644901747201,7.5999284682382005,7.4472371676186,7.851876325066301,8.2727359332244,8.6933681031558,9.562282020799602,9.8515023482369,9.1509353248005,7.8337869545839,7.2589438480817,8.137531072547699,8.4529510622284,8.376639640997,8.676915782223201,8.8010329003196,8.833062560533602,8.926694479459199,9.289560126435601,9.214686681078499,9.5094056517011,6.1543148078222005,8.170242090047699
"Electric power industry",7.4423490789131,6.30628088229455,7.2704518143096,7.40973150215605,7.5862501947944,7.8639035026196,8.1505597477668,8.08692069250575,7.91274154175455,8.0513410118387,8.1588842047758,8.057408511818899,8.567999653245899,7.890799991539499,8.188120574651549,8.1387218737869,8.21667348172495,8.2171066778909,8.0385560745724,7.80898620393055,7.6989550449375,7.518252477396301,7.2351025520387,7.0184854888529005,6.93434441873855,6.806454297109249,6.798528687441499,6.68080486059035,6.710395634583549,6.6891532381966,6.25120970111295,6.1307416990536
"Commercial",1.6652935276608998,1.2562832576437,1.6703044424235,1.0957750873014,1.2703923221696,1.0100741117808,0.9592186665481999,0.9511148100526,1.6536808961282,0.7780186575374001,0.7920021360080002,0.7865779025856998,0.8595043035147001,0.8348014179761999,0.9118278310634,0.9139855072067,0.9065132306075,0.8856187607495,0.8865785449570001,0.9268149840701999,1.0078335192398,1.1023879634446,1.1232976074081,1.0783416060654,1.1085125536696998,1.1888948178576,1.0692939733665,1.1349511566217,1.0737559784372999,1.1572331298014,1.0887075368229,1.1241033694216
"Industry",2.2876966783246573,2.2200841152912076,2.184551741735658,2.225164360612422,2.450226117772828,2.6007519193384554,2.4228679971483484,2.2421178391301217,1.7836775402360665,1.561788606858592,1.5460715052747769,1.5968909300697018,1.6209464066773884,1.763655487503151,1.7591837692632286,2.048266715441917,2.140715734723214,2.0687732805789945,1.9364421243048884,1.7977243937400205,1.6634275000972354,1.7746873170470316,1.618128367437948,1.6312819779683265,1.5473646637014242,1.5978355245728928,1.5532843242492458,1.6148633638008856,1.3462272243359235,1.3955033071570997,1.1547653486604625,1.0739245885123618
"Agriculture",0.7569858323498,0.7598587865915999,0.7036835543631,0.7355625953834,0.7069454370398,0.6736019861322,0.6649385935582,0.6603009909642998,0.7153032017429,0.6716415397039999,0.6668508784312,0.5697765884432,0.556093565668,0.5376459847916,0.5435495583361,0.5286905096121,0.5495340875960999,0.5270803867615,0.4836596957172,0.5103077921643999,0.4726071094213,0.46283832202709996,0.4519567587872,0.43013509934349997,0.4155578636685,0.4205318023912,0.4031820198304001,0.4200465969653,0.41590751868540005,0.42281890983649995,0.41382822101230005,0.40899333869020005
"Residential",0.0148857869423,0.016490501002399998,0.04692289584480001,0.012412678055399999,0.0126254812045,0.0453562784491,0.052108551942599994,0.0652936064029,0.10478049209559999,0.0791509570508,0.09299350260809999,0.09116572280190001,0.0882140076149,0.07270818871529998,0.070607327302,0.0705785207169,0.0767105872948,0.07344098230430002,0.11367174017289998,0.1167327667852,0.12562766577729997,0.13113351686289998,0.1666409841364,0.1530952323984,0.16542313372159997,0.1530975560493,0.1702693426996,0.1688544792418,0.16718936422410002,0.1822541347253,0.200178753116,0.2407086943618
"Gross total",20.04916458036446,17.791311822670863,19.273977949114357,18.369873829589974,19.475737525244327,19.611309146177057,19.666795074370548,19.32049090733637,19.359393257126715,18.358585674736695,18.85673069533608,18.549056823338002,19.544634261787188,19.372347003750146,20.166657163772072,21.262525147564116,21.74164947018347,20.9229554130857,19.29269513430829,18.419509988772074,19.105981912020834,19.442250659006334,18.97176591080535,18.988255186851728,18.972235533819372,18.999876558513844,18.921252827046445,19.30908058365564,18.928162401344775,19.356368371418004,15.263004368546817,17.148713780087263
