"Oregon Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",18.5891506768162,18.642537187283498,19.324361800537698,19.6461472486438,19.9022337603751,20.2199618299037,21.2574098330352,20.9266866578867,22.212672435263396,22.689436164004597,22.3610961629797,21.5850582012677,22.1429758899135,22.483510164493502,22.6423247655169,22.805278280395196,22.9623296411983,23.060042577533903,21.592993863632397,21.1883918965528,20.534904004560694,19.8162188125255,19.3653722790048,19.2872732808042,19.659061174235596,19.9630904063481,20.428725486480598,20.9256391742296,21.558071294258,20.8982777396069,18.9641548282527,20.351500339196303
"Electric power industry",2.5125766794867004,4.2744628254368,5.170625599544149,4.938085761311251,6.063913344838751,3.3178875627057,3.8578675094416,3.2678758834193506,6.8679198379257,7.011481012688149,7.985222520030551,9.170063895644903,6.9913371401183495,8.687892363834248,8.629573909014299,8.634802350858399,6.844057055657549,10.136638716223349,10.549517774887,9.292745785718049,10.20667359071645,6.9837773257236995,7.421534932242951,9.552594307652198,8.5067323569705,9.056545262942949,8.3612942059709,8.0353018517295,8.840070968235901,11.0902509774095,9.38764683369325,8.728400075179747
"Agriculture",7.3069493424816985,7.214767360420099,7.150462170489699,7.5149256757799,7.476383260240599,7.9960345148883,7.618159067820502,7.9095766427592995,8.084984575856701,7.494688509423101,7.5089265004217,7.268992773210998,7.7507972146515,7.8329936393483,8.022336893079299,8.0819762795193,7.815957446963601,7.6765435223133,7.6646925326389,8.0545927824511,7.9959415018338005,8.152751991021901,7.958526416280399,7.8535205525911,7.7525984557134,7.3635972703029,7.2476076076619,7.6497022875129,7.601695087999,7.8052803224996,7.6898118433512,7.5454497905374005
"Industry",9.462027517647764,9.605446684133568,9.83070328772002,9.34621100960121,9.291005609900656,9.914653176710782,10.721006709059404,11.265963185224479,12.151249356164445,12.592716951462105,10.119445324722438,8.404363363178321,8.41809854544067,8.003346095713859,8.405445956077946,8.187740530021062,8.937849711699036,8.823769317837144,8.545200075661791,7.206829933123444,6.678471653684408,6.949744508708548,6.614557998280856,6.767008688132424,6.726926090054421,6.838924789562966,6.900382197298882,6.951808006626673,6.756666750176317,6.955847528768438,6.998780335518843,7.263383930231559
"Commercial",4.3032888085423,4.6647918287144,4.4620564515477,4.5134411193699,4.473618605407901,4.589440773370001,4.6875102818409,4.5530019158195,4.43407527089,4.5271194605338,4.552156373323699,4.6345264790153005,4.6464980152211,4.4607785479943,4.5193793220705,4.5981647133228005,4.7003548365649,4.9243967804836,4.9500623780881,4.7054754092914,4.0606906085667,3.966047009525001,3.7982498736991004,3.9067180583445,3.8740548308977,4.185061974644501,4.0716756733031,4.4826785275295995,4.25861558105,4.4320286177667,4.177578318787099,4.1460890983092
"Residential",2.1031531679601,2.2706038020836,1.9575405958314,2.4544874892151998,2.3822377564698,2.3017584460109,2.5894189438584,2.485068891909,2.5590212921624,2.8774909320981004,2.8684877807180005,2.9394042957224005,2.9095835151392997,2.7675210172278994,2.7070173500212,2.7936307785215,2.83977746026,2.8793162776839,3.0494862338308,3.1060679275546,2.8142535054234,3.1614876876462,2.8677639299999,3.0703377855408998,2.8606050782351002,2.6671118019278,2.8452738858268996,3.3707565362272,3.0980424818438004,3.4249824992691997,3.2265307783346,3.3936720409523
"Gross total",44.27714619293476,46.672609688071965,47.89574990567067,48.41329830392126,49.5893923372328,48.33973630358938,50.731372345056,50.408173177018334,56.309922768262645,57.19293303020984,55.39533466219608,54.00240900803961,52.85929032048442,54.23604182861211,54.92607819578015,55.101592932638255,54.100326152343385,57.50070719207519,56.35195285873898,53.554103734691395,52.29093486478545,49.03002733515085,48.02600542950801,50.43745267306532,49.379977986106724,50.07433150572922,49.85495905654228,51.41588638385547,52.11316216356301,54.60666768532033,50.44450293793769,51.4284952744065
