"Alabama Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Electric power industry",52.60311350760085,56.6303070640806,59.623994837412,65.37501707110147,61.245307657732546,66.90861685036695,72.19380697407085,70.3390709894162,72.34773253585045,73.65665634931536,78.7093647263257,75.79204589552779,79.47135930895848,80.38345961261945,79.80570900778486,83.62621262212936,85.80416584178434,88.09221003267011,83.11409390017475,68.0292327323206,78.56577953898484,75.62134988141749,67.89723269183611,65.6877173333406,66.51137053850945,63.287696821706454,56.412182461681496,51.758032593833796,54.640446269475945,49.159843543786145,43.37585025033095,47.94080277273955
"Transportation",27.7084465485383,27.5624895809199,28.7009955441611,29.1516527230957,31.005829397827004,32.822320149799594,32.2464763254687,31.9354012303242,33.759869079177605,33.9939724117775,34.8242414958943,32.927935520007495,34.3119097878691,34.0787644902943,34.7419369231947,34.880722090083395,34.9523930222644,35.8220043356685,33.0265840699577,31.9788495873327,33.060434558470405,32.774640559630996,32.0406644186933,31.373439769608805,31.9654050069344,32.5047599402366,34.35576567256201,33.2803634584913,33.359219397597904,33.762815298608196,33.887783809807395,38.3170745717716
"Industry",47.69540419431107,47.71082481094901,48.8952571440466,44.966780014248855,48.30942607966984,51.47706555511214,49.74777981500523,47.6784362743895,47.524766835103655,47.75831020992446,47.8168397399307,43.450466497237,42.86519066312739,43.71201990303453,43.464113875298345,40.28955523373545,39.85621555302922,39.75151990016499,41.52518978394637,36.99443571594241,35.926701982146035,34.844257423021816,36.2819154968942,36.78141539919489,37.25757689630805,34.135246923306354,32.72205567066759,32.9936723884054,34.37781094447435,32.33125670086865,31.393919666492238,32.58890137954865
"Commercial",4.9439987294917005,4.4212241810201,4.4292399123121005,5.0530412086079,5.105956033308701,5.0516109496349,5.1446462941207,5.8372375031122,5.2425131497546,5.2992922494645,5.5039001243343,5.3162570329248,5.2059053144897,5.1954432507974,5.3427880769081,5.0541186415513,5.393012025365399,5.4175007681573,5.494153389424301,6.124636067675399,6.788896139496101,6.893232555746399,6.5538338557925,6.7114656852781,7.1832839521578995,7.203554114516301,7.2421362400936005,7.3377654817142,7.827568990221,7.9680549433178,8.1382776775524,7.8575724771502
"Agriculture",6.8919097982176,6.7377872722928,6.759903952897401,6.789910515051201,7.096475986979801,7.0951038308877,6.9717229784843,6.6249578062751,6.505651955361999,6.313263624021,6.0558434447085006,6.0882849734486,5.9985867851256005,6.1441938019472,6.2098215319884,6.1266721067941,5.912821966687502,6.0149188233937,6.0976051453997,5.7250713389753995,5.473135016736199,5.5654881958478,5.567631052088301,5.7247596067982,5.472898232718699,5.474521910178799,5.368530824295999,5.800861331939301,5.8325964648481,5.6229712673759,5.7022366237549,5.527994099124101
"Residential",3.2596335087875,3.1961659339262,3.3976012483752,3.5672602087244,3.4501418790782,3.6177670593967,4.06046751482,3.6351234644372,3.3889776529697,3.6111583237592,3.9796575297332,3.8096928754773,3.4982298360624995,3.3182749380171,3.1975438047169997,2.9061282891474,2.7078967611935996,2.5945352081338,2.7836647505448,2.8188089542893002,3.2479136426521,2.7959251129745994,2.1791108737485003,2.6864865051162004,2.9705664045713003,2.6850924167090997,2.4161773269785,2.3444421755754,2.9378162190397,2.7138172704802,2.762275833004,3.0931506887963995
"Gross total",143.102506286947,146.25879884318863,151.8069926392044,154.90366174082953,156.2131370345961,166.97248439519797,170.36489990196978,166.05022726795437,168.76951120821798,170.63265316826204,176.8898470609267,167.384682794623,171.3511816956328,172.83215599671001,172.7619132198914,172.883408983441,174.62650517032446,177.6926890681884,172.04129103944763,151.6710343965358,163.06286087848568,158.49489372863908,150.5203883890529,148.9652842993368,151.3611010311998,145.2908721266536,138.5168481962792,133.5151374299594,138.975458285657,131.55875902443688,125.26034386094187,135.3254959891305
