"Iowa Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Agriculture",37.181385354353495,36.50182502653149,34.6490064970971,35.185178364881196,36.530753065773595,35.578375652294,35.547704802954,34.3693867620577,36.502121069091004,37.6216052427368,35.0839179795813,35.685464242677995,38.4809756292747,35.7405450993346,35.6406948340574,36.8953779797657,38.6252531528191,38.980064932631095,38.7820841174547,37.678695406417305,38.322456496787396,39.8202973949868,39.426368902807496,39.482417455123795,43.0965548469847,42.234033459965204,40.793485053294,41.394175050986405,44.920008764213094,41.262395124488705,40.3231555792657,40.480895530059
"Electric power industry",27.224932445746802,28.077391295692554,27.065997417210248,28.67959302793055,28.71918413213685,30.6397065896039,30.56593047503165,31.13535493283805,35.06302216428375,35.15333941479235,37.00608345041925,37.0607186298689,36.8092598974374,37.04282249857905,37.51642401128745,36.630652959402,36.8522834721967,40.150620726347455,42.007370682457704,38.071396583893105,41.72966758329445,38.26571692906975,35.3412659035854,33.11791393225629,33.45607560848405,29.3290679385993,25.52266530491865,26.26023678916155,29.80422039944285,24.207023794087103,16.424728749029853,24.442710846152647
"Transportation",17.6179819847021,16.6870747930833,16.790903440009096,17.2704038793642,18.539190275055,19.1955240589471,20.271806765818003,20.1678898601686,21.1127456559716,21.2604860685744,21.171001329941898,20.9426022259089,21.453098370589398,21.672529695341296,22.3131666199812,22.290084015014198,22.5226868359873,22.738994144133198,22.2381572024238,21.4617055689898,21.897481585690404,21.9902863996192,21.0907040331218,21.0903037969053,21.8201526121759,21.312041920698203,22.3489129236434,21.4108940576089,21.7419043199273,21.619030411768698,19.9885734258535,21.128883716310202
"Industry",14.495316569930996,15.88323670729445,15.344559773142052,15.009052248160753,15.727303525218849,16.818367325228802,16.91618585258875,16.48022046690945,16.64672690453255,16.98521130014545,16.540470028323153,15.9308011414947,15.535338043487801,15.19830671318155,15.96647767489915,16.551167386994408,17.3263473239178,18.92216829192775,19.716105981635195,18.341255646155098,20.381803261412944,20.62982320783034,19.661316651858805,21.873560823037597,20.742557509627343,20.326005933713308,20.30488789726425,22.066370584976152,22.74792152690865,22.7786161557255,21.366574353376055,20.643544945251854
"Commercial",4.9164563968785,5.338633056816799,4.6040276123339,4.708391130277399,4.2047507271681,4.4639518436423,5.0453609379426005,5.061228814672201,4.5048069670223,5.0098692481715,5.0099812475017,4.8436442906709,4.9526600343748,5.092084389706401,4.901109265909801,4.7873535840098,5.805595364743099,6.384265324862801,7.0504603246155,7.4066596429242,7.385877195781501,7.1564478975275,7.0982393579929,8.027024019806499,6.9168847206612005,6.9129150823381,5.834057937364,6.1093020741215,6.4007172036725,6.4873783518789,6.0006387666577,5.785089314494101
"Residential",4.2539162621613995,4.7936242063523,4.3801569072279,4.9406717756713,4.7320953144048,5.0025511600255,5.721895487621,5.3525839263648995,4.417614775125201,5.1538812234769,5.2449799880413,4.550829816806099,4.8582076724911,4.9573106538269,4.5287326610253995,4.491970014221,4.1718980868314,4.598188943231699,5.3023100044818,4.959273304224901,4.6679823364881,4.696199025006,3.8830983741498004,5.0540202568891,5.3075339316014,4.474498770774999,4.4245085274255,4.3647925639935,5.4382423556860005,5.6958736832312,5.1810563456051,4.9233937918568
"Gross total",105.68998901377329,107.28178508577089,102.83465164702028,105.79329042628541,108.4532770397572,111.69847662974162,114.068884321956,112.56666476301092,118.24703753602641,121.1843924978974,120.05643402380859,119.01406034742749,122.08953964765522,119.70359904996978,120.8666050671604,121.64660593940711,125.3040642364954,131.77430236313398,135.0964883130687,127.91898615260442,134.3852684594548,132.5587708540396,126.50099322351619,128.6452402840186,131.3397592295346,124.58856310608911,119.2285176439098,121.60577112084802,131.0530145698504,122.0503175211801,109.28472721978791,117.4045181441246
