"Michigan Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Electric power industry",69.09202564453295,70.06593851261621,66.84757285718501,67.5018456715527,72.69350493990095,71.95271231680674,73.89328274489061,73.81129096734321,78.530104632688,77.76116412268021,75.76350980317736,75.3215820071511,73.66371012364085,72.34817767490809,75.71469012165835,78.22624130189475,74.22330493463626,77.87866529421791,75.1735869328256,71.65310315690215,72.744333462536,67.04412039647585,64.94376155793896,64.23514485496464,61.6992706170694,64.68462606985095,57.02537860850705,57.0962221761698,60.26992018398916,55.587599433300596,47.85906096123154,53.90853355415875
"Transportation",49.7338333606324,49.8640513308091,51.12872101289639,54.234777683065296,54.517228071189706,56.0415367408099,57.4131577052155,58.661015897061496,60.8816778066558,63.5600818405412,62.115682665481394,61.1104606983319,62.3643010650944,60.776355375358904,60.5598459615801,59.3340654799124,57.9751987812523,56.766291686548406,52.9861177965675,51.393339463117194,52.245128395858295,51.1420089440063,50.680340345560595,51.614228412530004,51.217005090812606,52.0532427919394,52.396967419906396,51.610446042537,53.2724582852454,51.855860056220195,43.9215804797334,47.90405263271599
"Industry",46.79895941804695,43.919183292093486,45.49269627212371,41.55597073233272,41.31560472165976,42.54797018802714,41.9829513193696,40.4373105064237,37.616854273622806,37.544034587648305,38.04134975709324,36.7421057539446,36.02173188733175,35.163146725229204,35.53966838823495,35.47853193503503,33.80562539281975,31.007927348542605,28.7949671929908,22.16522781326366,32.49285408853719,32.53569764256645,31.375129138470548,32.93092579809805,32.5514136087083,32.27667468951734,31.96291068263715,29.423866312773402,29.081862388071055,28.9831404138606,25.89526693783395,27.138560709666553
"Residential",22.0741508901183,22.7175925990199,23.6092182124157,24.2212024308334,23.715501483199702,24.789485788607596,26.542920067509602,25.301710347091998,21.4954939464244,23.726822745199502,24.8030715486641,24.1351646249054,25.3947273542384,26.4854703316793,24.534346126470698,24.5223917682425,20.640972278655603,21.716384144056498,22.2108639650124,21.196078502184598,19.7187463195291,20.355833588579497,17.7208031793738,21.640077173214802,22.9522699809945,20.5771978077188,19.7270736363753,20.074311785634098,22.1622585551748,22.754109308650598,20.694864407755702,20.2265239112675
"Commercial",22.4121659252748,23.061278677035197,23.083967121539697,24.1434066109801,24.250227789971998,24.391046892455698,24.8052304123866,23.2808905081189,21.160297299268198,21.5706432508415,21.829839359299797,20.9906144579458,21.2376297189427,21.3783357575577,21.2185758177264,20.832094559817996,18.9175656718801,19.7404128712462,20.1822475429145,19.887819326720802,18.6702322598745,19.1478991789383,17.5281060757107,18.7547307262478,20.335906870131097,19.688288162949796,18.5044149892036,19.0048315748035,19.4250501771576,19.763974737268498,18.383948657226597,18.4642171568496
"Agriculture",9.9174856598743,9.981532642385702,9.965892727725798,9.6863419440227,9.940385140785999,9.489264766346299,9.316936831819799,9.1039202019412,9.054852128327001,9.8099714831752,9.528969106422899,9.135019633340999,9.032957654649,9.622479989690099,9.6075486165009,9.5006565011325,10.059991772020702,10.3890327091987,10.450705049211798,10.2260734103652,10.2915167940538,10.434113008234501,10.283513393634298,11.211138518345699,11.2859544908606,11.227730939108099,11.767420202935401,12.003920673070299,11.75985398727,11.6893641004576,11.3523625601872,11.312583622099801
"Gross total",220.0286208984797,219.6095770539596,220.1280682038863,221.3435450727869,226.4324521467081,229.2120166930534,233.9544790811917,230.59613842798052,228.7392800869862,233.97271803008593,232.08242224013878,227.43494717561978,227.71505780389714,225.7739658544233,227.1746750321714,227.89398154603515,215.62265883126472,217.49871405381032,209.7984884795226,196.5216416725536,206.16281132038887,200.6596727588009,192.5316536906889,200.386245483401,200.0418206585765,200.5077604610844,191.38416553956492,189.2135985649881,195.971403576908,190.6340480497581,168.1070840039684,178.9544715867582
