"Maryland Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",24.3952657453869,24.0686644056504,24.8189956280702,24.8764596073595,24.958585502638602,25.3316521839726,26.2751752839102,27.7126488100298,28.225572747791897,30.0018387781514,30.346653361730798,30.3929469561775,30.3239971535816,31.298230701046897,32.151426918493506,32.6868509312389,32.57683049240191,32.29988747185,30.8761127542784,31.72157920101,30.8575561956282,30.180499913504605,30.373960529372898,30.480102046993505,30.5634607821095,31.339095707560798,30.494165034858703,30.180798565836007,31.2205832027986,31.329625546340903,25.998648975152502,28.842865743986497
"Electric power industry",27.444704615903596,26.8192143746491,26.11395025929915,28.4592487140801,29.292047741726552,28.368046374021553,28.88310827644045,29.0405994588886,32.2894085512008,33.19996166392485,32.31935509877585,31.7239886264179,32.22646437083045,33.1132450934247,32.27507243114585,33.55765287417265,30.757006556951147,31.540657912975902,29.1883971200397,25.6719605135163,26.255871975457,23.486026601227202,20.325389566174547,18.7116969411184,20.4706830976708,17.91113793939295,18.4932966167242,12.92075308660865,17.31506739578465,12.779378442434298,10.1075225997472,12.1721546925528
"Commercial",5.4229854492095,6.038131896207799,6.4250511508859,6.269353343017401,6.449589323834399,6.7147451708811,6.0772646642347,5.8957278087849,6.1586633833205005,6.0487343283163995,6.172010766807199,6.4421140270943,6.4953195731153,7.085005082173501,6.9841381000319,6.721816699774499,6.405264648546999,6.5317661012534,6.563041908179399,6.670948921443601,7.5873800524109996,7.549030162715501,7.1251606577583,7.5234741424805005,8.1594258628253,8.289373024461,8.1146931052024,8.0436622505093,8.3434029751833,8.4375682178486,8.030680953351698,7.8389921628477
"Residential",6.275098597465201,6.3967048392218,6.7499717396162,7.0044235068508,6.908936169638,6.9134097283912,7.8229895753797996,7.1118087992601,6.294929738159899,6.637992647482401,7.2275861548317,6.603008086643199,6.7934314535186004,7.5293234514863,7.2951898340303005,7.2156426273661,6.0707109612104,6.6409460907628,6.355116319368,6.715383221353401,6.8758096450641,6.294760012440601,5.525077062676,6.6175722289787,7.4762181235497,6.9378208375506,5.9367682687513,5.726299415261201,6.7810574800601,6.276765271999699,6.1414088744792,6.2595063570933
"Industry",16.648979458708197,14.7208824496165,14.25896423559965,13.907598935679,14.115751088783048,13.58471793202725,14.479293251851447,13.504953413200203,11.262354686213397,10.52764410791545,10.750997308058452,12.114216805484599,12.419754555413151,11.660948275315299,13.046484483334453,12.711848385747349,10.200838571254051,9.807276009196801,8.7246160068283,7.300270504307399,7.0381351498468,10.73968894028219,6.5600747584091605,6.117539597952886,6.088672019045547,6.154800967035465,5.761890207274871,5.842190827946913,5.776291778794732,5.897862533539701,5.744065919791701,5.831272211998477
"Agriculture",2.1398884938272,2.1264332593003,2.214388767819,2.1933096998890997,2.1585760371649,2.2418768558510997,2.2241765702973,2.0349595349387,1.9890063591408,2.0605346554704,2.2878064580453996,2.0343305292112,1.9967619754679,2.0271703136613,2.1325689738224,2.0902040187160997,1.9944209026121997,1.8390939192058,1.7961925947921,1.765945105396,1.6812859532434,1.8380289926369002,1.8023948597659,1.7493684558590998,1.7472022468325,1.6114825957057,1.5947177150837,1.7133025426542001,1.7941356189469,1.6840703146835998,1.6552747292486,1.6350307965779
"Gross total",82.3269223605006,80.1700312246459,80.5813217812901,82.7103938068759,83.8834858637855,83.1544482451448,85.7620076221139,85.3006978251023,86.21993546582729,88.47670618126091,89.1044091482494,89.31060503102871,90.25572908192702,92.71392291710801,93.8848807408584,94.98401553701558,88.00507213297671,88.65962750524469,83.50347670348589,79.84608746702669,80.2960389716505,80.08803462280702,71.7120574341568,71.19975341338309,74.50566213203335,72.24371107170651,70.39553094789518,64.42700668881628,71.23053845156828,66.40527032684679,57.67760205177091,62.579821965056674
