"Nebraska Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Agriculture",29.8029137108752,31.156741268319802,31.313705576559496,32.83072048113361,33.261807333272294,31.456251667560302,32.5137768871534,33.11574257200141,33.4884107542293,32.9550882085288,31.457386622495505,33.6759261065568,33.48260454718409,33.438809950634294,34.67001146249671,34.91493382749999,35.445703550500895,37.1587255787367,35.5740168886735,35.4380075339594,34.5865805817722,36.2532093124207,34.7439147872145,36.384704505531,35.8490345749068,36.48732038410971,37.217538937796995,37.47383575815921,38.4650993874177,37.813793331373304,35.0813650006217,35.7341857818206
"Electric power industry",13.9009431770828,14.6775474062106,13.54829227634295,15.83919717728125,15.22663280505095,17.1801160807977,17.1724660087931,18.337320552130098,19.582156353961253,18.926540829983047,19.7510193741597,21.3833430974457,20.7948988348997,21.7572789484568,21.3597074772968,22.0642195869267,21.8345925544148,20.9995243127028,22.546808458109798,23.8223203650243,23.8023136463753,26.1966111446133,25.14403473063335,26.84735614618765,25.07708173510405,24.16599489159525,21.874833974424998,21.14753854495975,24.33593227507625,22.4791030534963,20.117685527229153,20.24822371088565
"Transportation",10.4320762702226,9.9969290047087,10.5765465030543,10.6432295732364,11.088162017239998,11.818660783676801,12.415813789324702,12.226018234822702,12.849268493060201,13.2319444193852,13.059454314656499,12.8834141818225,13.200557307636299,13.299924792806099,13.1865001498111,12.912264617676902,12.8620993065793,13.282885396175198,13.009159770941698,12.3336885632307,13.0041453395117,12.7415932642747,12.5782573085058,12.596739659378,13.093003580943497,12.9435443266333,13.1121249547306,13.1422967776142,13.473858325471499,13.414498578199,12.512653183670798,13.4520535823871
"Industry",5.426034340207901,5.814281888864801,5.770328102116748,6.671527955217352,6.527228986817551,7.029752376602301,6.4812468986514995,6.776713837478799,7.62612739382815,6.811330653304848,7.040437762404999,7.065446214995897,6.6284988022667,6.3659950209277,6.378082092300299,6.5223909830779,7.5291207902483,7.973730780302897,7.7509191775575,7.773427404049799,8.4638887279598,9.192376811916402,8.539182109423251,9.416758678055448,9.498352247992548,9.425727493502151,9.632094619698698,9.50539892571925,9.66982720693725,9.5155762725721,9.55389841331545,9.591390109048449
"Commercial",3.6349398576021006,3.7045989193115,3.4809679639324003,3.3521409491555993,3.6020010712134005,3.5642459258834998,3.6879514063087,3.3825665333523998,2.9246175101641994,2.7286757741196,2.9217312173627996,2.8742619834754004,2.7475509834134004,2.8334995184157004,2.9407678794222996,2.7035449169773997,2.8377527347036002,3.0172143640955,3.3302445721191996,3.0830668181794,3.5816961593493004,3.5076524262113002,3.2044127540767993,3.7168417737,3.6265011397695006,3.7535932471444,3.4779513134301006,3.6841835242693,4.0660213079935,4.0952936088029,3.6628723449863,3.7001326596527004
"Residential",2.5124575234559,2.7677590952771,2.5762974786925996,2.9074481588655,2.7016888043606992,2.7891402603868003,3.1822891700114004,2.9937702927871,2.7431374740629004,2.7434279783838,2.8880320173048006,3.0962595854216004,2.9991136243571,2.8602314062291,2.6130971622363997,2.5958958368106,2.4347358161797,2.6396853342016997,2.9860365751967,2.8042794387272005,2.8112727410388,2.7788913024869,2.2209028723873,2.8977014875997003,2.9486829943927,2.5269688201351994,2.3878746992547004,2.3868883507447993,2.9730546605304,3.0522587122275002,2.6916334996240994,2.6664752399047
"Gross total",65.7093648794465,68.1178575826925,67.2661379006985,72.24426429488972,72.40752101795488,73.8381670949074,75.4535441602428,76.83213202257251,79.21371797930601,77.3970078637053,77.1180613083843,80.97865116971792,79.8532240997573,80.5557396374697,81.1481662235636,81.71324976896949,82.94400475262658,85.0717657662148,85.1971854425984,85.2547901231708,86.24989719600711,90.6703342619233,86.430704562241,91.86010225045179,90.0926562731091,89.30314916312,87.70241849933608,87.34014188146651,92.98379316342658,90.37052355667112,83.6201079694475,85.39246108369919
