"Vermont Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",3.176317715270799,3.2486195236151,3.4710854067664996,3.6530642420355,3.7323399599007,3.8981594461645006,4.099101225025399,3.9578657444006002,3.9267969007270995,3.7771026011016993,3.9829669119105997,4.044038710427401,3.9642225779361997,4.0480321019699,4.0207476562648,3.9991129915413994,3.965941913929,3.9007415851475997,3.6391767788962,3.6010781363701,3.4697182478695,3.3796420056345,3.321276007481,3.3138780317421004,3.3300310154946,3.3033633556003,3.3428311635171,3.2872034858207,3.1524841714566,3.2524182452411994,2.7328913066731007,2.9446609070436
"Agriculture",1.4545519861464,1.4422335355820997,1.4222966433979,1.4690411443088995,1.4138896046648002,1.4037003321089998,1.4356025724463002,1.4275269532725998,1.5378018762609003,1.5777178779676,1.5529293368489998,1.5719794699574998,1.5756281936949998,1.5936600428073,1.6017377817509997,1.6179889519061,1.6037758893165999,1.5846235722315005,1.5633637460172,1.5754728668865,1.5752427030594998,1.6242617903081,1.5796635399584003,1.6244441947129997,1.6508402668859998,1.6899944441857002,1.7643091961286,1.7927690115430002,1.7624416161337997,1.9397911051613996,1.9244228437530997,1.9253535138182
"Residential",1.4068951302587,1.4967597375122,1.573936556186,1.4871433745096998,1.3995082339266,1.3503692459163001,1.4567014144677002,1.4131253767442,1.3315227501056002,1.2888048088625,1.5024287464309,1.5604976348239998,1.4247439344047,1.5470909093388001,1.7736314322365,1.6166397303284,1.5655072661248,1.5156492558631,1.2471621641519,1.5443613426760001,1.4082083840950999,1.398638895356,1.1482469607181,1.3466046093733999,1.4951759686615003,1.5221000371197002,1.3575824213438998,1.3660932060403002,1.5659091399104001,1.6243674010256999,1.4682734327790998,1.3184864810601
"Commercial",0.6676988546015001,0.7456930629413999,0.8074429494766001,0.8225337560763001,0.7939196204119,0.7145948746147,0.8220421753856999,0.8511507841600999,0.9201233721118,0.8565719542086,0.9436638288047001,0.9957882780434001,0.9190894026341999,0.9731780682501001,1.0383533814371,0.9588821305499999,0.9526601608207999,0.955597416876,0.8730231724989997,0.9659887763719,0.9221989599442999,0.9659919424602,0.9192751630688,1.0687988193425,1.1081723902768,1.3067845102826,1.1339295420789999,1.0027781136938,1.1727221202698999,1.156528706848,1.1468647756308001,1.1241913172891
"Industry",0.7416469883783021,0.7167674856851521,0.770140181120352,0.8217778988321526,0.7598182266800029,0.8231042140076387,0.8769962534169966,1.1495705711397364,0.999652512100164,1.1706588803804614,1.0259695404377753,0.8661331373787031,0.8779326522365187,0.8941483690195003,0.9785823489340616,0.9924347666512213,1.0851998752941592,0.9713221600286848,0.8878781612075478,0.8438559652450679,0.9314747135124465,1.0611198092741498,0.94321976704025,0.891221519576,0.8402371548293998,0.8435836926851501,0.7726308411431001,0.7258875660187499,0.7287796937374,0.75246769303555,0.7595322306335501,0.6921939861620501
"Electric power industry",0.2021404882375,0.20243392955415002,0.17727027819935,0.15183128525875,0.1502792762507,0.19019476056395002,0.2396193253923,0.1969925240398,0.2049189612449,0.19218400953235001,0.256286010051,0.1777285350668,0.1507300330088,0.1410010813127,0.15704957780655,0.1516961433263,0.15475840014215,0.1441628307326,0.12788153532264998,0.141306246972,0.16346323423415,0.14492267633824998,0.13892867560344999,0.1736275268952,0.1791191399002,0.17681494800264996,0.15560788587690003,0.14481693468044998,0.1089930786358,0.12149454242555001,0.13485388087325,0.12023080882995
"Gross total",7.649251162893202,7.852507274890102,8.222172015146702,8.405391701021301,8.249754921834704,8.380122873376088,8.930062966134395,8.996231953757038,8.920816372550464,8.863040132053209,9.264244374483976,9.216165765697804,8.912346793915418,9.1971105726983,9.57010217843001,9.33675471430342,9.32784350562751,9.072096820879485,8.338485558094497,8.672063334521567,8.470306242714996,8.5745771193712,8.05061011387,8.4185747016422,8.603575936048498,8.842640987876102,8.5268910500886,8.319548317797,8.4913298201439,8.847067693737399,8.166838470342901,8.125117014203
