"New Mexico Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Industry",20.711080857489062,20.378764231152662,21.516757100598007,22.270608228167955,23.369994208247203,24.31828682349941,25.368129258841364,24.72000278589663,23.671967782730892,23.79419058944044,26.532074531809826,26.8629818960646,26.96422280600092,27.93361814970907,29.450635876670084,30.487963262156175,31.049645533249407,31.605971927137873,31.641538795891123,31.3727272265545,31.46241080100213,32.04029944951039,29.998647656828965,28.944753991518642,25.96723822449656,25.461781797939402,25.2856274110898,24.937566375303447,25.932129943502503,28.536332968258748,26.349540683618745,25.3830636486781
"Electric power industry",28.421442731482,24.5425463089246,27.430299682490652,27.8231579727277,28.8237244492826,28.55882604074645,29.0633268995247,30.191899250939954,30.632472672338544,31.323809351619346,32.1195941501863,31.418768035439,29.661496290341006,31.762248505866953,31.848462178226498,33.2252109086713,33.800632932695954,32.16506886563955,31.45554370111815,33.74577997382755,30.108064784256797,31.9111495076009,29.8736126208016,29.274814092869452,25.456551121098148,25.570547836069,23.933541001858696,23.747170579837046,18.8516393725845,20.84604235316765,19.18704057478285,17.6651207356716
"Transportation",15.2970767992841,14.9445454149148,14.3214767779085,16.2710228779761,15.9855533308664,15.672797746393702,13.8521373176683,16.4224743522629,16.857945017120098,17.042335098148,16.631929839225496,16.6381620084085,16.508635892539797,16.2994742846348,16.5957192792254,16.0905188119155,16.428198681184004,15.9799073669158,14.786842432101501,14.4553674354699,14.123445042829701,14.670967190995901,14.6982796427072,14.2638097364231,14.7986226166042,14.7322617326206,14.476228854388403,15.310039707178401,15.5690474264497,15.749477383486798,15.081562993007202,16.8984510278688
"Agriculture",9.3755749946756,9.8375303247184,9.3245749591347,9.570991051310202,9.9527013618903,10.211596518754702,11.0421628505908,10.8727423964409,10.8241952170577,11.0120232794974,10.5692363877003,10.870568927672599,11.253834018236798,11.4024825259118,11.7441517317853,11.4290197606811,11.975662354124701,11.737405501930498,11.9614092540654,11.487533784358002,11.6025550530932,10.8175705416967,10.633795060132902,11.2778772795977,10.688931028481498,10.960106672130602,10.4218494222245,11.101635271971197,10.845271843077501,10.6635956488136,10.202812701408801,10.3337638684403
"Commercial",2.4545756046209,2.8439370555126997,2.8676991434218,2.7842160375342,2.5492290929487003,2.6866541950303997,2.9661806775874004,2.9560901366171994,2.8523070764068,2.8484447099099004,3.0300547287979,3.1596221209305004,3.1649009809549997,3.255037614216,3.1434073484950997,3.1316759720253002,3.0674847783742,3.1373703316619004,3.2584590163953,3.1424865545786003,2.6234762304784995,2.5942225243924995,2.6463698744880997,2.948775722252,2.9530502200910997,2.9707083741392997,2.8955202549676007,2.9335039198879,3.1008522829363,3.3400767044759996,2.9788299162852,3.0482724427375003
"Residential",2.0161232554174,2.0104416953178,2.0493423604466,1.9936775113604999,1.8635678001807998,1.8312364363394,2.1266145006526997,2.3253621045489,2.3165774192622,2.4149526425838,2.4173784336083997,2.6668916422048006,2.4356025069734,2.2758594969907002,2.3753456849657,2.4085901276794996,2.2668033349749,2.3756955207033004,2.4447846308807,2.3401008911499996,2.4507288845065998,2.3585558454905002,2.2291957502833,2.4906790316518,2.2487484863792004,2.2701140931599,2.2671594803827997,2.0533678248648,2.351622373253,2.8300348676829,2.5085468889481,2.5102591832428
"Gross total",78.27587424296907,74.55776503054095,77.51015002400027,80.71367367907665,82.54477024341601,83.27939776076406,84.41855150486526,87.48857102670648,87.15546518491624,88.43575567119888,91.30026807132822,91.61699463072,89.98869249504692,92.92872057732932,95.15772209936807,96.77297884312888,98.58842761460315,97.00141951398892,95.54857783045219,96.54399586593856,92.37068079616692,94.39276505968688,90.07990060524206,89.20070985431269,82.1131416971507,81.96552050605882,79.2799264249118,80.08328367904281,76.6505632418035,81.9655599258857,76.3083337580509,75.83893090663909
