"Connecticut Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",15.248953221228701,15.003437472571001,15.3055211429991,15.405394189504099,15.418565956325,15.114551346634999,15.662934416932702,16.4734903296095,16.5369742632931,17.8952890673024,17.887106224138197,18.043314075255,17.8655231914577,19.1885964596637,20.893812514646196,19.124943858217005,18.4678904253697,18.4209471314881,17.285893659055798,16.8930091158939,16.616633029422804,16.300863781773003,15.9025689494271,15.5040564414875,15.727948958559,15.842786718791698,15.9315832882444,15.9826745230558,16.4974488194854,16.093962547784596,13.7115294816115,15.105858790278598
"Electric power industry",12.045351885232801,11.582537657045899,9.447802710022449,8.12765881404545,8.2756153944532,9.13695292078025,10.2017110613264,13.307887762972149,12.149745272549398,10.9755474359848,11.815861494740949,10.43594254331505,9.402297325233752,8.7868714913118,9.6946068652691,10.9686235555089,10.8094067237833,10.13280417343205,9.247569203699449,7.73709505842395,8.83773057506045,7.72963508910875,8.43291783985865,8.01842600408355,7.93267784439755,8.6189188508531,8.1389811837983,7.3348005161531,8.9979191496719,8.932512575401349,9.7084806069549,10.210369072088152
"Residential",8.170278394727099,8.0424502111979,9.1884922101161,8.495519602731301,8.0339349500247,7.3818584070630004,8.0161888752112,7.7162047755489995,6.6205515356093,7.3145220113589,8.1075623513057,8.229231147619101,7.7333548288428,9.3588740591566,10.075218100367998,8.8553452740119,8.0049003663874,8.1217757698712,7.343490316444701,8.065307127883601,7.677252897697,7.4873510642696,6.4905571503391,7.1849744719274,7.659013962417901,7.5790584946547,6.100747234868001,6.1018276878608,7.3304801567058,7.1749730541067,6.4739842247724,6.3807671924252
"Commercial",4.3829058148464,4.411373282573201,4.9016774071396,4.4557835135434,4.6541151380854,4.2753500205691,4.720780415876299,4.8429734756372,4.5737019659809,4.6889296336057,5.1990402570977,4.8660615022698,4.7695447534656,5.8112099975527,4.591267756109599,4.4247777076491,4.0801221790597,4.137144839727901,4.1154524001974,4.182500257273,4.5540879931787,4.6754271000002,4.2906808672361,4.7632423712453,5.0709797554548,5.5682434012257005,5.071145771146701,4.9341764282230995,5.3487260517087005,5.252874865815,4.9019118915213005,5.1759462304837
"Industry",5.1129130089933,5.135054742457998,5.267446490475851,5.278804118166049,4.899217054953701,4.73385031841285,4.8106853919497,4.669527706765351,4.309674044461,4.139349311477799,4.407987195115549,4.2106722333652495,4.185876645502551,4.3112623482579995,4.256026091120201,4.2851296975107,4.2736748700313,3.9721207023069494,3.5308527294608507,3.3764365863765504,2.9748278776812502,2.98686464963965,2.869466098243849,3.2554161636005503,2.92334043712385,2.8395688252494007,2.7460543295558,2.7102009704133008,2.7438015303286,2.76555592981485,2.7228006650891996,2.5849147584739507
"Agriculture",0.4173569139301999,0.41545451439720005,0.4404079231543,0.4484590421577,0.45827814021400004,0.4478981275503,0.4011505180791,0.4084964782613,0.4238790910693,0.4630578556952001,0.4514345154781,0.45142981891159994,0.5126706809848001,0.4790230861228,0.45947044553649996,0.4164956678084,0.4568331007059,0.3909105434355,0.37926328261900005,0.3762359767367999,0.39595737140170006,0.4125618012125,0.427824019909,0.41285897195309995,0.3850032974205,0.34477273829240007,0.3773379571731,0.39113494863919995,0.3890853894698,0.36479758546519997,0.4005253617831,0.4020708422708
"Gross total",45.377759238958504,44.590307880243195,44.5513478839074,42.211619280148,41.739726634056005,41.0904611410105,43.81345067937539,47.4185805287945,44.614526172963004,45.4766953154248,47.8689920378762,46.2366513207358,44.4692674254872,47.9358374420656,49.970401773049595,48.075315760706,46.0928276653373,45.175703160261705,41.902521591477196,40.6305841225878,41.056489744441905,39.5927034860037,38.4140149250138,39.1389744242974,39.698964255373596,40.793349029067,38.3658497647863,37.454815074345305,41.30746109737021,40.5846765583877,37.91923223173241,39.8599268860204
