"Alaska Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Industry",20.30433448943255,22.386728845671197,23.74870612633595,23.2855810439227,23.256752616784006,27.100621406694096,27.866321150354697,26.0003928368,26.149187690761355,24.725698933240295,24.621660804154505,24.931639602793204,25.539687201020854,25.60309808458161,24.73874448179875,26.221184246036348,22.797392748292758,22.7445750979355,20.445218685218297,20.9256276612381,20.2522818134121,20.394110704021756,19.550602198659952,19.654562916286594,19.13536800926895,18.841040427626403,18.471067391014508,18.54924897167545,19.050778367563844,18.867225712359048,20.202251032866847,20.7894112753489
"Transportation",8.6065640076292,7.4701176526561,7.2079728512206,8.211239105353302,7.8843201156488,8.853606602748501,9.1781261379738,9.7168045466731,10.2899240138022,11.3104970601203,11.951314190008501,11.5297756298985,11.6907372292356,11.947600043136099,14.6604991553298,14.942125497005799,14.821364787726699,13.9930806075866,12.3847489018904,11.1073653979369,10.4868218797752,9.015164090054098,8.5693680045873,7.7124536487459,8.465664670992401,8.019437724920099,7.696103447328799,7.9322043500228006,7.427312107241501,7.746649299366901,8.0865211568486,9.6440004256925
"Electric power industry",2.78999613084895,2.6494011956261003,2.47709422105295,2.4965148250442,2.5116829346230998,2.5934833493451004,2.7166598892810003,2.9204954466367004,3.10600870332125,3.2072566253646,3.3314981591708,3.4081641618851,3.43228855278605,3.1169314528541996,3.3087002166780497,3.3771540896818504,3.6205887768438503,3.403492585355,3.384978100831,3.2813763380896,3.1821738736834004,3.30459951285465,3.25653385287375,2.7794393296399003,3.0623121145098504,3.1030304543858,2.8965340957108996,2.91823555415665,2.80451598055025,2.84020045611425,2.8608165921409503,2.9177780630453
"Commercial",2.6782668217824,2.76088900996,2.9851410054093,2.9575654538741,2.9582407824426,2.8969378656343,3.1802487329293996,2.9441069070607,2.9546981905249003,3.1317916211682997,3.0794222352568,2.9457793273836,2.4332670193765,2.2967524299673,2.5899199329435,2.5332750491279,2.8873253189703005,2.6804009816338996,2.7611128428469,2.6338943013201,3.5263233917348,3.805761758753,3.6521197597569,3.6536254175051,3.4922931811068,3.6971369853389997,3.1929505574276003,3.2744417815825995,2.6757789205423,2.6834899968985,2.7150247085653003,2.8140639925836997
"Residential",1.6042574610036,1.6369965948002998,1.7453427994488002,1.6965262623016,1.7211838929401,1.7556326341359,1.7713621817926,1.672421559292,1.6019259944722002,1.8739207201004,1.7027425870421,1.8223934267533,1.6135233422156,1.6668166992012001,1.8254554227468,1.7442693021225,2.1712156472986,1.8532044792186002,1.7312588588861,1.7787823899996,1.7290707769996,1.794167363827,1.7675349591516,1.5884452019072,1.5147895238837998,1.6350775513714,1.5315035586580001,1.6414843205565999,1.5182727929809,1.504836641637,1.7022310966840999,1.6881789978092
"Agriculture",0.033127745485,0.031905705417399996,0.0323818925901,0.039307524078899994,0.0423430086717,0.0442605108482,0.04474275796749999,0.049847323930499995,0.04485443370569999,0.0454275331331,0.0408542794339,0.04667777631029999,0.0506982054933,0.054081730442800006,0.058917021047500004,0.0614567554069,0.0650484067371,0.059097508566399996,0.0529193297576,0.0530914503816,0.0666726142853,0.0672594520714,0.07048405252840001,0.06662806008779999,0.0612570648026,0.0456838752604,0.0464119314978,0.048049232640700004,0.054072058426800004,0.0575281808699,0.0637137159428,0.0620330359936
"Gross total",36.016546656181696,36.9360390041311,38.196638896057706,38.686734214574805,38.374523351110305,43.24454236940609,44.75746085029899,43.304068620393,44.146599026587616,44.29459249312699,44.72749225506661,44.684429925024,44.7602015501279,44.68528044018321,47.1822362305444,48.8794649393813,46.36293568586931,44.733851260296,40.760236719430296,39.780137538965896,39.2433443498904,38.381062881581904,36.866642827557904,35.45515457417249,35.731684564564404,35.341407018903105,33.83457098163761,34.3636642106348,33.53073022730559,33.6999302872456,35.630558303048595,37.9154657904732
