"South Dakota Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Agriculture",18.4906621869403,18.6180399747261,19.459768649096503,20.8808747843591,20.544319690665,20.6523892670052,20.677601049537,19.780073829234198,20.271102017307506,20.284726997074802,19.432311967955496,22.145811658247897,20.7142325897985,21.206543914895295,22.9880378605644,22.4631687194068,23.426524353148,23.2298637779384,22.3111517661861,23.9859402747053,22.998894720878106,23.675455647475705,21.9959181766091,24.7740802582937,25.524631295834702,24.3869326002955,24.1721925425877,26.0805351054785,27.791426151022797,26.5395409370114,25.470632120969604,25.8291312798392
"Transportation",5.0212205938145,4.8085250536311,5.3965741666531,5.493463062508301,5.9666853753944,6.0401520056792,6.123967412467499,5.9689514574833,6.2140889744407,6.375655529460699,6.463401116187799,6.3100651516596,6.531446079852399,6.512869422785,6.5139320449636005,6.561251862870001,6.5030092684315,6.802774796762299,6.477936124175501,6.510950486069602,6.701623123414199,6.683012743639599,6.965195698842599,6.6570575463721005,6.9684384525251,6.967049652722399,7.0152515385291,7.0245145501153,7.050530032115399,6.8894893668665995,6.7584814189628,7.2723346275502
"Industry",2.1416171380381503,2.2744580077795,2.3023969682503505,2.6054236901465497,2.87117155871365,2.8614260864077496,2.9781938214587,2.9813626068953996,2.91013869777805,2.8260389899622997,3.3156974875169998,2.7520939226147494,2.8777207479199003,2.8594885578822002,2.716770677038449,2.8312376647682496,3.0149590333036,3.5966741711727503,3.7404740009276,3.4603079727469495,3.656873763501102,3.7495667471699,3.64306924311625,4.04950826269805,4.02754939894035,4.029545974490149,4.002125439725701,4.046065500767651,4.0784534336215,4.33349879426285,4.18909445928875,4.084577132654851
"Electric power industry",3.4523605074348507,3.6842298460191,3.46041939788395,3.3780673472370495,3.6100631201011497,3.36226319389295,2.9423915213383993,3.8033391205551,3.62944146620335,4.0552358082578,4.1649807469128,4.177456947654649,3.6620070767961996,3.9204010711386994,4.15353804648565,3.5572223983554494,3.7654365729491,3.24250626774375,4.171626761594,3.6356104869171504,3.7448513816943,3.0168797179382,3.36537064056155,3.3236051658599504,3.21436130277285,2.04645967538145,2.7736723811985002,2.59649429446215,3.0178854799433,3.3494006605152493,2.41990573355905,2.55261458390165
"Commercial",1.0731438208702,1.0882638030074998,1.0370992337675,1.0895619547481001,1.1274153955898,1.1323671377469997,1.1506949621409999,1.0903803614236,0.9674647620247,0.9508346638627999,1.0319354142108,1.0149850674176002,1.0124912389519,1.0208900955069,0.9884536324981001,0.9870659237918,0.9771950338733,1.0937287283486,1.1654436276464,1.2265508055907,1.2127212504566,1.1787570066120001,1.0863394515409,1.2569329428919,1.3590754039955002,1.2684034577091998,1.2708844437086,1.2971666332502,1.3573153471498,1.4522410527546998,1.3705734545486001,1.3606557947578999
"Residential",1.3847463123261,1.2337874313465003,1.0411359248512002,1.2473516030310001,1.1653878211709,1.2450408734994003,1.4942593468662,1.3715864438698,1.1614103540123,1.1337239014012999,1.2542032589161998,1.1787580470784,1.2146895677154,1.2385267844236,1.0986251236424,1.0760571852431,1.0171513909495,1.0799880837867,1.2588237858821,1.2078819873098,1.1183563177162,1.1176161663017,0.9499856799344001,1.1740778755668,1.1841753401326,1.0276054348955,1.0395236182982999,1.0482166984127,1.2440532054928997,1.3520458526024,1.1437902390522998,1.1165172234437002
"Gross total",31.5637505594241,31.7073041165098,32.6973943405026,34.6947424420301,35.2850429616349,35.29363856423149,35.3671081138088,34.995693819461394,35.1536462717666,35.626215890019694,35.6625299917001,37.57917079467289,36.0125873010343,36.75871984663169,38.4593573851926,37.4760037544354,38.704275652655,39.0455358257525,39.125456066411694,40.027242013339496,39.43332055766051,39.42128802913711,38.0058788906048,41.235262051682504,42.2782311942011,39.72599679549419,40.2736499640479,42.092992782486505,44.53966364934569,43.916216664013206,41.3524774263811,42.2158306421475
