"Maine Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",7.6078377983136996,7.392063059652401,7.509150668895701,7.450565976440299,7.515381051096099,7.408411182160499,7.843699104927701,8.225426660361498,7.973150582184702,8.518974554604501,8.9473056581697,7.896100822530101,8.935624915093301,9.847667357975201,8.9320034341452,9.3038079374674,9.204744944153301,8.951936648739999,8.3678426379692,8.4269481954655,8.163685631733,8.1901323772336,7.7899861204043,8.5847181648877,8.6937162403312,8.527223404140798,8.5605241981889,7.841938560697301,7.2468866573829995,7.1185984378142,6.562326818436901,7.093047848976901
"Industry",4.809250165959723,5.249449022241472,6.699025266310823,6.511285048502778,7.631058559698131,6.344717120071837,6.432000651212876,5.826534187323766,5.036486853382658,4.764184078988104,5.788286712325988,5.010724636855699,5.487059163122143,3.9343015836344457,4.941848546150633,4.80190427453443,5.0568613028402165,4.920215112350591,4.673669711885794,3.883161959207173,3.535774635526728,3.5629401016134516,3.1627652420425005,3.33325072400965,2.819290127411249,2.7549834306390495,2.5426746911091,2.4677013147693,2.5436214860555992,2.6914460817915,2.70446751526945,2.5684346538385503
"Residential",2.9992795862857,3.0583423942743,2.9470169852064996,2.9519122204501,2.974772971884,3.6231815625131003,3.8498913806889,3.6898954415605,3.9099907204284,3.6387907791634997,3.6014351779989,3.7779917276634003,3.2594768662163998,4.561120443248,5.1100284953182,4.4229382723056005,4.0314678462311,3.7849488178187003,2.7884721920985,3.0094927127627003,2.8079220095602997,2.9391441286658004,2.2476193952761,2.4845861463053,2.7229490357984,3.1010132961759,2.8400914360397,2.7037749020273,3.0945173672412003,3.0487561685748,2.8179240487102994,2.3306781640963004
"Commercial",2.5393151205693,2.5412043363332004,2.0593024667542,1.9197483175269,1.9341470943802999,1.6779712377838998,1.9188325512912,1.8594347130655,1.9142461569221998,1.8648351642408,2.2014671077781,1.9998107850660998,2.1322502751909997,2.5947418290896995,2.5337571074442,2.5161239504647996,2.4575609225886,2.775921635322,2.7057149767935997,2.4762875029619003,2.2283862087437,2.4717382592590003,2.0067305148220003,2.0999531078533997,2.2373653126666,2.2707477848391,2.0452193203241005,2.0329534719348,2.1236889287525,2.1533326902020002,2.0091282256672,2.0323282473526
"Electric power industry",2.4810751287647,2.06240945493145,2.0468397097984,1.69686689536855,1.63175298195085,1.67142055540665,1.5378665638713,2.203178663982,2.41158563244925,3.74827817178765,3.9693620428146,6.1409227027641,6.31098515243155,5.10214436980575,4.8325371942841,4.12640933803175,3.1741692638346,3.0324847143281497,2.9624211188745004,2.8116832317965,3.02817269438055,2.5138070620668502,2.1597687144728,1.78154848488265,2.02812376973955,1.9416011291909498,1.8455433931516,1.3661787739734,1.3450091409871998,0.9831271039875,0.96006227556245,1.5107127484629501
"Agriculture",0.6481229612135999,0.6416057750299999,0.6281676177313,0.6538834657356001,0.6749664641568001,0.6305503974272,0.6827443530204,0.6652861325472,0.6686493984618,0.7130624205003999,0.6357573227250001,0.6496656661699001,0.7028779285217001,0.7522737016106,0.7710794760388999,0.7847673187132,0.8130494063325,0.8247729476259,0.8387778585996001,0.714817246017,0.8032631132790999,0.7290819116980001,0.7477626351868999,0.7413251821593,0.6865775068821,0.5960825261863,0.600198603183,0.6035545739356999,0.6059753091538,0.5989459817913,0.5942529963224,0.5833505716755
"Gross total",21.08488076110672,20.945074042462824,21.889502714696924,21.184261924024227,22.36207912316618,21.356252055363186,22.265034605012378,22.469755798840467,21.914109343829008,23.248125169284958,25.14361402181229,25.4752163410493,26.82827430057609,26.792249285363695,27.12125425338123,25.95595109151718,24.737853685980316,24.290279876185338,22.336898496221195,21.322390848210773,20.56720429322338,20.406843840536702,18.1146326222046,19.025381810098,19.1880219928291,19.1916515711721,18.4342516419964,17.0161015973378,16.959698889573296,16.5942064641613,15.6481618799687,16.118552234402802
