"Missouri Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Electric power industry",49.32325402339575,49.55002182810016,48.11387519616585,43.25854784412185,50.65294154963535,56.196160969098955,58.6120868727488,61.76536513752245,65.4516468814387,64.7866128649747,66.17001532885155,69.311743529981,69.99410945821596,76.01388701672535,77.27598970115413,80.36159802771975,79.44777517062414,77.4073456217001,76.74002033125696,74.00607752942399,78.08701127764076,80.7522550584485,74.9991384465925,77.8541737458532,75.26718406419195,67.72825215897535,63.5598274403226,69.70441163736565,66.75431488948745,58.9250361731963,55.904066087592845,61.3554340105506
"Transportation",34.7316835157128,34.56530557399349,36.1457860810262,37.072008778051696,38.462271343309304,39.2620581861265,40.590113710798306,41.9249956996644,42.498194108785604,42.02552555919929,42.4171579018624,41.9135153670444,43.2979082536132,44.2820119653585,43.1713061872312,43.58577096136371,43.5724444214454,43.791327475055006,41.795624454567594,39.978889864837406,40.547426481703106,39.4650160770751,38.491489165160594,37.725781983736894,38.94652564408159,38.4766501900929,39.231362076218694,39.0840786259939,39.561487682763996,39.237940222129005,35.55671301192671,38.0627264837939
"Agriculture",23.4323797465185,21.8939967184106,21.3697128976455,22.8105859129411,23.569096688252102,22.9658073845048,24.1861556903074,23.494903954386903,22.890082878445796,21.9328202880128,22.8822919378333,23.9983804504822,24.258142517375703,24.246881541385303,24.1768269649777,24.0594681370424,24.4429486591838,25.079459918840403,24.3538061845485,24.4285542906012,24.6378847801875,22.7463961102945,22.247861080454996,23.9252392341798,23.861656177267797,24.5123627508518,23.5543475704021,25.142606393350498,25.861328435800395,23.9075913731234,23.0002491247076,23.2325572456621
"Industry",18.169867856524625,16.28694238070083,16.43444268390532,16.88537943284307,17.21549229234014,17.60135240652548,17.801858582581545,17.989961272368504,17.66433240568468,18.079225951658625,16.399066610445782,17.67889526223569,17.816879596393203,17.637082244442645,18.857701836712334,18.489796030689334,18.857910948519784,17.99770533122034,15.972850998418314,14.999561270561648,16.821196350273933,15.726534971847126,17.16008492048163,17.936241382195387,17.986590496159664,18.055854005005724,15.228790062488418,15.603170358291973,16.307434901523578,16.7752892804464,16.703653746198885,16.847496915555322
"Commercial",7.966107689322001,8.232292830056199,7.887521130463,8.185059909456502,7.7553996537433,7.645724510121401,8.4429931717128,8.2101501240116,7.3779388094238,7.461329541172502,7.413399728261299,7.9765375257344004,7.3639371266448,7.354646069284899,7.474279822503799,7.069559265007899,6.897802188285301,6.919212699657301,7.539585369279001,7.3643589840870005,8.3985454490388,7.507638715119401,7.1520847628723,7.778536262693401,8.1856334778294,7.994245156621201,7.5478661875429,7.7267158887911,8.1249774135987,8.025669658720002,7.609173937183602,7.8764535769264
"Residential",7.6480500170273995,8.1982588203782,7.903512767615401,8.917926588792,8.2172125867204,8.582125853692602,9.6883015369939,9.002502082861,7.6033320205947,8.1273025608149,8.1417212434825,8.8564797129412,8.1959974394992,8.107908636515399,7.5920368553464,7.3695534684187995,6.624253660204601,7.104749895290401,8.0008004232231,7.4559699019383,7.5424389253589,7.1839033097564,5.9084286098805,7.4322702686775,8.0484394276225,6.7081503006859,6.2718291045337,6.0772602789492005,7.9033742604635,7.949484432876201,7.0620541348132,7.134892151842
"Gross total",141.2713428485011,138.72681815163946,137.85485075682126,137.12950846620623,145.87241411400058,152.25322931006974,159.32150956514275,162.38787827081484,163.4855271043733,162.41281676583282,163.4236527507368,169.7355518484189,170.92697439174205,177.6424174737121,178.54814136792555,180.93574589024186,179.84313504826304,178.29980094176355,174.40268776129346,168.23341184144954,176.034503264203,173.38174424254103,165.95908698544253,172.6522428773362,172.29602928715292,163.47551456223286,155.3940224415084,163.33824318274233,164.51291758363763,154.8210111404913,145.83591004242285,154.5095603843303
