"Massachusetts Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",28.3672745944825,26.8914095763277,27.3435125503908,27.497262283696998,28.162664576953798,28.6934073412511,29.9271382198351,30.6471287591593,31.497113892530503,32.4818426669883,33.46707748516341,32.8900679197925,32.8630647996594,33.358101257448304,34.007877678249095,33.77029555728,32.849579316185796,33.34629663998,32.193301409802594,30.438364018421602,30.703886423472298,30.590513249564303,30.4195273011564,30.9115001117285,30.4476467964198,31.148401832392402,31.6974674111386,31.1729313895987,31.7573552980369,31.792842106136003,24.2837469414706,27.5505901516633
"Residential",15.1638920421881,14.5793561332669,16.234247105668004,15.917340879805899,15.5941307973688,14.06045875974,14.2175571930085,13.960110262942699,12.6374359990256,13.2544342308849,14.8642844450031,15.697035131416602,15.203703864521401,15.977882673706,14.927295833585399,14.3905820942896,12.859958833968099,13.401783411884198,13.5201254980015,13.917027637113899,13.816057999119598,14.0963988727354,11.7360955509351,12.4372612808886,13.9743435537885,13.5292357228164,11.269103094781201,11.771540186015498,13.271812484349699,13.6261273627755,12.190185413564702,11.7792208111913
"Commercial",10.698626403492202,11.6411858071812,11.1023656425266,9.7612655792423,10.622972243125,10.5490432471795,10.781237139443999,11.064275250399001,9.652572082495299,7.6652433838916005,8.1510513163348,7.2789474810067,7.5009278220405,8.8052578945059,8.4047397799289,8.5419203898514,7.097960770986701,7.423601485182799,7.6833868048271,7.9681495360211,8.7678476999308,8.5905130202579,7.6252327381375995,9.2357722807362,9.73349958922,10.1891672823458,9.5805922631602,9.592110934545099,10.1570419078496,10.303929603398801,9.5686045506749,9.3082718072636
"Electric power industry",27.85014195427745,27.544526163802097,26.022599329641352,23.599069543947902,24.0419115071995,23.24550756210315,22.7393860026026,28.0960930565035,28.5325223157601,25.900405281612198,23.819356738688047,23.512757874713298,24.45936946218535,26.52057974979655,25.21720367414855,26.114791783041753,23.53952582747945,25.56923211965675,22.020173387491447,19.3905617004122,20.024300036824048,15.8589408961151,13.679927572833451,14.42275243832065,12.5198707004014,13.046450772248651,12.404900264445399,11.888617096543301,9.2259321280078,7.7748910797675,7.2383626862877,7.663245165660051
"Industry",8.370896731835575,7.741854590382922,9.376735931709973,9.532887854762457,8.687064432959222,7.9815128714593016,7.862118824832699,7.851956361279464,7.827409920872919,8.446698895714519,8.286653783889749,9.396776516239322,9.217708831446803,6.965457979272969,6.694770666670232,7.022513974998183,7.10674798300325,6.991144435142386,6.600201752315227,5.74592623456992,5.9875973823996596,6.124278656884437,5.5073715724886405,6.006266582974294,5.462560091880086,5.676607746645523,5.572268741624922,5.6288103760422326,5.648859116222668,5.727519796273399,5.596473518278761,5.623110770375049
"Agriculture",0.4934569638652,0.49557750909000003,0.4768969949048,0.467109084996,0.4650784814875,0.44957335808419996,0.4498783849321,0.44108448249349996,0.416574196527,0.4564221240729,0.41303985923680003,0.3992813003625,0.4414711271517,0.42614876145,0.43190741176900005,0.4199687985581,0.4512688100105,0.4103679280683,0.3595571256637,0.36441735949119997,0.4836168437642,0.4628093326648,0.4700592620996,0.4161709181074,0.4003399644574,0.309570857876,0.28374412194489995,0.30306868040810003,0.2960551022792,0.2794434357195,0.26968337934139996,0.2702478177977
"Gross total",90.94428869014102,88.89390978005082,90.55635755484153,86.77493522645156,87.57382203909381,84.97950313981724,85.977315764655,92.06064817277746,90.56362840721143,88.20504658316442,89.0014636283159,89.17486622353093,89.68624590700516,92.05342831617972,89.68379504435119,90.26007259801902,83.90504154163379,87.14242601991442,82.37674597810157,77.82444648602991,79.7833063855106,75.72345402822195,69.43821399765078,73.42972361275564,72.53826069616719,73.89943421432477,70.80807589709524,70.35707866315293,70.35705603674586,69.50475338407071,59.147056489618066,62.194686523951006
