"North Dakota Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Industry",12.323394178776905,12.531248999212849,12.939823545356651,12.65765961350415,12.8500211955447,13.606723347353752,12.993926052468604,13.050009103860452,13.562574279766949,12.867881436398301,11.697803119350704,11.889377414222853,11.445016990547499,11.3778745930285,10.8171333984081,11.6300243465103,12.5884116926675,12.622597650123403,13.369259415367102,13.5830799182643,16.1506473290645,18.671473910733855,22.3126278961004,25.272435176723697,29.117686903513846,29.27212285661265,23.341042357289748,25.005414874996852,32.85751825630751,37.99364131186595,27.19419150491255,28.195106355248747
"Electric power industry",28.2360888264717,28.86050813402505,29.97927456924425,30.036478345027348,30.0568154356591,29.28982933126745,30.534101108507002,29.16063134657775,31.07646274566885,31.374866390721,31.9321700373134,31.66371200774215,32.095253715411296,31.6593492172045,30.3204268025709,32.7114531448383,31.0463473722068,31.7072067259648,32.3315259286274,32.0062818423392,30.4984088170177,29.34449732760635,30.418713559621402,29.716624021290897,29.85133258595955,30.82154127564035,29.95350633745085,29.98044597161895,30.9796947945658,28.913158572226248,28.057274215188652,28.03360197921945
"Agriculture",14.912399900840102,14.9965065120533,16.0419640115873,17.8472327916391,18.1339798176248,17.9381944150668,17.371752177335704,16.952303116412303,16.5670703670688,16.8406283905324,17.1853211318817,18.067539197931698,16.0134569920722,18.515666861554195,18.352088237151303,18.166329681257597,16.946195376495396,20.747520073635098,17.700433264348003,17.6467244867344,19.441824017546697,18.6621315949145,17.036955449020898,21.4525088514325,21.291148275909798,20.257171247514698,21.1457343538078,19.8590104130236,22.164826300215402,21.8643602801272,20.4672702661646,20.827693531863897
"Transportation",4.568199815757601,4.575816700878801,4.8796229639752005,5.1073201584488,5.2049488523652006,5.216272355665899,5.3416277757795,5.346136276412899,5.1676429626226,5.7845705826137,5.7761333082393005,6.079934369597001,5.990969971220199,6.1540544892811,6.179352541418299,6.181295596572601,6.0029513342065,6.212365177155599,6.2416886143303,6.145755021095599,7.0525051372596,8.1599683490692,9.056133454208702,9.234311339466203,9.757480759184197,8.8708750323445,7.7951981081165,8.1776037170549,8.552529540837698,8.9400611430063,7.9142958309288005,8.472110620157798
"Commercial",1.1901396215372,1.2285382950845998,1.1405467559245002,1.1833293511760001,1.2130434660031002,1.1977079203763998,1.2980384829736,1.3085783823605,1.1723490986276999,1.1782088720816,1.2571967335702001,1.2419149187734,1.2541236025034996,1.2879892293948998,1.3902865536978997,1.4396038748254998,1.1594032331254,1.4492269339709996,1.3678086697267,1.3316458970880998,1.4576805504277004,1.7729103668877,1.6076027016591998,2.0029364473676003,2.1383148139764,1.6830146979950997,1.5743315640762,1.6142306506883002,1.6519321047639002,1.8954960679643997,1.8135199392859,1.7486182282099
"Residential",1.0226165807102,1.141049461191,0.9913329631288,1.0129906293126998,0.9486834553208999,1.0213936168083002,1.1993599064649,1.217895143782,1.0009520254545001,1.0968501748010002,1.2200023682614,1.246575146112,1.2073049811105,1.2656565264024,1.2851210714752999,1.1843660619334,1.0205509259673,1.1193997164653,1.2337062819238,1.1051665680895,1.0340422137298002,1.0926141995287,0.9134893135529,1.1171259985979,1.1907529465050002,1.0234940400131,0.9816587985719999,1.0221672331082001,1.1842947816477,1.3620724081541,1.0512674125001,1.1118488583158999
"Gross total",62.25283892409371,63.33366810244561,65.97256480921669,67.8450108891081,68.40749222251782,68.27012098653859,68.7388055035293,67.0355533694059,68.5470514792094,69.143005847148,69.06862669861671,70.18905305437909,68.00612625286519,70.26059091686558,68.3444086047218,71.31307270593769,68.7638599346689,73.85831627731521,72.2444221743233,71.81865373361109,75.635108065046,77.70359574874031,81.34552237416351,88.7959418348788,93.34671628504879,91.9282191501204,84.79147151931309,85.6588728604908,97.390795778338,100.9687897833442,86.49781916898058,88.38897957301569
