"Delaware Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",4.3079421865388,4.4805578214518995,4.4275674468352,4.473205242455899,4.3927940549478,4.2832424714872,4.395372843253001,4.323418672209299,4.417856431606499,4.5758458002656,4.5702365964945,4.5315482023516,4.8339002888023,4.7693698548109,4.8149070943012005,5.0531526802215,5.0873360119719,5.090144560920299,4.7124688356246995,4.638097813359699,5.2542381760320005,4.882370164593101,4.7420900783183,4.5586400639004,4.6636075439706,4.8689460795776,5.6103051476229995,5.344389224748001,5.612243119174499,5.833004879635099,4.9327381845625,5.347486668670401
"Industry",4.590247619707551,3.64030158726375,4.845746013234201,5.2347494296199,5.3826650044653,5.2920609519044,5.198148991300998,4.987057370808049,4.798727600069199,5.130202576757299,4.9305247683758004,4.795705961504451,4.4142381492827,4.29157251587945,4.1358946644464485,4.41628835751895,4.20740031039745,4.22931128533815,4.02485549550245,1.9936831673780504,1.85477284653875,3.8752014605271,4.1494694302723,4.310083938347599,4.131458690567551,4.3512932829251,4.4537332225516995,4.1371633044727,4.15490691961375,4.420863306326851,4.408971339542551,4.328860276331799
"Electric power industry",7.78497693359125,7.9060798214054495,6.9358847716758,7.6939765250928005,7.2711246227477995,6.8880734336081,6.826153865346099,5.94632238362695,5.679359884088099,5.213230233007501,5.3850586983896,5.23614783701205,5.2185176166592,5.988988971839049,6.11903659738915,6.53593054596215,5.85326451853395,6.82587619520845,6.39488289774645,3.9352173982791503,4.323869499235551,3.9271214720801995,4.657585396966501,4.1549038631877,3.68514945062635,3.3552222535419003,3.6395089713028,3.0151670107069997,2.59246803076355,1.80812011684375,1.85660449593255,1.8152499158038
"Commercial",1.4882515531187999,1.3431893426986001,1.1393044218838002,1.3535295675461,1.2304359676166001,1.0956143686584998,1.2761591357610003,1.2177029484736,1.0720434577032003,1.1744176838801,1.2285573863852002,1.2847675190610999,1.3249327875599002,1.4480966997589002,1.446329260335,1.3825198184115,1.4061131153130002,1.3526993200157003,1.2752849837858997,1.4663929141293999,1.2054404556665,1.0979426365301002,1.1364069393635,1.2520170912286002,1.4603555210265,1.6351088658404,1.6721743958970001,1.6249438106783,1.7595254941581,1.7455274349162002,1.6386084562632,1.7035166117888
"Residential",1.0368794770093,1.0792856403235,1.1120728418909,1.1172965558135,1.1634729950437999,1.1530379630201002,1.2710555158078,1.1379034249581,1.0634772640655,1.1214927698199,1.2005878593619,1.1848300363134,1.174501124675,1.3083266316772,1.2400526345072,1.1926365950761,1.0165905722924,1.0315039493951,0.9730414407525999,1.0703612515631,1.0988744105830996,1.0120863578469,0.8340230067734001,0.9964936967187,1.1270620442125001,1.1084679060851002,0.9076936305687999,0.8811583595239001,1.1085907538004,1.0679134276031002,0.9698717252076,1.0543437718844
"Agriculture",0.5048015050579,0.5217011267807,0.502226757153,0.4871270823482,0.4920132212971,0.47128506445600005,0.5057751556787,0.4880040947035,0.49193660024299996,0.5100863308854,0.5061335567873,0.4884573245211,0.5106162898963,0.4920095404532,0.4819733672606,0.4813619847907,0.46921050425370003,0.4773949690777,0.45259479658409996,0.5006342925512,0.5256870236978,0.5627722163826,0.5045351257099,0.5109749218444,0.5440074101303001,0.5422376143206,0.4763782046753,0.49375896416040005,0.5117617998446,0.4829678698762,0.46731591357339997,0.45579731828289993
"Gross total",19.713099275023602,18.9711153399239,18.9628022526729,20.3598844028764,19.9325058661184,19.1833142531343,19.472665507147596,18.1004088947795,17.5234012377755,17.7252753946158,17.8210988657943,17.5214568807637,17.476706256875403,18.298364214418697,18.2381936182396,19.061889981980897,18.0399150327624,19.006930279955398,17.8331284499962,13.604386837260598,14.2628824117537,15.357494307960001,16.0241099774039,15.7831135752274,15.611640660533801,15.8612760022907,16.759793572618598,15.496580674290298,15.739496117354896,15.358397035201198,14.274110115081799,14.705254562762098
