"Virginia Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",40.154823939184894,38.53940926741239,39.929724169065295,40.864364910015205,42.0573775097157,42.9686959673306,44.0219861380678,45.517767384922806,46.88506010270449,48.6953924051638,50.45001393528031,50.309861404954596,50.311764601894495,52.6422855265515,55.4114560159797,55.222661193783004,54.8411751412005,55.907793637900795,51.9625598648862,50.092933220571695,51.9199332641682,49.0705181815935,49.9320099612908,49.4343378741709,51.3445277596973,50.826230289502405,52.281159527836095,52.485141807847306,53.0044898725087,52.70147867089231,46.864850767529894,50.6031720516594
"Electric power industry",24.5614662530897,26.53831554514545,28.38250374107825,32.905719507132396,30.8066043130726,32.1927967835558,35.01416126560824,36.35435372024214,38.62675079502145,39.677611169709095,44.56000437567761,44.17236745375755,43.5450624225665,43.01602839294536,42.542310742548246,43.386915442816864,39.2337354733387,43.8613694078228,38.41752301682104,33.0118017768242,35.9259992000364,30.169320947247453,26.764946243960598,32.60402860681404,31.985686896760004,33.44375552426231,35.21134471398925,29.7037105289637,31.948183108072197,28.39810249613985,30.113833550674897,25.61625079320215
"Industry",49.086362953428896,47.866555938738756,44.87838861172384,38.18275789430727,36.42618256008174,33.66318236211596,33.41153059136922,32.05181775675078,30.42573715168334,29.2417591774566,28.322269893509137,27.41988246858084,26.400311363518888,28.04125777265688,27.83530710869858,27.489443022474205,27.155244595504296,26.37184994897511,25.33756462225166,21.13509212261022,21.162791720016827,20.436503875355818,19.679361432377828,20.985055420283953,19.080473889273637,18.813207153149598,18.82263004807212,19.499996435322792,19.563417988909375,19.57995147238661,18.994733006518892,19.391043280045483
"Commercial",8.9181040671005,9.0661433223367,9.2880830069055,10.2953987936717,10.561476084334,10.7498352282953,11.5170707923154,12.054203880290501,11.8657751504154,11.0867830203049,11.6532880892199,11.0751561336317,10.780012708336999,12.1048225133271,11.819509264552599,11.6167704832254,10.986794300304602,11.110198775289998,11.0305265338499,10.8505874127653,10.443822172393201,10.1640706887967,10.0106032321931,10.6015769310918,11.1261148342107,11.6898856662671,11.8383369861448,11.538345652297497,11.9077228484176,11.7925544718702,11.691102572690498,11.664925345522699
"Residential",6.572744383993899,6.5159172020086995,6.986051166515099,7.1290650390552,7.0007350213199,7.2157187229943,8.2180557167703,7.858370037278,7.158490590141399,7.254088279998601,8.2999693305604,7.657364064296,7.3619559425712,8.413718075337702,8.558968057042,8.5580542920369,7.2634616594593,7.6237376749866,7.1025730471904,7.275644233835,7.589001527868501,6.9138792953754,5.905313999982299,7.1372579979804,7.7742155623933,7.2290075466664,6.4866275510257,6.245379507201901,7.435221947027401,6.940993305111499,6.747398168071601,7.2520088259525
"Agriculture",6.6124216161612,6.618571306482401,6.947532860991401,6.8366241443722995,6.833278867562,6.820377719533202,6.982827085379101,6.6731454882104,6.556558296214599,7.1995779159235,6.8262480039132,6.7745930068848,6.8704962447923,7.0321151830219,6.6973510321570995,6.5731974497147005,6.6190662323983,6.2814967840998,6.597357055441701,6.0926185807917,6.2113919626478005,6.4850152870374,6.348400761342201,6.3819672490890005,6.284177319400799,6.3216438053054995,6.0765385996972,6.0351543037269995,6.354342137738301,5.6157605465080005,5.7057068376659,5.5994617262247015
"Gross total",135.90592321295907,135.14491258212442,136.4122835562794,136.21393028855408,133.68565435608593,133.61060678382515,139.16563158951007,140.50965826769462,141.5183720861807,143.1552119685565,150.11179362816057,147.40922453210547,145.2696032836804,151.25022746384042,152.86490222097822,152.8470418840511,146.09947740220568,151.1564462290751,140.4481041404409,128.4586773473981,133.25293984713093,123.23930827540627,118.64063563114684,127.14422407943009,127.59519626173572,128.3237299851533,130.71663742676515,125.5077282353602,130.21337790267359,125.02884096290848,120.11762490315166,120.12686202260694
