"New Jersey Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",51.9348047312848,50.1913145064321,50.807921283179006,49.372626324987706,54.9947877422836,54.7972999360785,55.8115460428507,55.79681194047369,56.7369378671322,57.992189156994705,61.221600285175406,58.9978698017258,58.9448464685936,58.04063550775471,59.660497229844204,62.1328778632599,62.83458336600209,64.8336228144896,62.0257089432703,57.196662097650595,50.8808578770224,50.08738288714199,48.67148321541951,47.987231659051105,49.001360536244896,47.7901222428905,50.3122893318092,47.6828292332059,48.093757161466094,46.627880485679796,36.6609345215056,40.6533169387168
"Residential",15.447683474091297,15.4922151057813,16.577307320867103,15.955743910138,17.7818135037226,15.934813287027499,17.7991723591984,17.0230384442876,15.0048387812357,15.9764748228784,16.7806345515106,16.414820581308,15.776306492813001,18.5075415042126,17.668917060323402,16.8492640178085,14.3852697087949,16.2584023850067,15.658918330814,15.8716614496145,15.0633468733382,14.5076853294874,12.8890655596279,15.2844526754043,16.9024188643196,16.062867244707,14.1502005820763,14.300501494942802,16.3981671145778,15.8823377226893,14.8656833290071,15.5446052237493
"Electric power industry",13.01932222701515,12.6260371333566,13.49123720379325,14.16378562648155,16.343491331853798,18.091548241788697,17.06913542561345,18.136734885417198,16.94869769967945,17.7228260340267,20.016039313883752,19.442814242378102,19.79893202728055,18.909223539117352,20.06169676466015,20.4210451245561,19.5407537195743,20.654060160984,19.8706583464799,15.873448045897298,18.97382243182155,16.819256221307548,16.0009270531296,15.65252234918525,18.01271906930985,19.0777353117387,20.88383688925775,17.89526228041345,18.50080294974605,18.5026099329553,14.6238268550433,14.385914353443699
"Commercial",15.4004468795683,15.140592933439699,15.382951264879301,14.308109355784302,14.532494499246798,13.223229010291702,14.319773590318004,14.410691135795,12.785746331966202,14.4482041422445,14.1034416260821,12.4530335390192,12.5448084964474,13.8259322553694,14.1957634146104,14.4111707281746,12.9494434188315,14.3933875923581,13.963514882958401,14.543249772551004,15.1810109961748,15.921271292281201,14.639600407471,15.0720465459523,16.9368404396926,15.4623388801393,14.530667434274001,13.750200912545699,14.5379515804147,13.8663893051208,12.824925369241301,13.5082997237768
"Industry",18.307825136670125,18.28709219355749,22.540201227931234,22.89826445640085,23.381000721737415,23.59523417330243,23.758779572911138,23.759840168211692,22.604681920034736,22.533573390810332,15.906400069478526,17.094430864461426,16.32428231803742,16.71784726035665,17.35864529407108,17.268796961082366,16.42601576841557,16.388506847787557,14.493502794528169,12.522958720790754,11.860405028033753,12.928048644161008,12.812258841253865,12.663802880114265,12.162282380984875,12.457722746886851,12.92765847243317,12.044771286234457,12.384389427329785,12.708386670493999,11.39637090405728,11.476895381055128
"Agriculture",0.7797581925253,0.8152111711087,0.6186485049722001,0.6817877738932,0.7052594513902001,0.6298506933178002,0.7204963501708,0.6384819268805001,0.5121696529092999,0.7174763014339999,0.5527457463763,0.6140685570159999,0.5913921602662,0.5495247401328,0.5303523146822999,0.5313817464479,0.5819640606145999,0.5366365230599999,0.47083291328610005,0.546738528602,0.6193255525018999,0.5889553978652,0.6041889117902,0.5671639654558001,0.5359232454444001,0.46090232710490003,0.45522390746639996,0.4130082381425,0.44582041395940003,0.4303151156377,0.4139506428372,0.4082188664004999
"Gross total",114.88984064115498,112.55246304367591,119.41826680562208,117.38031744768561,127.7388472502344,126.27197534180664,129.4789033410625,129.76559850106568,124.5930722529576,129.3907438483886,128.5808615925067,125.01703758590854,123.98056796343818,126.5507048069435,129.47587207819154,131.61453644132936,126.71803004223294,133.06461632368595,126.48313621133688,116.55471861510617,112.57876875889261,110.85259977224435,105.61752398869207,107.22722007516302,113.55154453599623,111.31168875346724,113.25987661731682,106.0865734454848,110.36088864749381,108.01791923257689,90.78569162169177,95.97725048714223
