"New Hampshire Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",5.4459504884708005,5.502260443921199,5.539262356638102,5.589816518444001,5.776026441501701,6.024841959502099,6.240671582200299,7.226606596367301,7.3175630687309,7.594845035837001,7.682012547864799,7.667268339887199,7.9140765729587,7.9958740217318995,8.0457418530056,7.698108136603901,7.502332639569299,7.6451916920827,7.3053069722347015,7.2205097729534,7.2845200685071,7.0918282466443,6.958029790390001,6.939184288530599,7.129403113867101,6.9071611082127005,6.8487343287136015,6.872056923768101,7.0409930723546,6.9561458845487,6.054794621596599,6.7340704056034
"Electric power industry",5.1251730521489,4.713551666727549,4.606217788234701,4.7604641648803,4.70660521319445,4.67200822751795,4.5276999538629505,5.4182049563472,5.07288551365065,4.9941791587749,4.8601887305622995,4.4977681517829,4.6675837214181,7.5037974983552,8.11306956040395,8.1145838534454,7.2106441212351005,7.0867676925791,6.97604424459285,5.686104789168399,5.7687180790161,5.300396022551251,4.43191380438235,3.6153112442071498,3.6293587590956498,3.8076384338366998,2.64205607053445,2.07607666852415,2.27006518155555,2.0375070412719998,1.8217010226617,2.33207288983995
"Residential",2.4582282384493004,2.4960762918459998,2.5191896001480996,2.4345379259688,2.457391866709,2.5722644703608,2.803050648143,2.7607841898655,2.6526325786678,2.6214121129716,2.7218636172213,2.7775155460613,2.5198104110821005,3.1725492992962,3.3417447959185997,3.0440154121712006,2.7933824947229,2.7539629392168,2.5150839684763997,2.5995044506962004,2.3627530727243,2.5216876667234995,1.9734832666152,2.3696751038697,2.8546791391217,2.7983523516855,2.504205924198,2.5937988990266003,3.0188462368168,2.9735371716078,2.7440009949515,2.2614823631015
"Commercial",2.3003543892615004,2.4123613722123003,2.2333801568769003,2.2741621376445997,2.5232164027862996,2.4952588333243,2.5937083370217002,2.5065183009042,2.3557743266321003,2.2843063161386996,2.4460490813334,2.3702108033720997,2.3138574120564,2.7621178178061996,2.9933741472490003,2.9445802643803995,2.4527069938647004,2.446353738356,2.4373522634076,2.3595507176568002,1.9686169675691,2.1471726509535998,1.9708755208618,2.0681187764484,2.1824556019765,2.2576764058759995,2.153251485809,2.0371415032740003,2.2479779237324005,2.2853580123070003,2.1260058572169,2.1841473925566
"Industry",1.2819997115341002,1.24313786111715,1.5215428052115998,1.7759668655586003,1.5612038707425502,1.5220998487436501,1.46745801079525,1.4073331184944002,1.3560725800667501,1.3538061459039001,1.5933590147856997,1.6575781795672997,1.5597426865189004,1.5598897946068,1.6223053514620502,1.5200447482207997,1.7403917999957998,1.4115997457672,1.3285366786808501,1.2341592242879003,1.2996100290956998,1.23456643695555,1.13148186224605,1.3195927438321498,1.30150151985525,1.3005046920054,1.25508490254495,1.2903297880210498,1.2859040979288503,1.3112808733613,1.2942550697483037,1.2368781054017528
"Agriculture",0.26045836465460004,0.28562099123960005,0.2655191976708,0.2645961261883,0.2715659442046,0.2622398681073,0.2593592416098,0.2613169440918999,0.25675802280079996,0.28550018683530004,0.29674210537969997,0.29025531848150005,0.308180223415,0.3191383268707,0.31669701479789997,0.3244635197,0.323002762792,0.285748257657,0.298408822346,0.2814267940201,0.27891735942070006,0.2863149445407,0.27129887151459997,0.2604836972527,0.2611259239844,0.2270552360832,0.23243253598510005,0.2361228037888,0.2291811494525,0.2211248630705,0.20428278016200002,0.2050990048516
"Gross total",16.8721642445192,16.6530086270638,16.6851119047802,17.099543738684602,17.2960097391386,17.5487132075561,17.891947773633,19.5807641060705,19.011686090549002,19.1340489564614,19.6002150971472,19.260596339152297,19.283251027449204,23.313366758666998,24.4329327228371,23.6457959345217,22.022460812179798,21.6296240656588,20.860732949738406,19.3812557487828,18.963135576333,18.581965968368902,16.73708311601,16.5723658541407,17.358524057900603,17.298388227699498,15.635765247785105,15.105526586402702,16.0929676618407,15.784953846167301,14.245040346337003,14.953750161354803
