"California Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",182.0611992000355,171.0034385626175,182.31102970716393,178.0314504261623,184.4912043818497,187.54296217719988,192.8049748250911,190.7945782821804,193.3830258925691,198.94020927632533,208.48534893621783,204.4120173867276,214.22543665189025,209.88824450591616,216.0243005407676,217.7273935238631,217.1970270209762,218.5689375605621,202.1833257503483,191.1598805797913,184.5144297270288,179.7376926281624,176.4523112569648,175.8851952113092,178.4493038897906,180.0259086896384,187.8569108001387,192.52083650365122,193.5296801709656,195.447328704508,152.6708849706701,172.78583973354958
"Industry",93.6378756190462,95.42951324682475,94.14093288273251,89.90350730569268,90.03368742567723,90.29748244680445,93.44185158818918,97.44506390972123,96.08909389529228,92.72881312140622,93.02565502226703,94.19673625346205,95.5799795297352,95.70964906545329,100.41455658577522,97.85762503682382,97.79143739715484,96.97034906984989,91.01058616917973,84.8089150153988,85.87914390026764,85.7240362229696,86.61769219973459,91.8319645124624,87.74764278643673,89.83126577129244,88.84062949482815,88.02555524612566,87.97721456656504,88.65889871423529,82.02221359676054,80.16051920118517
"Agriculture",32.898810283234305,31.3565922493397,31.8254641990199,32.704490547755206,33.9854446723379,34.0842792505138,35.226566964493905,36.5053941029482,35.793325887539396,37.13529982734839,38.2638688597097,39.010293158621394,40.429217283548,40.2677419937669,41.0220560747756,40.6548079516643,42.001227133219004,41.5167723523351,42.979641788680894,40.521104432231,41.197445058307096,41.3197080486898,41.383789736785594,41.09772657369851,42.430756703252996,41.708949654517,40.3231024590709,39.5007776039803,39.701339113974896,38.804910218753506,39.213456049909695,38.9150533439847
"Electric power industry",43.03353674802165,40.62700840896585,48.1402170673427,44.52023166452079,51.8545545115505,39.496413033105746,35.1910596268501,37.64432282986576,41.0543236973516,45.093936448845895,54.81296850561465,59.686200844627955,45.872507047111945,44.770523200893145,48.54185733334845,44.0420161948955,48.57704652974035,52.0681543043634,52.8683074622864,49.9348040773045,45.511536767438756,38.103266674917855,49.73341734629515,47.5818443879285,48.0723929981289,45.9614475286795,38.07968799416485,34.49113842971101,35.000915504868196,32.498689478218296,35.15063968197086,36.770579123662756
"Commercial",57.422595791294505,57.518915810589206,54.359131192980605,48.639383369191094,47.649671442393995,47.2218682239709,43.116442955872806,40.652513176440806,41.29409272632801,37.49938914825661,37.395472576518,36.822541132016,36.008760996864204,36.542522806395404,36.280892126801504,36.2966896840476,36.3497060177291,36.9614185831823,37.5091531184196,35.9925619558372,34.2848436556038,34.3861775489922,34.0325377750776,33.979253628395,33.0105334396208,37.0724209204374,34.953426269028,36.52918950000881,35.249815428522,36.877938616469606,35.6786851159869,35.693024423902
"Residential",30.344100811430803,30.2588812008479,28.221662511389795,29.530096488078303,30.138540726357597,28.0450237978671,28.326120995679698,27.9990300980904,33.5392158722818,33.284849158972506,29.0139236713891,29.958751501672896,29.932813712073603,29.5469886146948,30.603894088506397,29.2121414855731,29.489276636805002,29.7620585233774,30.0793229995203,29.531541611952502,30.534846710405603,31.349426342824103,28.8450819937143,29.4714028643475,24.8499845543401,25.2793142247364,25.9817814631855,27.140527963025498,26.731538140100398,29.3135937448803,29.031815265514,29.028659935515595
"Gross total",439.398118453063,426.1943494791849,438.99843756062944,423.32915980140035,438.1531031601669,426.6880289294619,428.1070169561768,431.04090239924676,441.1530779713622,444.682496981155,460.9972375717163,464.0865402771279,462.0487152212232,456.7256701871197,472.8875567499748,465.7906738768674,471.4057207356245,475.84769039367023,456.6303372884352,431.9488076725152,421.92224581905174,410.6203074665559,417.064830308572,419.84738717814116,414.5606143715701,419.87930678930127,416.0355384804161,418.2080252465025,418.19050292499605,421.60135947706493,373.76769468081216,393.35367576179976
