"Wyoming Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Electric power industry",40.4714979171883,39.523484065286745,43.26751895162636,41.156753432874204,43.19346649479044,40.607966256457445,41.3899290260578,41.02047479700935,45.531576265881256,43.76826350983214,45.15161384258971,45.137361666773245,43.6812898874755,44.88283102859039,45.419570633233,44.61565943616719,44.234591877753545,44.71837558448245,45.2055109548385,43.0898841547941,44.01629359190909,42.261135263198994,44.59114618826215,47.53388528717655,44.4586348414172,44.613837295435,41.50340084755396,41.65365283161856,41.4533502112689,37.14672845320636,35.957816388519156,34.75984713424805
"Industry",23.931951109921595,23.900646752273648,26.146941083824448,24.4189803021785,25.602635952317748,25.58132794458445,25.91922343808401,26.862283766013054,28.388156022907843,29.146969717221854,32.4692460328879,34.89222882422276,35.25876906977841,35.6655161778592,37.19419652218111,38.00276242358439,40.97832680047723,42.630914400089644,44.25455316062709,41.95323018710791,41.75488380160931,43.34183490410741,39.51690754180664,38.023249733223636,36.1024207971394,34.05587328126129,31.673397866867948,32.20856392906366,33.6027504699566,31.226148135297553,31.32079242730014,30.848526274172844
"Agriculture",7.7096935255389,7.636933674017801,7.857343676391499,8.5040748761994,8.517508686241,8.784077903122,8.515454775832698,9.508218509767303,9.267468934115602,8.513213972332002,8.2764701735934,8.460351307611399,8.305280237163302,8.1420672390803,8.2738193974386,8.162066477244501,8.159153307547799,8.7087999147534,8.3114262286512,8.478149603790701,8.278909209123702,8.690466760209098,8.294490152671601,9.1296630500834,9.5233963227964,8.9790046035289,8.676233876479401,9.136058591942202,8.996942147158201,9.188867113147799,8.5146152935883,8.6811283104047
"Transportation",5.2844609693612,5.160999259675001,5.483111921802,5.893927838201501,5.7926935450433,6.185046532738601,6.591672325548501,6.7479305356802,7.071581843275901,8.2594005470194,7.356837132270702,7.7381711610939,7.5366133849325,7.464598531294601,7.785648373912199,7.910440007885099,8.070588663848298,8.5213478484082,8.5335888032401,7.9308556417493,8.198786414984502,7.525365655942199,8.040824035280203,7.9117731473914,7.885924569220501,7.485410908181501,7.2737248126423,7.131923977611801,7.498214985672201,7.390898123165701,6.970867903482599,7.2748741645541
"Commercial",1.1035079395121,1.2025388647898,0.9874493558410999,1.1892423652246003,1.2225976404552998,1.1479384257267,1.5189957845531001,1.1286797846776,1.1038015842819,1.0682267124369003,1.1770640388497002,1.1893823419318998,1.1350164853518,1.0990501603573999,1.1353697891523,1.1416942525999,1.2201890334043999,1.3630524053922,1.3382244469564002,1.2827033631119,1.3706821581280002,1.6366935547204,1.4255639423246,1.5813918301434,1.4137499517042003,1.4627278572554,1.4268592617754998,1.3097402522726,1.2579507201832998,1.2727941339247002,1.1891253158544999,1.1493464839231
"Residential",0.8450583054992,0.9006267806685001,0.7841594604275001,0.8960818993816999,0.8382828198004,0.8795691617459999,0.9748617117976,0.8321677775329,0.7993455832339,0.7843656452723001,0.8495312069922001,0.8180281122366999,0.9311823205341,0.8571503164807,0.8552323695196,0.8443584945254,0.8321393758999,0.9649517320013,0.9970678862612999,0.981358369838,0.9614567787646,0.9977506709759999,0.8453826203804,0.984289802792,0.9722193341172999,0.8609337303826999,0.9088352066353999,0.9912824801785,1.014872259308,1.0928668468496001,1.0018851077856001,1.0137038425992
"Gross total",79.3461697670213,78.32522939671149,84.5265244499129,82.05906071405991,85.1671851386482,83.1859262243752,84.91013706187371,86.09975517068041,92.1619302336964,91.54044010411458,95.2807624271836,98.23552341386993,96.84815138523561,98.11121345366259,100.66383708543681,100.67698109200649,103.49498905893117,106.90744188512718,108.64037148057461,103.71618132039193,104.5810119545192,104.4532468091541,102.71431448072559,105.16425285081039,100.35634581639502,97.4577876760448,91.46245187195451,92.43122206268733,93.82408079354721,87.31830280559171,84.95510243653028,83.72742620990199
