"Oklahoma Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Industry",56.02385270607283,53.23711151486781,52.89806379664286,53.83119037982325,52.25408039684259,51.971964902172694,50.31263475823355,50.517549051381344,48.21274232473951,46.02281742217665,46.0206284894974,45.06161400954049,44.745149972790145,47.367242810484605,48.05787945839145,48.71247271199703,50.197127601890706,50.1314453740038,50.7622763353384,46.859877313993245,47.04116310394321,47.82144222791526,47.07679166710219,48.8463527640403,50.65297209909071,50.41335492994679,51.015116838363454,53.61979738363275,54.841456472949055,51.99429289410385,46.32861906195045,45.2670116445542
"Transportation",24.1301305069846,24.1007175121247,26.132782003301593,25.456520375453202,26.791896446764,25.9539698224524,27.349456077610593,26.8144956943796,27.216734837683397,28.610082501694897,29.4170083979962,32.247624977084,29.8376614129222,28.565454108068902,29.0836119302298,29.6510290333856,29.205197092650902,29.93154573479,30.146555721458903,28.207059145660903,29.1710804214758,28.3032908119175,29.141020255682097,29.3283725705249,31.176054821166996,29.9706852544534,30.3855486898304,31.090716441387205,31.766028964414996,30.8799671711337,28.249860648016302,30.194032311767703
"Electric power industry",36.30351790703085,39.02068965337141,39.42426519815015,41.16394754119094,40.003022687816,41.937125830463906,42.87696650170715,43.80374807639965,44.515869030500696,43.37075829679404,45.5749373328977,44.95463205532209,47.41185569425424,48.02984859491261,46.107665190421244,50.80526312193365,51.43208692363481,50.79788439202271,52.3855458164277,51.053041916839064,48.6231697876735,50.59118626967585,48.498193944196906,45.58164178928499,43.3068119246874,40.851030206490506,36.42819602518185,31.50015281741205,34.25389401907673,28.276527418185452,25.93920297593785,27.426844782879204
"Agriculture",17.512297244465504,18.3412087017159,18.2913729266123,17.995289624065503,19.009363153596503,19.1155172426301,20.352740469524004,19.752624687914302,20.0542305382219,19.813876301280498,18.9833421389416,19.320815132177604,19.675368188648697,20.0644162206266,20.451219821459,19.638593536920197,19.805033975407497,20.709632208388296,20.289647529889205,20.7711091954051,20.511115713413904,20.276675610528898,17.9330855607106,19.098761969131903,18.308516376129703,19.356428451057,19.2311598194135,20.176432450009898,20.0881610419975,20.2608461471217,19.509617749455398,19.379889523823103
"Commercial",5.7880173533234,5.8539857577539,5.347683024833401,5.324062418572602,4.977993762481599,5.061523841226901,5.3956325062438,5.611673056957601,4.962375215409501,4.686740454364499,4.7259359478579,4.785966944884399,4.698988083088001,4.4392434915306005,4.3287172995363,4.454111042657,4.3505117771532005,5.0468987156877,5.285538148171,5.307132125725899,6.201345026219301,6.183089764109801,5.9096333212457,6.3715284834917005,6.4844297396097,6.937898559889501,6.3318554491609,6.343351204764901,6.6325942757679,6.903705757367099,6.514644672703501,6.390477805551
"Residential",3.925216304238,4.129187707029301,3.9152557180569993,4.638071764075,4.143788481017499,4.2032680012753,4.788560882695899,4.4643444801445,4.142978574089,4.0973526383672,4.4544082399068,4.3163051063384,4.5892687299035995,4.3128007125003,3.9061145313079004,3.8438214449631998,3.5292987488503,4.0521474506509,4.3532373833657,4.157763345268,4.4101727425023,4.1680998135014,3.3892635983423,4.5079662900499,4.7118570089867005,4.199256825727801,3.6719534906717,3.7615086710313,4.7564710461474,4.800555646443001,4.5254423413702005,4.8247363055699
"Gross total",143.68303202211519,144.682900846863,146.0094226675973,148.40908210318048,147.1801449285182,148.2433696402213,151.075991196015,150.964435047177,149.10493052064402,146.60162761467777,149.17626054709757,150.68695822534698,150.9582920816069,152.7790059381236,151.93520823134568,157.10529089185667,158.51925611958742,160.6695538755434,163.22280093465093,156.3559830428922,155.95804679522806,157.34378449764873,151.9479883472798,153.73462386652366,154.64064196967124,151.72865422756502,147.06383031262183,146.49195896823812,152.33860582035356,143.11589503435482,131.0673874494337,133.4829923741451
