"Georgia Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",49.7290375341334,48.053813880064205,48.767874779298495,54.132213878483604,55.6466492777529,58.281054508844306,60.7023440027829,59.88940338165379,62.7845956006276,65.36549760921841,65.64870735925342,65.19747230248869,66.0091851694594,66.996321492807,67.43422710197441,70.185961076033,66.92659878292899,65.8621767913848,60.472700327491005,63.0786312800018,65.8626677006643,63.0543852110715,60.7829919448909,62.1032953960307,60.804567696594795,64.9452833193,62.04088837002059,65.938811423395,64.6644422009479,63.3738516692405,57.1322584151708,60.352186741551996
"Electric power industry",64.34549594055215,57.76828225298531,55.608509892083404,59.844114804226194,62.097472009266795,66.285904131884,65.93142955559176,70.58910380007525,72.06603828852735,73.52174759807545,77.4986119405809,72.09489972200646,77.1487542529307,77.37636887580969,79.57382802891209,87.61969881472415,88.17152267103516,93.85487914980871,87.8675618319047,75.7174597139968,81.23371406540183,69.6095646431043,57.05539014010325,54.98112650484195,60.93354177834025,57.01093904210715,58.88660021693165,53.2535073707089,53.0837454760304,49.3558750828458,37.962472589913396,41.52229052930956
"Industry",23.921074334777952,23.863917895036902,23.927861949297,23.64379601909671,24.562350309914304,25.279622133099505,25.480214666614344,25.174101817818055,23.868095963513344,23.514583317671356,24.7580239920877,24.058508085191654,24.557573315255897,25.624677765990402,25.879533857219606,26.14603902173025,25.869850994540553,24.434807262596102,22.504077075980895,19.5185064364987,19.61439484867295,18.515371858776415,17.460072738632466,18.39196457396187,18.173895278177657,17.387987313749747,17.147014390612348,16.5823653994558,17.063921577006106,16.768123948533102,16.3530758234014,16.85610732796675
"Commercial",9.113435264834301,9.2034483641671,9.6003926288183,10.047890326384902,9.6453046809669,9.901709789888798,9.9060667468514,10.352725957764298,9.970963429309599,9.6142503873495,10.607540376303598,10.013180491661299,9.716801950781699,10.124370966046701,10.4094599282225,10.148018835316101,10.109437312543498,10.4763868562343,10.861542318101602,11.3110966163978,12.5318485056702,11.354452539745202,12.108862595831297,12.8005698606832,13.189104002927802,13.8056217587415,13.7615522729514,13.7933607106787,14.7976453257515,15.3722545411401,14.8736625766213,14.208442316406499
"Residential",5.963560663801701,6.3486936885153,7.066656644893099,7.5652451428807,6.96375561941,7.664678702480801,8.3579916511963,7.733384331658099,7.2187950984159,6.859139755392101,9.254093828839899,7.825091457375801,8.066631382151101,8.298403015023402,8.1447490511665,7.895615191656001,7.028238983116301,7.1460147034103,7.6517328762547,7.7648169000342,9.029309407652299,7.4729823907833,6.8947844674133,8.0805329639278,9.0063930898859,8.169285084577599,8.2778417107798,8.0118797805263,9.428572740849699,9.4431941555935,9.015479535164602,9.7831351627377
"Agriculture",7.8365621344832,7.6132744604022005,7.5733965850455,7.638107560874399,8.0834048753287,8.212795638097301,8.2236162761118,8.0296623102515,8.118249986449499,7.8625715264105995,7.822259610707301,7.8925227641096,7.9725551083119015,7.673889270855501,7.766428204087299,7.549711349907901,7.5817521653171,7.500490467816901,6.663550637562,7.226893554879499,6.7896281453399006,6.7570092299208,7.1618525984977,7.018710277932801,6.9484859479631,6.920321023121299,7.1365905402512,7.120924718784899,7.1503284133406,6.682935922800999,6.624628267112701,6.4361918338330995
"Gross total",160.9091658725827,152.85143054117103,152.54469247943578,162.87136773194652,166.99893677263958,175.62576490429473,178.6016628991485,181.76838159922102,184.0267383668433,186.73779019411742,195.58923710777282,187.0816748228335,193.47150117889066,196.09403138653275,199.20822617158242,209.54504428936738,205.6874009094816,209.27475523125108,196.0211650672949,184.6174045018088,195.0615626734015,176.76376587340152,161.4639544853689,163.37619957737832,169.0559877938895,168.23943754159728,167.25048750154698,164.7008494035496,166.18865573392617,160.99623532015397,141.9615772073842,149.1583539118056
