"Arizona Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",23.656005942294897,23.715363128086995,24.5797919228635,26.012732233824405,27.0747873938483,27.659135592162098,29.445250013147298,31.170765701778,31.981619972823196,33.8601089474091,34.364620928706,35.262266989212094,36.487283289174094,37.3031538025233,37.6236740256969,38.978594198036205,39.546290922629396,38.983484831059705,36.2025458799951,33.354948200900495,35.700105614729004,35.19028108836039,34.7781970056686,33.873311090860405,35.1907665172117,35.806910147143995,36.785622885489,36.9988237523827,38.1441492946463,38.8323438139184,35.3598088106388,39.668539509470804
"Electric power industry",33.68629464541875,33.94181917637601,36.608853002246654,37.74751528093345,39.18281874463095,33.36091185223095,33.3226343872728,36.0600731935792,38.532383727960045,40.860944831838246,45.801169117483354,47.0172218169672,46.10036478145625,47.29764586815795,52.98563990673549,52.094709464854944,53.968584702619545,56.43149378159375,58.8972841794604,53.663404107853,55.6818702406803,53.54900253832255,52.52105033081955,56.009627057411,54.352091039187,50.817864619928656,45.2998653335303,44.52744859536195,47.5022719307669,44.13148964366925,36.09729129546555,34.8185449079196
"Industry",7.410025828545486,7.649766932669037,7.507779950399685,7.747089409266898,8.26861716490375,8.760578389096278,9.035015297184877,8.995507156843138,8.994807814214838,8.813745006453265,8.70516987442822,8.499481656652758,7.960302559220105,7.960418884500064,8.684194992360844,8.988507627738088,9.513956629388144,9.29653158616322,9.072507824652496,7.615574610051544,8.843933871789156,8.18446404255642,8.061898073511992,8.081378437743913,7.951287950688153,8.242847256540813,7.936173333831286,8.25443828378783,8.841439299845502,8.89049903261775,9.077638865269844,8.663818777792796
"Agriculture",7.749078033325199,6.9911702678872,7.6598316751832,7.496661095576901,7.3702255593084,7.5510895203945,7.4877061297094,7.6216369265572,7.9186681112395005,7.8232057192886,7.4595275596285,7.650196317156199,7.5716223087079,7.8424792493,7.9583974623941,8.0755126993947,8.1990770697847,8.2086154204143,8.6930304222168,8.431453546662599,8.448562174828101,8.122189865797601,8.311553611108,8.3064375740745,8.318870479106,8.477781658323,8.3272242384114,8.342249688171,8.4506133443246,8.480925804829699,7.7229970177643,7.9168525378835
"Commercial",6.090199112835401,6.1882358915377,5.910059573955301,5.972746151238,5.980296871031401,6.000710439523399,5.8990722384395,6.1315488230141,6.0603728907205,6.414318742388601,6.525545520631401,6.2516275357627,6.2598751039503995,6.2935601030972,6.5448179820035,6.6684309652692,6.5555117260563,6.630118900256499,6.778657592785899,6.689075476539899,5.5274382297818,5.3188765759238,5.6733374769097,5.5085917221239,5.6028750311049,6.2064168347666,6.1994831715184,5.8470656113859,5.8653351727734,6.194944853796599,5.7136330329664,5.870293508869901
"Residential",1.9169605160775,1.9925717381592,1.861433247434,1.8101705946681,1.8963668265308,1.8647305482043,1.8437655180087,2.0525124213319,2.376823466623,2.2989415856328,2.3655051272905996,2.377595027961,2.3485833897991997,2.3097360389765003,2.4162542379434,2.3208021262263006,2.3544458947655005,2.499629354955,2.6784182309247004,2.4130817980923,2.5780213236794,2.6515651603163004,2.4211412639237,2.7051719539202,2.3485996257451,2.462280120031,2.4798319088628,2.3506176487809,2.5762912386042998,3.0224663893394,3.0469902882646,3.0631346985614005
"Gross total",80.50856407849724,80.47892713471614,84.12774937208232,86.78691476550773,89.77311256025358,85.19715634161153,87.03344358376256,92.03204422310353,95.86467598358107,100.0712648330106,105.22153812816808,107.05838934371195,106.72803143230796,109.00699394655501,116.21297860713425,117.12655708151942,120.1378669452436,122.0498738744425,122.32244413003541,112.16753774009982,116.77993145548776,113.01637927127705,111.76717776194154,114.4845178361339,113.76449064304285,112.01410063673406,107.0282008716432,106.32064357987028,111.380100280961,109.55266953817109,97.01835931036949,100.00118394049801
