"New York Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",66.76656688359999,63.6961075555988,63.6331508418184,64.16016807000531,64.09174270892369,66.1743727149261,68.62654950975731,67.8964722139621,69.95616716489519,70.46819493372429,71.2006442702069,70.72319907728641,74.26990445883649,76.8645962503896,78.44675936496081,77.98411791397548,77.58027248469669,77.36657855592658,75.7396881011201,72.8595513817423,79.69409422980921,76.12104983001132,74.6917510611486,74.56321730492529,77.92583831069169,75.84880452574272,78.78770496392289,79.71006025986331,77.85590471304069,78.64419076384881,61.710783810237004,69.3943327459027
"Residential",34.081156509343806,33.6737438879246,36.3921400157044,35.3015643786645,34.7430190163795,33.9548281769083,36.6922753457848,35.0600719234311,31.7130557615749,34.1300213876226,39.10083839325069,38.64114282934241,35.8683160299526,39.261822645606394,38.852861963033504,38.979095712669,33.3211127996178,36.767114549149,34.279949657057905,33.18413887095571,32.3019763872961,32.0702527275682,30.461316019221602,32.8650603431278,36.7268270344644,36.3172135833136,31.6578357172573,31.7858844278329,37.459025698774205,36.820246273721004,33.115551658509204,34.210790604820396
"Commercial",33.2855189406773,33.0662648364874,33.3956276207525,33.5328586498941,33.1993113180006,32.290075073702894,33.3813064175517,35.31428771815229,33.6107089107699,35.8278069285498,38.1097478430366,36.987689626503204,37.65756213420231,39.9186708145545,41.933866016579294,35.6962451607833,33.1544682090918,34.5966754146905,33.284643957678696,33.3672777514296,31.937294849564903,32.04659359606929,28.8945073816824,30.556592206336198,30.8659925239876,31.194435262050106,29.491989365515,29.0356920170835,30.547635620884193,30.1131757510958,28.4786493385317,28.5529444536722
"Electric power industry",65.7281779970093,61.04519604477025,56.684254558531244,50.5325791273887,50.62548350808909,54.21434646923531,49.88214666123319,55.01974261397124,58.883233653790896,59.651542229730104,58.82429967726954,57.86203636693696,53.8027577885108,55.416731988759146,56.31441426730892,58.375466193303986,49.610036381890794,52.190263725825446,45.642686740601704,36.758960660842554,40.33022144532875,36.072481096868906,34.46827328281015,32.2439597235542,32.71244041163905,31.369311889357853,29.918381771805258,24.200349024807153,26.544098607420054,23.597508308986303,25.652891720792496,27.130629367702593
"Industry",27.793437824096568,27.277211535539728,28.208112201724614,27.549493158942834,27.390649630362176,29.512101318133933,29.61580929453084,28.13010117931764,27.57939474420241,23.44067799639571,23.334566888297296,23.199849384447056,21.658640656852473,20.82063196689983,21.099406670958196,22.10625132920803,22.65583887485805,22.199872773776725,21.159847715166485,18.180015899208712,17.277385749692503,17.50562969213418,17.814465712357862,17.925776581263754,15.9629687287675,17.202171041405276,16.458239567978225,17.258970378870714,17.80828785879852,17.563494223019024,16.18806081193647,16.03921799005385
"Agriculture",8.662149936542502,8.464213459670301,8.732858467486201,8.5618744936094,8.6037305767359,8.182010937819301,8.274637583202402,8.063117544217402,8.537927606224798,8.807182432442103,8.8339936847732,8.536462462725101,9.3387880366383,9.419014515400699,9.116014934968101,9.12463192606,9.5458886313944,9.433961894217099,9.223930519940298,9.172888467878,9.5363124622247,9.752869936940497,10.578797474516598,10.104968386907201,10.121203906830699,10.180135122440799,10.3595826562155,10.590838842596801,10.579434664467898,10.4108248227748,10.3815888206079,10.413044185390797
"Gross total",236.31700809126946,227.22273731999107,227.04614370601738,219.63853787850482,218.65393675849097,224.32773469072583,226.47272481206025,229.48379319305175,230.2804878414581,232.32542590846458,239.40409075683422,235.95037974724113,232.59596910499297,241.70146818161018,245.76332321780882,242.2658082359998,225.8676173815495,232.55446691358534,219.33074669156517,203.52283303205687,211.07728512391617,203.56887687959238,196.9091109317372,198.25957454611444,204.3152709163809,202.11207142431033,196.67373404269418,192.5817949510544,200.79438716338552,197.14944014344576,175.5275261606148,185.74095934754254
