"Montana Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Agriculture",16.4064806128142,17.156891123806197,16.5645956679808,18.601964643667998,17.2469232192249,18.661648115430406,18.9993703997286,19.8534251737921,17.908983869863597,18.3184699692567,16.8762263942594,17.247023893956502,17.4790264912296,17.353800467913906,18.153077572065,18.0213728195049,18.3037692900106,18.6622048034799,18.334193673110203,19.8959751435019,18.9848951538673,20.6283147573289,16.646259755374,19.4867914714689,20.7971719683573,19.2155228853954,19.4473118063834,19.9861719344757,20.593048182424397,21.706028436516,18.721964749324,19.546185728319802
"Electric power industry",16.47623891713255,17.8323173510918,18.8718022216569,15.513582827700102,18.21300207646825,17.0841089620818,14.3404482314771,16.5074425340203,18.79754466472365,18.919861593206498,18.0016084822592,18.765748619571152,17.05269951356815,19.23745359814355,19.7502121531837,20.005282737774053,19.48814194771875,20.4769697900007,20.46706360509515,17.683100092695753,20.476524891408552,17.1647446326828,16.09977805648675,17.0235103172598,17.7452756033277,18.2193803840047,16.54689698297425,15.976653127040901,15.564520159781999,16.363843097182052,10.455742755495999,12.8417907728953
"Transportation",5.840543133883501,5.6723421566064,6.1159435758836,6.361163851477901,6.604201869109299,6.771015040746499,6.7778615674086,6.911983637939301,7.080840591116799,7.439109697964601,7.4773145992149,7.5005328597887,7.604133765322,7.7911777245441005,7.8803056649942995,8.0029331625691,8.103775122854298,8.1693375676834,7.7143167375092,7.390074499344,7.7026659577376,7.678089242840401,7.831438782554799,7.684020651509,7.767310463910499,7.6136890069737,7.6315700541404,7.663593840775101,7.768673667200099,7.627587308834202,7.496655758732801,8.1021879555318
"Industry",9.524139810642952,9.3473918575476,9.4859719540914,9.4627161059952,10.34700964021375,10.565134609805702,9.8027792288079,9.487485988383202,10.086288482249651,10.385095409741195,10.331676624169098,8.367210948885651,9.316509079392153,9.27849404409955,9.8804366371217,10.434620912271647,11.126999816206453,11.670642599920699,10.73167454467105,8.579284061332553,8.148535460927853,7.997986391670399,8.20658794411625,8.461625746132901,9.221102125242396,8.484518967747796,7.679947117090051,7.847524098467099,8.3089936773164,8.41289979386785,7.8027698731457,7.549600622565801
"Commercial",1.3305711989723001,1.3634856130222,1.2324787940399997,1.3441772149807003,1.3165413533602002,1.3603657911489,1.4269089908689998,1.4384389107648998,1.2033584860943998,1.1462892643309002,1.2393609950345996,1.2328040400068998,1.3210368762306002,1.4521294193015,1.5312903395033002,1.5570123027069003,1.5468178845835001,1.3093466034991998,1.476465693481,1.9180706521085,2.3502739957087,2.0028265274217003,1.8734460421258,1.8219390851576,1.9104116457801001,1.9361188437734,2.0145902368191,2.0342646503745003,2.3163037295963,2.3941717297352003,2.3629646081972,2.3142452949748997
"Residential",1.2764407466363998,1.3354723656278997,1.1521699444107,1.3482486658805,1.2315103193666,1.3075859855623002,1.5023113522875,1.5108673630215002,1.2589954916644,1.2764832069316001,1.4229534223453002,1.4188766618952,1.4859039098926998,1.562510203475,1.6671362844269,1.6804227554419,1.6488691038621999,1.7070487793159,1.8851992854365,1.8513596607996,1.7132611940642,1.7874277334375,1.5456799549036997,1.6382135946352998,1.7063021144846002,1.6468196071092,1.6005724157619001,1.7990925181281001,1.8797365027401,2.1310941420256,1.9609704250786002,1.8965909770073
"Gross total",50.85441442008191,52.70790046770209,53.422962158063406,52.6318533097024,54.959188477743,55.74985850477561,52.8496797705787,55.70964360792131,56.3360115857125,57.48530914143151,55.34914051728251,54.53219702410409,54.2593096356352,56.6755654574776,58.8624586512949,59.70164469026851,60.218373165235796,61.9955501438998,60.60891353930311,57.317864109782306,59.376156653714204,57.25938928538171,52.20319053556129,56.11610086616351,59.1475739211026,57.1160496950042,54.920888613169105,55.307300169261396,56.431275919059296,58.6356245081609,48.8010681699743,52.2506013512949
