"Nevada Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",9.5192608073085,9.765531835323902,10.063826860753,10.541871167316899,11.033857530309,11.453652385742501,12.680889007052699,12.8975532119543,13.5150342186155,14.400336017642699,14.796572306163199,14.817250549883301,15.1191957566525,15.713466650411098,16.4437274937332,17.377076671157496,17.8554428441938,17.892850063441898,16.0949557668676,14.589561079384799,16.6877566672763,16.3000524871657,16.398347039660102,16.4274467063205,16.481512195085198,16.6112533442973,17.350055362701507,18.041372718699698,18.0686611942548,18.1537545862535,15.378197751090298,17.667305169989103
"Electric power industry",17.4760102372963,18.7424104885252,19.375804909612498,18.907255311349047,20.376914972948953,18.823062320614305,20.23239297101635,20.088682246410603,22.1199007031463,22.14025220010965,25.5895262822856,24.86854226391115,21.73072415865235,23.7275705710467,26.138557991372096,27.150043767218357,17.131726859684004,17.23988894188,18.42544163129405,18.62359687754245,17.329225445494448,15.041512005708848,15.119676164822552,15.872423719484848,16.535919178365944,14.887236504711652,14.345911208690351,13.3037920349338,14.057364319707803,14.029682241914003,13.642091369590952,14.096488872139002
"Industry",3.355633066136101,3.7021541362855,3.7880786586181,3.6000935854927487,3.6994993263330502,4.1624672492311,3.8671823929537497,4.0396738896963,4.2342932443453,3.977929638362149,3.8235537445433,3.9124390894764494,3.63995105497285,3.5756399526886002,4.1936481363047005,4.55297169497855,4.9085738494048,4.442801925605302,4.257466429549449,4.061080907645451,4.62598342792675,3.7946087064855503,4.080529995983749,4.50457606068775,5.226213251220652,4.152068415045251,4.894022926332348,4.991163999868201,5.3943298482005,5.3876836672784,4.5981944288264485,4.584328448655
"Commercial",2.0463967129814997,2.1711933174755003,2.0676391165638,4.8490384006055,4.849513194353799,4.7038290988722995,4.7254468005626995,4.2501143786609,4.0877385326282,4.0853598231937,4.1894395483694,3.9223542025742,3.902611131367,3.9629639297083,4.2246615861368,4.3617252561191,4.3956270461064,4.2406185026298004,4.211286441878001,4.2167646880514,2.7798584913300997,2.6555826629599997,2.8792676772148,2.901512750432,2.8340761093875,3.1984951485681994,3.1849768913364,3.101355806659501,3.2122021760246002,3.5010572349523006,3.0120777706347,3.2654607010091
"Residential",1.2229395544194002,1.3325037534947,1.2634898069915,1.3947224959172,1.4141902985777999,1.3664490636885,1.5047109638411997,1.6749748844576,1.9790959572804,1.9007557103298,1.9247826896266,2.0428758034895997,2.0622205819033,2.0429080457955,2.2387136839309,2.2839946883334,2.3583380812137,2.3628555202137003,2.4129880015098,2.4444790606154,2.4846218161657,2.5075057393214997,2.3159644046543,2.5895318562736,2.2016568993181,2.3201643152137,2.4231618075212,2.5285039060914007,2.5744810819979,2.9481621276113,2.8955998369249003,2.8609775677793
"Agriculture",2.4045970847465004,2.4273330672536004,2.4634087487113,2.6033967220245997,2.4478257935825,2.5348698455833,2.5391188548334003,2.5930640267443,2.6962955912219,2.4165767657541,2.5398592963228,2.5058871407008,2.5181517675117,2.5472859853291006,2.629179386036,2.7108247556804006,2.4912910067756,2.4444034572726,2.5111652433172003,2.6528167749568,2.6642278264218997,2.6202906330741,2.4651560264895997,2.5600951029488,2.5869280130985004,2.6637132879675,2.5463080046393993,2.6192486464396003,2.5837351686330003,2.7441922512274997,2.5452322784256998,2.5864847864104
"Gross total",36.02483746288829,38.1411265983584,39.0222481012502,41.896377682705996,43.8218011161051,43.044329963732004,45.5497409902601,45.544062637924,48.6323582472376,48.921210155392096,52.863733867310906,52.0693490500355,48.9728544510597,51.5698351349793,55.86848827751369,58.436636833487306,49.140999687378304,48.623418411043296,47.91330351441611,46.58829938819629,46.5716736746152,42.919552234715695,43.2589413088251,44.85558619614749,45.8663056464759,43.83293101580361,44.7444362012212,44.5854371126922,45.8907737888186,46.764532109237,42.07139343549299,45.061045545981905
