"Washington Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",34.83435991476129,33.834341601469994,37.842145432246,36.398766955279896,37.913373711829095,39.358869366552106,39.612072279010704,38.18485942455919,37.3174866074897,40.0209011832083,41.086662977323705,39.382383186294504,38.521350306352204,38.2192363562432,39.044085530043596,39.0688070029135,39.3907494867715,40.61102492844679,37.32954594734159,35.99063998577841,34.42861384516729,34.249575702321096,34.059983210074904,35.093440951050596,34.697154069053504,35.319028221946496,37.43542103812611,37.8895867860162,38.6414759722379,39.6093123646151,30.8570899468367,37.5723601353715
"Industry",26.839680447029075,25.937852796085878,27.888393543547178,26.385885698867483,27.56114993742392,27.336208951450228,29.463350438990673,28.02231287891683,32.32638172910224,32.75065379377985,26.52328884955201,17.90395251121258,17.57723255788622,16.704445292580306,17.151964038904506,18.53527777502629,18.91115777041288,19.564317273058506,18.633965531599202,16.99216641568411,16.394336288592335,16.247843071103585,16.645747697668515,16.46313770619286,15.9470560420588,16.812610166055855,16.323265249812554,15.633656107557702,15.744989924782306,15.972714540302448,14.79113690856535,13.545029520060401
"Electric power industry",8.6831787318498,9.022160296538802,11.172843801361502,11.33580405139755,12.94960456026235,9.3230339294216,11.680937176187198,9.8285987181686,12.67645415930035,11.419234522826898,14.963241633188252,14.902549860960953,12.346753203049202,14.93991540132845,14.8480162116021,14.87969949768245,10.3068288696556,12.640912074622554,13.4995694039169,13.329826706575547,13.780311541789702,8.112834137521698,6.837485616561801,12.422130075121,12.506270393464348,11.56110871276735,10.27752832435775,11.025290656411102,10.663036344989504,14.422813755910848,11.71482747385265,10.6430752222016
"Agriculture",9.083345041357301,8.642678654762499,8.810086710011,9.396964299100102,9.2594173001969,8.9841594536921,8.855564732440001,8.8773218982551,8.9168143777947,8.5886995935331,8.539991871293502,8.9399042701765,8.6179084339802,8.974445418792,8.936320444927102,8.8835096677744,9.4576920448013,9.4369009187292,9.3565239943015,9.9026052153192,9.3311872640025,9.3527242275682,9.492625141227501,9.645399680670902,10.1335023333847,9.020959019717198,9.282056695338698,9.4487365935846,9.890187148597699,9.9875677385856,10.311809665197503,9.879973561420899
"Commercial",6.6409476104001,6.683761334497801,6.289917965146601,6.442600561767499,6.682460259495199,6.8911356890394,6.905275386414999,6.9515460330477,6.4637307468295,6.7436001182701,6.743547107290201,7.0397951359647,6.6049119383028,6.5091455637174,6.6985485032092,6.7587615669983006,6.905657670478601,7.021819048853701,7.426308618747799,7.1575567863847995,6.5806644611281,6.3471191306384,5.9616428118773,6.2422258842075005,6.104241220565001,6.7321693679084,6.837322959745199,7.40377441557,7.410740713089301,7.7625126140125,7.5711641091872,7.803554431016999
"Residential",3.6722487168308,4.0046770057352,3.6237684757590003,4.2750047290711,4.3021523058324,4.289485445336701,4.9494947821371005,5.0484784801709,4.9265675237447,5.4899633836757005,5.4431129351192,6.3389825549477,5.827627439980599,5.279477716160299,5.2477251825037,5.228675585189401,5.322020918999,5.4808656638309,5.8224686571336,5.9215588795892,5.502158531165501,6.0149356276270005,5.4003812115835,5.676964044114699,5.517653988206099,5.168441339953301,5.5838762835083,6.6244652333121,6.1656240062342995,6.748271435730899,6.4608422836907,6.6899694441148
"Gross total",89.75376046222837,88.12547168909018,95.62715592807129,94.23502629548364,98.66815807503986,96.18289283549213,101.46669479518067,96.91311743311833,102.62743514426117,105.01305259529393,103.29984537376687,94.50756751955693,89.49578387955124,90.62666574882165,91.9266599111902,93.35473109558436,90.2941067611189,94.75583990754164,92.06838215304059,89.29435398933127,86.01727193184543,80.32503189677999,78.3978656889935,85.54329834135756,84.90587804673245,84.6143168283486,85.7394705508886,88.0255097924517,88.516054109931,94.50319244915738,81.7068703873301,86.1339623141862
