"Rhode Island Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",4.1244788949146,3.9383135231892,4.085633950003501,4.05241778544,4.0308278057363,4.14907899838,4.2751685031952,4.409287703980799,4.573552764043099,4.824437563139201,4.851732011514598,4.8731342001804,4.7587676569108,4.743363662317699,4.5838648025374,4.5061869273861,4.585430565014098,4.463661794536001,4.317216246614601,4.297549431593101,4.2847016798805,4.0589562496368,3.8754820061171,3.8731734512248996,4.2215366628545,4.177530912661999,3.9095054908996,3.967654462678001,4.13308411988,4.0881956912445,3.4412157248821997,3.8005402048665005
"Electric power industry",0.6905306304336,1.3774799501140502,2.18283266958965,2.01250849646895,2.138867535017299,2.0024565457595997,3.4637529033903,3.37840670978195,3.30110698401035,2.9907058405423506,2.6834222698568007,3.2289168836431497,2.9551470543128495,2.3158676930693507,1.9874582024067002,2.4220800758195,2.3648650428840496,2.84458544836125,2.9159494763705007,3.0498607101085002,3.12045043876845,3.5191914438085,3.36515951809865,2.6019107264089,2.5258584682061005,2.8230015009115497,2.6060437144910504,2.8356048108104996,3.20003509577335,2.8467357532893,3.2223893074056997,3.4174772546017
"Residential",2.3579887724119,2.401828983458,2.7528708350891997,2.5655857999769998,2.5775408042877,2.3834821173585996,2.6071302191159,2.5330963602706,2.2746960260758,2.19973455718,2.4074346885658997,2.5510313936892,2.3798457932908996,2.7460894657171,2.7878004200495,2.6071632525863,2.2090334224668,2.2625784992956004,2.0772658306481997,2.3330034566693003,2.2552456109284003,2.1976266122377,2.0046364656786997,2.2340065984352,2.3602505369552,2.3974392564632,1.7916688754708998,1.7663600271315,2.2647540877281,2.0581676782341,1.8940375103775,1.9486457038486003
"Commercial",1.9077431133255,1.9302589179587,1.8432978016656998,1.7593542443270995,2.0507127192676995,1.9930956131624,2.1214433999176,2.0898458592213,1.9584414444251,1.7511055550748003,1.9634331923381003,2.0074776832349004,1.8857431249227,2.1021840944968004,2.0001534960344,1.9312757435607,1.7091533591337997,1.6938433259027001,1.4844105099856002,1.5445793010844,1.4820078445465,1.2861229637551,1.3736828025007999,1.3848974784307002,1.5758497643941,1.4536438142309003,1.3079171900766,1.2790556369741,1.4115606821085003,1.3940899736323,1.1669743262844,1.2427727646802
"Industry",1.1044604078414,2.2475703850493494,3.42091656642405,1.4169045409570498,3.0970309626522,2.6792859949528003,2.238875300138,2.0501828158939497,2.9610531379030496,2.52893422592735,1.0409066272799001,0.9006527905313501,0.84984634234985,0.88751134064755,0.9227051510500001,0.9518143878802,0.97878077393965,1.00064493826825,0.9403107920936997,1.0101858094021001,0.92068010032185,0.8748422976786002,0.85040434586135,0.9125903609897998,0.8628982598448001,0.9231494791479501,0.92006623856075,0.9426597639689,0.9635927420574498,0.9641875074279999,0.9509724565158,0.9256160058856001
"Agriculture",0.0558271086733,0.059620255990500005,0.0556592127614,0.0756205436309,0.05629651539310001,0.0464198945619,0.04843939178569999,0.043700366453199996,0.04628981479279999,0.04996203395539999,0.0483066819063,0.047967667958799996,0.045632407222399994,0.0442050563396,0.049238421751900005,0.05108886676780001,0.056022634703100004,0.046687618075,0.045960532599300004,0.0458261169282,0.05452450254829999,0.05550761097,0.056895337272100006,0.05376209049249999,0.052641608958299994,0.041940162225500004,0.03817103663629999,0.0395594742891,0.038026721907999994,0.03693650206599999,0.0342181831381,0.034744957672599996
"Gross total",10.2410289276003,11.955072015759798,14.341211035533503,11.882391410800999,13.9512763423543,13.253819164175301,14.754809717542699,14.504519815601796,15.1151401712502,14.344879775819102,12.9952354714616,13.609180619237799,12.874982379009497,12.8392213125881,12.331220493829901,12.4696092540006,11.903285798141498,12.3120016244388,11.781113388311901,12.281004825785603,12.117610176994,11.992247178086702,11.526260475528701,11.060340705982,11.599035301212998,11.816705125641098,10.573372546135198,10.830894175852098,12.011053449455401,11.388313105894198,10.709807508603697,11.3697968915552
