"Pennsylvania Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Industry",75.41536303991643,75.0931250997488,75.01331965779727,77.17952248202381,77.96657691171428,79.39010566722091,80.16514505261794,81.0708158103432,78.91470926253662,75.99576943505959,75.51792124607013,71.87374348803694,70.11025582090836,70.35130294926476,73.66135182373985,70.55618910856768,71.4737491753749,66.40959690796079,69.34162251742505,63.59393505869855,66.54359372825125,64.44607737826335,67.18101121881122,77.44338274702238,78.47922725860118,79.69739230713782,76.76077476675017,86.62818170955867,90.44969842259044,88.54534485959779,79.94336267089965,82.81202969880702
"Electric power industry",108.02651467940825,107.37105488341014,107.89456887136845,110.03826603148075,106.3773520202938,109.52835979133181,114.43446146032683,116.22086331095817,118.9976664767102,114.94530309554672,122.81501758508827,112.3386691191827,120.181624132904,120.79114042529227,123.8756064137995,128.9815228561247,128.49427029969505,130.87904784724657,125.4060195159158,117.87092215132157,124.33925245779014,118.45318529898906,111.25327379859229,110.19204622413416,102.8396318844572,91.55942621443225,85.53105909048253,79.77989666438597,77.4435792941737,77.68972743422201,72.56159462775871,80.00265313490961
"Transportation",60.191139177371596,59.296387486644605,61.46790361720671,63.2604989886637,64.2529589849886,65.66602306874269,66.21006395721182,67.8899756502733,69.4140035565418,71.362453686046,73.31486682300917,72.75673929572321,72.84334754513341,73.14144429771109,73.0924096374464,73.6859863798928,72.4908978869712,71.8655749443362,68.87478236946149,66.9933701179037,66.9504864439393,66.5642330938015,64.60841275130929,64.3478575344393,65.4058590489353,63.397970273383905,62.5965576435671,63.317143515667205,62.742666724558696,63.3014411566582,54.591185830567206,59.39861177248001
"Residential",23.919486183044796,24.3742434341908,25.5628608097531,25.725793868278803,25.2495293828852,24.572119075972303,26.0305648654258,24.5228861676242,20.8178893010788,22.9506968100644,25.275468323348697,24.537491616003603,23.466089878608,26.2001418869182,25.427168219144,23.6838028606742,20.5994030353211,21.9097770192691,24.1445263741985,20.338948859910996,20.874217858514697,20.3710907579957,17.6581358884693,20.6533048325699,23.2849083550333,21.412355486795,18.976681526261004,18.5958192512022,22.2970867780845,20.369376185138602,18.830797315002794,19.476288223442598
"Commercial",26.4741845970262,26.504118711164903,26.857822174659997,25.9401704391164,28.094599847169,27.1638884179997,28.644302290720102,27.218647536626705,24.928423822619802,25.2801279565467,24.631163451518997,24.499812749500002,24.149123096619707,24.8512961078105,24.1050987938114,23.6678707925801,22.266107097957697,22.7696742332813,21.432407518318094,20.779850238405203,17.5583005074601,16.865872288475,15.6804336713283,17.425254635059797,17.850014501815302,17.971480125402998,17.1336994762104,16.8086300538435,17.8730172329949,17.7117749842566,16.720301231567806,16.824958699103902
"Agriculture",9.225151713446898,8.907817079126001,9.2767425071316,9.049124022438102,8.898805745708799,8.740464790273,8.8163583290381,8.3853407050942,8.5460852296186,8.779925616570901,8.684473331149201,8.726678015743301,9.1396356467583,8.675817159480701,8.931958293862401,8.5586583396904,9.606500839168701,9.0193618718563,8.857581473748102,9.012270800690699,9.798731367665798,9.835441300454802,9.8083495461592,9.788334293664501,10.077966927614403,9.5904915720727,9.7682231916469,10.0150512251151,10.135402888570303,9.610015806436499,9.166051127940799,9.2106229188823
"Gross total",303.2518393902142,301.5467466942853,306.0732176379171,311.19337583200155,310.8398228927596,315.0609608115404,324.30089595534054,325.30852918091983,321.6187776491058,319.31427659983433,330.23891076018447,314.7331342841897,319.8900761209318,324.0111428264775,329.09359318180356,329.13403033752985,324.93092833448856,322.85303282395023,318.05693976906707,298.5892972269307,306.0645823636213,296.5359001179794,286.1896168746696,299.85018026689005,297.93760797645666,283.62911597922465,270.7669956949181,275.1447224197726,280.94145134097255,277.2276804263097,251.81329280373697,267.72516444762545
