"Kentucky Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Electric power industry",69.3702204804463,70.4693100565936,71.6457801601004,79.7325999613333,78.1244182876034,80.66531443061837,82.9517544686122,85.88220366786106,86.1077016160834,88.89995165296504,90.6201380255965,91.68826849301429,91.3682318703712,89.6081676456914,91.4978615672097,94.71805173930291,97.5635833490855,96.77910263993255,97.50329356497926,89.3710798867817,96.59275562976471,95.95612596499831,88.72359689069759,88.40296020253915,88.7781039706959,78.83809115539195,74.66316530436372,65.13666724202909,68.24348864000035,60.4896431794139,51.406064307628505,57.911727954085606
"Transportation",25.577962289831703,24.423826793023697,26.692368190086402,27.660084600199003,27.931338763810004,28.4567416832239,27.3197469491874,30.2637854513907,30.7601067010664,31.767933534850897,32.351571772959794,32.4874201640047,33.3834975088903,33.23822721001999,34.309331027642294,33.0663095656208,32.57820808959521,33.1421325603842,31.093825998273605,31.349033986223297,31.437562112143198,30.777255178937402,29.7718538315664,28.9430429603427,30.016625702861504,29.981085573927103,30.1702461742504,30.7205944580776,31.951393463041697,31.690974012121004,29.8726577920377,32.6563082268557
"Industry",54.48375087862671,50.69903816309581,52.85813541465049,51.79782621736659,51.574956145956705,53.447125886835444,52.5184093087264,52.59375717326924,56.98326608263392,50.51211395110595,48.331472003584004,45.98953331049292,45.7465383455246,39.7959485700428,45.23994627556678,43.37852050354421,44.59366752763542,44.00357114467094,41.76641839552786,36.6814452593342,38.4916319282394,39.79010747344331,35.050469112972586,34.85305678947385,34.128961870405995,33.423789993790955,29.903932557225694,31.207320801811097,30.253487621331246,29.2023303182169,26.425046736474197,27.832732024584597
"Agriculture",10.744569529320401,10.5234119383945,10.941868502418801,11.0629727832551,11.2649592418758,11.035586177246199,11.257912347228402,10.3697796924317,10.666119939632601,9.9482421677466,9.9972041996182,10.1345795826359,10.178793579908401,10.743283830145499,10.6938835363949,9.774129129614199,10.3924942428349,10.558038776106198,9.8802580835176,10.617879112361098,9.8649917203504,9.910158524309299,9.7348275609403,9.9456736476135,10.0239983898023,10.2122066599539,9.9997121683441,9.8795783374523,10.6208119411824,9.491902441528,9.6274481426672,9.5959576561284
"Commercial",5.6608093630003005,6.1262484076238,6.6293895196412,7.1087656550748,7.1638903596586,7.0065600488921,6.760249564263701,6.8151207291830005,6.0138525875713995,6.410702601930501,6.3661844797186005,5.9717878674311,5.9823180180325,5.912121633838701,5.933875054864699,6.0694639851243,5.5681386081123,5.8194424889211005,6.029325276948599,6.0420411637971,5.9656647967617,6.1324428652592005,5.6977968802468,6.0528959356153,6.392650128112,6.4336421278864995,6.4061820347475,6.5630174731284,7.0225501813052995,7.4421043475363,6.810962801135,6.6442169935961
"Residential",4.2138101536759,4.5420697736848,4.709053597794199,5.0193198850334,4.7701943574838,5.1621207206326005,5.42269720081,5.2275936212382,4.393008462062401,4.8723867790537,4.9217815633845,4.1896590194154,4.2718972635048,4.5214651855562,4.1736625016807,4.116630837067,3.4930425227622,3.7446492082621,4.0092768677145,4.0067287533204,4.136812375086699,3.9742018951467,3.2375189085202996,3.9702171855054,4.2969467323743,3.7963779642847006,3.4455020871497997,3.3214448089049,3.9607047686166004,3.950377913038,3.7901927448224995,4.068880831705
"Gross total",170.05112269490132,166.78390513241618,173.47659538469148,182.3815691022622,180.82975715638833,185.7734489474486,186.23076983882808,191.15224033537393,194.92405538905012,192.41133068765268,192.58835204486164,190.46124843699428,190.9312765862318,183.81921407529458,191.84855996335907,191.1231057602734,194.18913434002553,194.04693681827712,190.28239818696144,178.0682081618178,186.4894185623461,186.54029190209422,172.21606318494398,172.1678467210899,173.637286794252,162.68519347523508,154.58874032608122,146.82862312140338,152.0524366154776,142.2673322118541,127.93237252476511,138.70982368695542
