"Idaho Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Agriculture",8.9996815878229,9.1995173944193,9.2111871932463,9.6386143759414,9.471194497623301,10.2824545259965,10.4879134146267,10.7640525142581,11.469046167320498,11.147286424694501,11.607717088874399,11.4220118180373,12.139639567431498,12.571125237274298,12.679285110058402,13.346052415123399,13.7932705248348,13.876007010034801,13.759785405382098,14.722607225266803,13.793955188674001,14.826252520654698,14.4320045291642,14.900236924209398,14.528218188214398,14.327996500584998,14.8422187682019,15.283288962241999,15.433289042843398,15.603040044815,16.3468178324566,16.1502325382048
"Transportation",6.6282674756582995,6.412433522292,6.6148565865984,7.468586127830499,7.56728296431,8.052630199141301,8.3633565641449,8.7705183503182,8.678865174696199,9.318672231924198,9.1945060832972,8.9762201042228,9.1286143654523,8.855672534558499,9.018132751004302,8.955519766728,9.407600107527198,9.687720962779999,9.003733519259802,8.8072384543315,9.3879563191097,9.007205350158298,9.174726153073802,9.143164939250301,9.3857777610703,9.5817294187524,10.009483741054002,10.1987377355604,10.1729376942312,10.499686479571698,10.2819093687179,11.107230878808798
"Industry",4.443920851009127,5.052377881113376,4.441205812483976,4.601103213481732,4.8139358570338135,5.244781569148426,5.34738132867403,5.11509825333595,5.426238941983517,5.1799664595856205,5.698035245457487,5.33872938530029,5.04200629850568,4.798893782693502,5.078253608351761,5.1260093455716405,4.897062894783933,4.694346189346828,4.490032780110945,4.026443058009585,3.6404611485121228,3.59435654043355,3.3379765328428,3.72140241651445,3.469206979932651,3.611109644344549,3.5108429832612504,3.4819890736711963,3.489683560623622,3.6972524618232017,3.797110026044277,3.6817624344539746
"Commercial",1.3467719316238997,1.6345056162778,1.4508302877542,1.4838029202921998,1.5144632649026,1.489720684995,1.6435759864602,1.4987798091595002,1.4965157526336001,1.6265927377382001,1.7050975240776,1.6886989272361002,1.6676477901673998,1.5572169566633,1.7186395422384,1.7606455114355,1.859094870451,1.9308536655519,2.0746691658188,1.9265446306574001,1.8346083370692,1.7612955871254998,1.8196166652696002,2.129301218171,2.0219823303151996,2.2173627131552998,2.2203557208947,2.2732858760416,2.2214035542889,2.4112953777776998,2.4466448081652,2.3511906306968
"Residential",0.8134907470962001,0.9388211315777,0.8325213744831,1.0164920929549999,0.9510460683262001,1.0182251442008,1.1249512249769003,1.1564559944609,1.1302643424277,1.3877102420131,1.5660420914556001,1.4849848072321001,1.460961041352,1.3470467654223999,1.6049141099675,1.6486656523604,1.7254716784174,1.7076915526892,1.9385787745232999,1.8025373016242,1.7090399665622,1.8637170181244,1.6548352892268001,1.9533391224325,1.7150137191471002,1.7097375672708999,1.7901381735385,2.0726448200136,1.9886926236742999,2.2694625938582003,2.1917882643,2.2720669115918
"Electric power industry",0.5618309432268,0.52859146346315,0.51626847657915,0.49485306849255,0.47813907711505005,0.4904315579217,0.48621875208475,0.54342754955835,0.5026470950426,0.5232293447484999,0.45002678905840005,0.9280942112523,0.48596397408145003,0.8199232225903499,0.9924267458118501,0.9701985634070001,0.8822520238814,1.01359351969985,0.9793984270725999,1.00731751437125,1.01484251454975,0.7690124172013499,1.0205749422500001,1.65767304829695,1.34500470375585,1.8318329034879501,1.56895926104175,1.4218326530227001,1.5279861177115999,1.9688077918278002,1.9195437218250502,2.26880483596575
"Gross total",22.793963536437225,23.766247009143324,23.066869731145125,24.70345179899338,24.796061729310964,26.578243681403723,27.453397270967475,27.848332471091002,28.703577474104115,29.18345744070412,30.221424822220687,29.83873925328089,29.92483303699033,29.949878499202345,31.091651867432216,31.807091254625934,32.56475209989573,32.91021290010258,32.246198072167545,32.29268818426073,31.380863474476975,31.821839433697793,31.4397341118272,33.505117668874604,32.4652036824355,33.279768747596094,33.9419986479921,34.731779120551494,34.83399259337302,36.4495447496736,36.983814021509026,37.83128822972193
