"Illinois Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",55.3175847347834,54.071280566685495,56.2329564188801,58.445459136031495,58.4768870423778,61.2938395632596,63.2064771527091,67.99767677370511,63.9210672556047,70.49702127354189,72.1569771156226,70.20006011101451,70.41856854535469,71.04470660705971,73.24377072577421,78.54038283227169,75.04181120921389,74.91103982420279,70.7961676910578,68.27226058400751,67.90725065303762,66.763816949642,64.6895317646607,64.80035965495871,65.84161801540239,71.00700933891069,67.0614467346134,67.26556385300209,67.10508078236272,65.06745710749779,53.854511190034295,59.2268192225164
"Electric power industry",59.3695919150676,60.3770357853234,55.12179885536515,66.03816344779375,68.41297259144265,69.0861045172617,76.77334070316394,81.7007438909801,80.68599983229565,81.83118086400499,88.2555972655281,88.24636706342261,90.9997438737679,91.13242992455196,97.0462400796709,96.37822465054674,94.7200380849458,99.66268304357149,99.7844253367014,93.098070945795,96.96199023734901,94.29770371375254,87.94625946683601,91.78739367193046,90.6851505757225,78.94087761435176,68.5048722742249,66.58846975974615,68.55141754459324,59.55122981272135,43.829794955174954,53.63129701325035
"Industry",59.888528574713376,59.815499316471794,59.34081676170375,59.12631062888786,61.71274695346945,61.76820723171418,62.726139975322745,61.39030963968039,58.65328757359375,57.49802199335421,55.3530033212921,51.62041830775339,51.35452293488632,49.86043146762314,49.66608593131772,50.734764841766136,50.67938270476028,48.707930411824805,48.709272880928296,42.11301879559262,47.58158669049072,46.92005483844714,47.774372175600504,48.97885581995586,47.95987398326511,47.12593138708833,46.27684114473332,45.26905535844645,44.41033963842896,44.74950699357075,42.849810326085645,41.59449959906176
"Residential",25.7197438858685,27.184934904299197,27.440648441561304,28.2330358157019,27.1184084446478,28.977218176731203,31.417506538040204,29.241016422293,24.2059315286224,26.587299858084098,27.4825609068755,24.829185233759002,26.674188725865196,27.1935054976255,25.476244307838,24.9788573109561,22.9744103074603,25.000850197492,27.2639458280011,25.747678151451,24.5722310674997,24.6214080665804,21.3830076593562,26.967826407459103,28.3074528348438,24.0547568283015,23.241372149677197,22.688961340279402,26.1434186250083,26.668889249533702,24.3554222267075,24.112920935298803
"Agriculture",27.8856876167739,24.6356235029332,23.936519309138802,25.3696725373571,24.9686896772155,25.2880843869643,26.0376876375158,23.9318483608578,24.347419612039403,23.9967397066021,23.871857374755898,23.8328156168639,24.3456660185846,23.8637389033488,23.305284189868,23.5290603470771,25.0163620762902,24.079450537952596,25.3302501002731,24.2835138407732,23.227568657956798,23.667619969154,23.976931010238697,25.7698057199884,26.851288374567503,26.1386949547458,24.4959132340923,25.409981645767196,27.2226321253119,24.5222420389806,23.6017395390374,23.772215136583696
"Commercial",25.7072595440043,24.7886461203384,24.715902150756097,24.4471754021982,23.9800359447028,23.583691786109,23.958837175331503,22.6437484222803,20.9286810900232,21.346157549001997,20.7590532788963,20.054413471824702,20.873951660844202,21.8150399334574,20.925040349969,20.3855593654397,20.525242701410402,20.4895063606637,22.025523480759198,22.6394348841567,20.223616722146502,20.9550724944849,20.463991579290504,22.164461893494796,22.6161215996937,22.1038500775323,21.600782541231197,21.532400518582097,22.1251575457589,22.5067051828952,21.1765748572914,21.0429091154118
"Gross total",253.8883962712111,250.87302019605147,246.7886419374052,261.6598169679703,264.669740653856,269.99714566204,284.11998918208326,286.9053435097967,272.7423868921791,281.75642124458926,287.8790492629705,278.78325980463813,284.66664175930293,284.9098523336665,289.66266558443783,294.54684934805744,288.95724708408085,292.8514603757074,293.9095853177209,276.153977201776,280.47424402848037,277.22567603206096,266.23409365598263,280.46870316778734,282.26150538349503,269.37112020093036,251.1812280785723,248.75443247582342,255.558046261464,243.06603038519938,209.6678530943312,223.3806610221228
