"Utah Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Electric power industry",30.6105009464877,29.080477096114155,31.30510846693385,31.955426565026197,32.86879011707775,30.973604272951846,31.256448674429905,32.26040134534786,33.0635608622024,33.81310787358579,34.44093292656875,33.87447721233529,35.192216473562596,36.26801544746619,36.317975172004694,36.9641169182867,37.35162134937345,39.208695783568984,39.74920169937084,36.78490818416639,35.8169987498022,34.7773632176977,32.81616654203875,36.0253089407803,35.577775443885244,33.96483840919024,28.54004915908975,28.213251165727552,29.3434013969176,29.156356781081556,27.127713394068305,30.690652968018398
"Transportation",10.692159988151898,10.8664062229216,11.2354137666735,11.6041477288761,12.0257375027809,13.195773702333202,13.731034071674701,14.397672803781099,14.927540024081601,15.4016658832705,16.1606235913831,15.4904366031811,16.002655578536,16.284744601962203,16.5745668093413,16.728401260411896,18.2863705473195,18.135950312265702,16.993309103484602,16.0531918406476,15.555434643840597,16.590959215597202,16.305476356245702,16.2324470710425,16.491831342502998,16.4154779898648,17.195751415162597,17.510633054414804,18.3508779565462,18.074625188833,17.2316118431594,18.4049637799989
"Industry",13.855874404265503,13.241702438697152,13.304825646442254,13.968414469793077,13.793061870466312,15.007055900421848,14.470577506965721,15.29258788412915,17.389187864813877,15.222310607506376,15.62903624246073,14.894395392873328,13.437463202179137,14.167015938996782,16.583968475027998,17.659092961680766,17.705277972126243,17.088120526813725,17.98962888856314,15.927613230917018,17.165848158990617,16.87267818512418,17.66593126686979,18.446176307667603,17.480942504411953,17.06454804459555,15.34534151476012,14.733826603663552,14.030559862475986,14.106744528898442,14.033061947786935,13.878625596795791
"Agriculture",4.309721395217899,4.3544687447986,4.3723838755237,4.756270689397301,4.556258979714101,4.807395288208801,4.8299343533666,5.2907548339799995,5.3454597087315,4.9112788041941995,5.094459275951099,4.9561324478146,4.913619217989701,5.0239118263732,4.9418179902305015,5.1045898004054004,4.8176750318526,4.9326168954647,4.8887040692309,4.8806379196065,4.905107697136099,4.9717459804742,4.980601459126801,5.1424515634986,5.1717559558264,5.161617172172499,5.078991611532301,5.0195701621114,4.909935574746,5.200273629228299,5.020920997144101,5.016492713735201
"Commercial",3.0809401684802,3.4158203475443,3.7357788690806,3.7811396490910005,3.9137442739120996,3.843828533104,4.0018397537962995,3.9394365009675996,4.1617293935613,3.7219646804231,3.509955889079,4.073927504094,4.190617871035,3.5364757642290003,3.8233315638769003,3.9254294121752005,3.8563188771420993,3.9407061149574,4.0977388626078,4.1556942050417,3.9498153964916,4.032172618255,3.8167691889958997,4.0593208078179,3.9093187891831005,3.811640291828,4.003540936857999,4.1106601925114,4.2151862266768,4.5394112405303995,4.4753955686083,4.5739167477031
"Residential",2.8116196302764003,3.1958426618266,2.8058714108361,3.1528872076942,2.9267701606214,2.9331623376925,3.1920899156949,3.4608661786456,3.3298029476809,3.3248498179986,3.3682900325993,3.3874108319919003,3.6265577445468002,3.3114165543309997,3.6626193330975,3.4737493624841,3.6284422380875,3.6397753303941998,3.9929708573428,3.8910165113941,3.9068760395148,4.119785273429001,3.579625685291,4.1992824557682,3.7216645897685003,3.5110654659213,3.7901713590893,3.9885929670434996,4.0546769264634,4.5933170225007,4.4449435684743,4.3413027710078005
"Gross total",65.3608165328796,64.1547175119024,66.75938203549,69.21828630987788,70.08436290457256,70.76082003471218,71.48192427592812,74.6417195468513,78.21728080107158,76.39517766697855,78.20329795804197,76.67677999229022,77.36313008784924,78.59158013335836,81.90427934357889,83.85537971544407,85.6457060159014,86.94586496346471,87.71155348060007,81.69306189177331,81.30008068577592,81.36470449057728,79.16457049856795,84.1049871465751,82.35328862557819,79.9291873735724,73.95384599649208,73.57653414547221,74.90463794382599,75.67072839107239,72.33364731924135,76.9059545772592
