"Wisconsin Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Electric power industry",34.32310268283601,35.4774453552935,34.6112498404217,35.3661274213767,37.09355594683685,38.880294324199696,40.69982211392119,43.86081094999915,43.1169588410721,43.8613951172082,45.598960163034604,45.24953344355721,45.00564147637164,44.91848745575786,46.128284628734846,50.16477519234875,44.3302790529726,45.10158800520725,45.63903555859934,40.71661496053266,43.84730190175546,43.0334709154322,38.114881496214046,44.56943349568069,40.8904340510724,42.7577844564937,39.6671764490295,41.986937289161204,40.63031836770404,33.91566466572125,32.17057193662875,35.70814223836139
"Transportation",25.178812133218795,25.322928777820398,26.500265532612996,27.2874414508699,28.883095426554306,29.6189322691907,30.500255107909805,30.833964894874196,32.667181707784096,33.24855538944509,32.5463667842494,32.525938384975,32.944553015264496,32.976191394135,33.47956207461609,32.822584814132796,32.6951613110059,32.8390101962678,31.8892620234313,30.521183476282797,31.4356093717627,30.188861982691897,30.280545638934704,29.314529575462696,31.661805982042797,30.531235160935797,30.5253632929667,30.2469146594721,32.1436908887306,31.332133926443504,28.264045970818696,30.469415766652897
"Agriculture",20.785522894915903,20.479665350864003,19.6394690381386,19.645551280264698,19.215649481117804,19.112387474464104,18.494384012566798,18.137540645472697,18.7791754527329,20.046506901676302,19.814185102274305,20.2743260532284,20.289751385791103,18.795264643170498,18.814009903126998,18.944058331846797,19.737290774148597,20.4199036174382,19.6009348930775,20.1100415663323,20.659696027557196,20.5807409158487,20.8466794256344,21.571140542160503,22.170996630400797,22.6965683764963,22.653938549574498,22.5954761323962,23.1559840679357,22.267978675561405,21.7770485588376,21.875647665968803
"Industry",18.212067285426496,18.515882447404397,18.183572649920002,19.008598383197402,19.552933442112845,20.150668268663196,20.043750536520804,20.51890567529375,19.671188573348,19.8045785266483,20.259391086902394,19.259401272235692,19.555773160358346,19.541045427618343,20.091659955947854,19.585230384789348,19.4627146227586,19.666249596317044,18.08385958276605,16.012181160205948,15.87459448712105,16.150461946324697,15.597628255088848,16.812966424254398,16.8075816699555,16.2875105902828,15.639641650013099,16.199001021086595,16.866911496817252,16.44501188539745,15.361554657110855,14.833753196236701
"Residential",9.6206883008684,10.3926704264773,10.0263858114501,10.568705432997701,10.1194926423119,10.4373430056721,11.720260769881799,10.5832235095974,9.1265422804783,10.2096896046162,10.4762932040781,10.0363110257773,10.7015935184161,10.846918994803998,10.4188955870957,10.262820876943499,9.328565837253999,9.8396246655716,10.5324918982862,9.7117771511015,9.135406474641501,9.4603595778642,8.1602785765745,10.3968966506501,11.0419708050174,9.601495429528399,9.3363218473136,9.5971491863586,10.6326337442508,11.5740360240985,10.4538339239509,10.2888270384562
"Commercial",9.349453907931297,9.941050876699,10.009526748911,10.0006427744291,9.860253870317,10.242537784167101,11.3402383542877,11.399542092274602,10.815139227782101,10.4884040727871,10.3706140410366,10.1718612754223,10.406054445237,10.769156668731602,10.4725133450482,11.0332719988318,10.214529934682302,10.432189696462501,11.257978143178299,10.548473109412798,8.6273457455916,8.8941967522235,8.160877099590799,9.3374955053721,9.5750240343418,9.2039933128664,8.9795243293956,9.2672446838142,9.425547084159298,9.510997674956,8.805512580147,9.3329491123004
"Gross total",117.46964720519689,120.12964323455859,118.9704696214544,121.87706674313552,124.7249808092507,128.44216312635692,132.7987108950881,135.33398776751181,134.1761860831975,137.6591296123812,139.0658103815754,137.5173714551959,138.90336700143868,137.84706458421732,139.4049254945697,142.81274159889298,135.76854153282198,138.2985657772644,137.00356209933867,127.620271423868,129.5799540084295,128.30809209038517,121.16089049203731,132.0024621935805,132.1478131728307,131.0785873266034,126.801966118293,129.89272297228888,132.8550856495977,125.04582285217812,116.83256762749379,122.50873501797639
