"West Virginia Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Electric power industry",72.14845938455673,67.0686412247281,68.95803731151771,68.76799553761656,75.04693507185279,74.72807965096747,79.90992473452326,83.9484759357304,84.92994958707284,87.67048674066349,86.29791548794825,76.6184588550716,88.95942934086493,88.17461991566103,84.23473649742483,87.4308154201834,87.71201820804701,89.06281932995199,86.60671120226596,67.64682775316476,76.28482032912788,73.92027850734719,68.73802953563106,70.62322637147648,75.41572691431125,67.9451865612451,70.85325191170803,67.26339760850189,62.38306300757785,58.7724874045835,51.39844416942889,60.056097179834644
"Industry",55.582470215889145,53.307427096310505,53.073024111308605,45.87111122328795,45.74938209993991,44.29640698534266,46.325404160358445,43.93836717676808,45.79653550424425,46.1296384566534,39.74615578563025,41.550944753234496,39.99390857213964,36.59412069139604,38.39861891726194,37.630241985488986,37.725354059101086,37.5566645729249,41.20202535031045,40.11299782227495,40.66848420137249,38.4271084766032,36.76902174445966,38.9515379502896,42.49265507290296,41.5784855551281,38.54488703024706,41.816226465641506,41.32949233510955,39.36794312532339,38.713402781418715,37.486821529395854
"Transportation",10.230984717648003,9.974109388555402,11.0546495155488,11.3075684113131,11.9504136442178,12.122793520134099,11.201837061593698,12.4928585987317,12.675129898724702,12.7444418005664,12.944805891994697,12.749756768013501,12.7188630744796,11.955247850828899,12.284252841797901,12.1754669905511,12.104062629438996,12.0679326179714,11.1281258089251,11.7059567545854,11.9123945415016,11.4790636881099,12.007969125104799,11.528409040344803,11.740622155960502,12.329185236728799,11.0511461492526,11.985654081238403,13.6860132350278,13.725087069663502,11.6315136819821,13.7971163225147
"Commercial",2.9164500959568,3.0358316077821996,3.008074572297999,2.8567366443533,2.9642525401588,2.9421550810608,3.1667991351911997,2.9727818870656995,3.0054889727154,3.0961712344051002,3.2224429672950996,2.9507840850030003,2.6453388558658,2.8137481848848998,2.733200916512099,2.7434994439586,2.6026313826656997,2.5887996157390996,2.6324106783799,2.6373595746161,3.2690280243436,3.0987695743891996,2.9668202294498998,3.0779924764153006,3.0640391728172,3.0469176432136,2.9913619820948,2.855951850288,3.0954861985093998,3.0540898856483003,2.8916152961076,2.9546090519432995
"Residential",2.4607328571078995,2.3915513768090997,2.5153043193855,2.5773446169023,2.5694774506703,2.5154375737156003,2.7460393654409003,2.7245964570309003,2.3327695812541003,2.4818770715973995,2.4806560074452997,2.497957453797,2.278129015226,2.3650074649647,2.3479124623098997,2.2535454013828,2.1315016861329,2.0334352824332,2.0700189461107996,2.0529037032123,2.1396643659551,2.0058364525620003,1.7756277674397,2.1772974263256,2.2551917409062,1.9964478398010002,1.8458145958359,1.7047275025470001,2.0327214282217,1.9219115615621,1.9260376352856001,1.9617415289364
"Agriculture",1.6513949353049997,1.6214936502032002,1.6967898131221,1.6981740530934002,1.6881072619742,1.6808875049783998,1.7042706010669,1.5733809175837998,1.5581015606559,1.6192358156736004,1.5633957421209999,1.5277270176873,1.6064891705814,1.537890244761,1.5631514070574,1.7296060596752,1.6877073535208003,1.7321540570148002,1.5499326747836,1.5967348436203,1.4756687274791995,1.5337012735638003,1.4725936136439999,1.5453063794513002,1.4767364910164003,1.4381317890757004,1.4996410850536999,1.4653227652386995,1.5463909592022997,1.5890060853774002,1.4580971834365,1.43817055635
"Gross total",144.99049220646359,137.3990543443885,140.30587964318073,133.0789304865666,139.9685680688138,138.285760316199,145.05427505817443,147.6504609729106,150.2979751046672,153.74185111955939,146.25537188243462,137.8956289328069,148.20215802915735,143.44063435249657,141.56187304236406,143.9631753012401,143.9632753189065,145.04180547603542,145.1892246607758,125.7527804514738,135.75006018977987,130.46475797257528,123.73006201572909,127.90376964430308,136.44497154791452,128.3343546251923,126.7861027541921,127.0912802734555,124.07316716364862,118.4305251321582,108.0191107476594,117.69455616897488
