"Texas Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Industry",335.6364580404186,336.6159881244429,338.8088548998631,335.91269707662394,344.1347808138052,348.1401181765294,367.7681937192757,371.6441349007037,361.1597183104513,344.1685658278238,355.4599487106077,350.99546451345924,345.9872941500252,344.6869679186491,348.5665014231885,320.2315211784981,325.9887008815998,318.8292548310881,298.2319210113279,269.7503135472103,298.135984192314,301.9917358281787,317.2366452398258,346.89083527312005,344.33468039192934,346.14059373641913,321.868910550311,330.53106929058134,356.7419443467896,369.8139628787207,345.625732966098,364.2068118741255
"Transportation",136.838713837828,130.14464846197,134.94640125203262,135.54711439355358,143.39676152530382,140.80506251237588,154.60163250485328,156.03976210680952,162.8272639768754,168.0406977809054,174.65466753151566,179.2974548132601,187.1004432888833,183.23027772213513,181.84611540147293,182.7004325174834,189.0644900831857,192.61320843486752,187.59475233956255,176.6657394606986,171.98073591760468,174.494943798861,177.8938783930451,189.86996471107582,190.69807535499763,192.1926438507343,198.41708806122782,202.01405778025227,209.8032988929824,213.7259034078622,186.47507941614458,209.67617774669029
"Electric power industry",187.32117490446836,186.59113018269574,184.2504618237413,200.73163549326762,194.25179611852533,194.47367107778447,205.15297383268722,209.50902743937385,218.57006647515058,223.06443658371828,231.92745846125152,222.9473167451656,230.05612495083676,230.3285503374301,229.6384594677929,234.13920973549844,231.8888383392298,234.51972948905646,232.2402808211161,221.3934768975981,225.50449769622676,242.88943871303846,226.8169988697877,231.25483545029272,229.77272276116682,218.19630504296848,212.0585969192025,215.75573682153168,205.10821295890045,193.45257238928718,179.57246707203262,183.02088637135816
"Agriculture",62.663458527027494,64.1997700285225,64.01745641395628,64.8951643361782,66.6497989077659,68.89919931813039,70.3110728363665,65.6608347114902,66.317902736017,62.75672620525839,63.6754862909746,61.97354096076679,64.456161336101,63.00582550572349,65.20080502802679,61.669675754709516,61.583675481521695,63.74825081464021,61.17443200883311,62.68727156424091,62.85152191464731,58.63092336426381,58.7415559171377,58.4038295170202,57.4060414119899,59.87029784494899,59.546341503221704,60.36237380245891,62.5961776139526,62.2534553514805,62.320970277792796,62.0117712833222
"Commercial",33.693985907339304,34.4382400672055,33.8949779337021,33.0492576490325,32.896212345531595,34.3283653099696,31.697316203614,31.853220958871002,28.112634550013798,27.462310117632498,29.857838351157,28.085822725566,30.5201227138716,30.795953730982397,28.162905164696298,26.633803927899997,26.2779309201294,27.842948587144004,29.0114643703642,30.5428097916282,33.6786425992218,34.5246256540141,31.523430312184903,31.811819249645097,32.70044114741219,35.203347533114005,34.4711976598841,34.2812937795044,37.1111506331639,36.998833797092,35.2927480040747,35.9196837425832
"Residential",13.2747675890612,13.491988109900598,13.072144715998899,13.675635977907401,12.843918508936001,13.0696311947003,14.1615197982241,14.7000189931742,13.179973378994701,12.798665069873401,14.1743116081156,15.1183218967121,14.9545402747825,14.327405980421899,13.033187102853999,12.8848400515585,11.4582005923422,13.5332476522131,13.2447114889682,13.1975465809143,15.486104479210299,14.215202010859498,12.2883915533908,14.8239759009353,16.7644481705699,15.8433223800584,13.8689586996421,13.3919304867859,17.314910370445,17.5983557608249,17.001456205102603,18.2762079956393
"Gross total",769.4285588061429,765.4817649747372,768.9902970392943,783.8115049265633,794.1732682198679,799.7160475894901,843.6927088950207,849.4069991104226,850.1675594275027,838.2914015852117,869.749710953622,858.4179216549298,873.0746867145004,866.3749811953421,866.4479735880315,838.2594831656479,846.2618362980086,851.0866398090093,821.4975620401722,774.2371578422903,807.6374867992248,826.7468693692156,824.500900285372,873.0552601020892,871.676409238066,867.4465103882434,840.2310933934892,856.3364619611144,888.6756948162339,893.8430835852674,826.2884539412453,873.1115390137187
