"Tennessee Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",31.891317036563702,30.197886205647702,32.38259975676841,34.4489291839869,36.1141711145657,37.4444869516784,39.1730226884476,39.8423370506357,40.90402555460711,43.057879827776205,43.3234213131201,42.539201364017806,44.142212665239605,45.2066844153875,44.761712644989196,45.470369524697595,45.136070858952095,45.03457680209169,42.76239758986699,40.930903740286,41.8905457758376,41.4310844390875,39.79522299503469,39.313488645133994,40.8082316074845,41.02556141959669,42.2523516327527,42.40965183862799,42.93351060210939,44.93287361140631,41.768495698879704,45.539806954104705
"Electric power industry",48.84298981426665,45.93023100700715,48.42685693087785,57.02563654040314,50.704214064880304,55.85364473477289,54.213112398001705,57.294406971685454,56.13979879496471,55.83286664949485,60.619772818016905,58.14457338242506,55.5668279242897,52.4180274161461,55.0424282766138,56.515486209711945,58.60938611124379,58.200643288471014,55.3210882707834,40.228477906514996,44.59659785336721,41.737319969391,38.34956304217354,34.6799723311676,38.283252933034895,34.624362813490244,36.98623484186524,32.99630652961521,26.6489128266833,24.517923951640196,20.152211300038296,24.52609675738465
"Industry",25.85999913878254,25.43087986167705,26.68470310393284,26.244228367205555,26.300897738228997,26.001494241561904,25.7766392056671,26.33347367555585,27.14636990241359,26.42700367288335,25.459512187695307,26.83355641716984,26.047069063293407,26.24632643185831,26.028684388693296,26.073662058712955,26.709129973236198,26.865995040682705,25.902038491465298,20.2213931454271,18.389345827527,18.4406058488307,17.974779135680553,18.8798778949852,18.293634661131,18.267963151308148,18.42549044832505,18.067084956859993,18.529856887611203,18.2443432710649,17.896781312770603,18.408923848739647
"Commercial",8.7072076067515,9.095137849311499,9.1413954883201,8.843461635585399,8.8565882145645,8.9844345937932,9.2109129226049,8.626477201147898,7.884245982270299,7.6625264839669,7.942888013179599,7.7186884314149,7.6699154257583,8.1243421161902,7.8921976127993005,7.6149619688062,7.599911422547801,7.6769293871029,7.855177588003101,8.254240694004798,9.2203015307295,8.9881720834874,8.5017770861605,8.3460837806641,8.803963877752599,9.154361300346,8.7512037638997,8.7869751713124,9.1512157880702,9.313365771627199,8.651466238719099,9.0070463385499
"Agriculture",8.946874240403304,8.7941071515332,8.855371296986199,8.817118389957402,9.508789843212998,9.5101725018584,9.500014410162201,9.191473228042298,8.9893708166643,8.356065654279599,8.648261587579102,8.701718436166098,8.403210442288,8.723141908969698,8.859284734730402,8.566611564448701,9.056573165926299,8.70688267849,8.2178671087529,8.1897038104187,7.8135197388063,7.877710451832199,8.127643876282,8.3366023743945,8.724974555921099,7.7177409997359,7.8727116904712,8.359122440382798,8.344479713563299,8.033542137027798,8.223481820483,8.106854588984401
"Residential",3.4848769362611005,3.6600291351964,3.8776138372516002,4.163998721906699,4.1092829498596,4.4288576240322,5.230679544048,4.7561373179081,4.408294676358399,4.640887954405899,5.1917990305715,4.905763549539399,4.975709276574,4.9260497598461,4.675553918372101,4.705712562603001,4.3864992947331,4.3892666907271005,4.7730832176425,4.7472702407093,5.333031829011199,4.7230195587766,3.7555955010841005,4.8694155266864,5.4770208593333995,4.924623469936301,4.4246022517805,4.3506426492963,5.5541239682354,5.2667205681856,5.2316733816361,5.843723676274901
"Gross total",127.7332647730288,123.10827121037299,129.368540414137,139.54337283904508,135.5939439253121,142.22309064769698,143.10438116893152,146.0443054449753,145.4721057272784,145.97723024280683,151.18565495016253,148.8435015807331,146.80494479744303,145.64457204839792,147.2598615761981,148.94680388898038,151.49757082663928,150.8742938875654,144.8316522665142,122.57198953736089,127.24334255527882,123.19791235140539,116.50458163641538,114.42544055303179,120.39107849465746,115.71461315441329,118.71259462909438,114.9697835860947,111.1620997862728,110.30876931095202,101.9241097525268,111.43245216403821
