"North Carolina Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",39.947517277923,38.8756838009002,40.2084250107263,41.677524354399004,43.7645330106819,45.070596350903905,47.915743263705394,48.78422186074489,50.5941661161873,52.058558659656406,53.99930181017319,52.5195661926895,52.9405863506118,54.694318965282804,55.303637127120304,55.4137292344361,54.633042747451306,55.311378787969396,52.1710173008743,50.23121905289911,53.86576877883621,52.14549721161411,50.3232605778766,50.5812917887713,52.236204651876804,52.95882176477139,55.1503922240056,55.5589422571426,56.7418939013161,57.659718343498206,51.90062314284221,56.6131147723974
"Electric power industry",48.1736287685801,49.032903926878944,56.21781050133,60.6992544656502,55.27233183716451,58.4639865549324,66.4791866728205,69.0161914463176,69.04813440485444,68.32801739967094,72.61995795157745,69.9118979898898,72.590618133507,71.95491417346061,73.0663466252369,76.74594884236355,73.8947903226592,79.7611052210529,75.97510782297483,65.55655799212396,74.18619533190865,63.28927394843985,58.159569687894354,56.87788362525945,58.332073609767505,52.8864028860972,51.901166135324154,48.22429077820585,49.0641991927333,46.728097001414994,37.69933687952745,40.718486999672194
"Industry",20.327514407917064,19.58546419482171,21.063124309238564,20.24447923499096,19.59357975404344,20.835031793128085,20.63780683989158,20.223856875447357,19.58304952480553,18.28892509047938,19.243492498169868,19.092569253968946,18.875032631381114,18.100356935292506,17.927325520912177,18.06397849710821,17.541591987998842,16.18980654655474,15.192674245213237,12.954354525334994,13.714908353352014,13.76452045289446,13.067496847667842,14.246839521937595,13.24893037375783,13.429309057075722,13.599496624153469,13.642005568577968,14.11266864801242,14.409466278668093,13.85099078521475,14.249309018429926
"Commercial",6.7010227745878,6.5696803569124,7.7887822039322,8.2404116950453,8.6991349061747,8.394707941511701,8.899264488805398,9.2313225274666,8.779129707774302,8.2349768108731,9.0478212324585,8.8911891160387,8.638778515881501,9.8103596117733,10.281288124139001,10.406403591680801,10.329060771830504,9.872589687752102,11.1402975341163,12.099598609424401,12.395237781121999,11.444875144075,11.635410051694901,11.4825813922048,12.129881988945101,13.015582917981302,13.509799182666699,13.2848170822433,13.7475667926226,14.0512257727587,13.153055486131,13.374170657598603
"Agriculture",7.982869687445,8.3973461411485,9.0852497848869,9.4509974814906,10.675811139581501,11.610568386210703,12.3425423067848,12.4137971275514,12.7314328839225,12.3365615179634,11.941536871801802,12.1822201184731,12.543676112013896,12.311740487058,12.576527295216199,12.404081509821802,12.272875665858502,12.5581475493933,12.2342121218944,11.963684297060198,11.670520851868098,11.6037263269396,11.555089120467601,11.479382698646,10.90873901001,11.369863788803299,11.646188102641199,11.662745183451998,11.752134624880302,11.767613147237302,11.8105236901104,11.3456913581521
"Residential",5.3901547490817,5.562959748819799,6.137379409037901,6.3764253203568,5.9994228789861,6.8111768505992,7.875516955028601,7.2100516976602,6.9921242950976,6.660073668532299,7.5005089825808,7.176582433752601,6.643689317629799,7.530932950955901,7.4914209171605,6.9209284820254,6.072516929503401,5.9740758222134,6.3683682264813,6.361335881299801,7.1160293309798,5.9223109986092,5.2480814690524,6.2017836186097,6.8628398748463,6.556012355598301,6.4873685342591,6.0055543784473,7.1766328238788,7.367979427424499,6.735351249676601,7.6519593734705
"Gross total",128.52270766553465,128.02403816948157,140.50077121915186,146.68909255193284,144.00481352663218,151.18606787728598,164.15006052703626,166.87944153518805,167.7280369326417,165.90711314717552,174.35261934676163,169.77402510481267,172.2323810610251,174.4026231238231,176.64654560978508,179.95507015743587,174.74387842530174,179.66710361493585,173.0816772515543,159.16675035814245,172.94866042806677,158.17020408257224,149.98890775465372,150.86976264542884,153.71866950920355,150.21599277032723,152.29441080305023,148.378355248069,152.59509598344354,151.98409997100183,135.14988123350238,143.95273217972073
