"Indiana Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Electric power industry",99.17787719431976,98.99048305194664,97.5666791261167,100.3282630811661,103.63486043383799,105.28392302342611,106.780579282075,111.65783130643065,113.96634428174006,116.9350907135251,123.70072501963365,118.6470123248165,118.26876523194925,120.21813566122214,122.7916822835672,125.91622606373159,125.63813832619167,125.58591479683136,126.0035236006649,112.24591427189915,117.58475745047804,111.80824793597871,101.68154538211725,101.46912597804645,106.3951843642875,90.04172148906476,86.27314817403331,82.70601536437765,92.00059811990164,77.2948378479591,64.6332524934553,70.36059061553055
"Industry",61.68656317165338,57.609121648043875,59.479413864634296,58.527027714400816,59.21561466925261,59.61192726649633,60.53827724502516,60.78056555897291,58.618266524925126,60.566983101313355,59.8968705044665,61.068241170995755,58.078682238674816,59.32105423417519,65.58399275649673,61.242516538933366,63.409839001752594,63.083978334270974,62.46073141524254,54.052189338883196,64.20974856126253,61.07129205270805,59.090563868015764,59.98900193684668,59.51386107975619,59.061465706141455,55.89594972448501,52.28081518462825,54.98475947142225,56.3014021186981,47.5871172663788,48.269564311610665
"Transportation",39.6274632697163,38.774441103121205,39.44346874629449,41.7911630037938,43.589642100408014,44.81284976616819,44.1921394265152,44.2686893121462,45.247010318935196,44.470194093958696,50.1145881657294,45.9159125377915,49.6464762143786,48.1069983391224,48.1818157561745,47.914725880214895,47.9877420132351,47.3364343081256,44.63410316988801,42.0692036351516,42.6482450433436,41.629945760910495,41.141440763711906,40.4240193487526,41.6275435084029,42.158220375988805,41.92625347531391,41.616331931493,41.122227410259704,40.48978867513219,37.467030203268095,41.335423760747304
"Agriculture",15.776271274212599,14.5943248752395,14.7465166679364,14.3557152358347,14.451382042217798,14.7706551515526,14.0708075719815,13.549633275430802,14.8172630330424,13.9562485216054,13.752655799747401,14.6987459143186,14.29588920278,15.2801892524,14.416359088026999,15.179683373985402,13.933613625181803,15.0124427585822,14.8694380203952,15.5516483427979,15.3916145342723,15.4226744021162,15.5763404582882,15.9141728799811,16.0082576237064,15.3677933123159,15.4998839177101,16.3844356848208,16.2308097269462,15.216290502762199,14.4167069516926,14.377206406711199
"Commercial",11.691023492638799,12.1001340783489,12.3624626033876,12.4165485033721,12.4647354027827,13.683010110917701,13.6084858735419,13.059081926242198,11.784420370203302,11.069583194202702,11.9395765574109,11.036492535433199,11.363299691668201,11.970371070775201,11.648503085583101,10.570185074013,9.8910797015446,10.472424027340999,11.5125148906422,11.6745653976436,11.9159267449265,11.164781183254,10.5496888538035,11.6180547412463,11.4379367788925,11.243186529657201,10.2005057806458,10.302908811686102,10.6358776187723,11.0331487667621,10.076509126509801,10.3295178931749
"Residential",9.819831583957502,10.0681163194426,10.242271517254702,10.901160760589198,10.367316169524601,10.5893436237645,11.991330288055702,11.3160823747909,9.372941649183801,10.5678474586789,10.890781834725601,9.6926300099007,10.461935382363599,11.3434761066219,9.904844461275701,9.725017514098399,8.3174023719306,9.3647647485854,10.0789329350314,9.282586254102299,9.1316127385716,8.7877717012065,7.596453520552999,9.3601747900332,10.0679653063131,8.695682533325899,8.2776724952299,8.2220886783004,9.5586364067788,9.630641629727599,8.986776978326601,8.958613509495901
"Gross total",237.77902998649833,232.13662107614272,233.84081252562416,238.31987829915673,243.7235508180237,248.75170894232545,251.18161968719446,254.63188375401364,253.80624617802988,257.5659470832842,270.2951978817134,261.05903449325626,262.1150479618144,266.2402246643168,272.52719743112425,270.5483544449766,269.1778150398364,270.85595897373656,269.55924403186424,244.87610724047772,260.8819050728546,249.88471303617396,235.63603284648963,238.77454967490632,245.05074866135863,226.56806994649403,218.07341356741802,211.5125956553062,224.5329087540809,209.9661095410413,183.16739301963116,193.63091649727053
