"Arkansas Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Electric power industry",22.127796161548346,22.1422137655277,22.5119573566363,20.11719606406525,22.3358056310721,24.23832362695065,26.45699481715445,24.77314629238965,26.410175310937348,27.5402453624217,27.1539316916689,27.7233822966457,26.320165401667,27.11954037269955,28.020678046276803,26.1167297270346,28.2113755639048,29.40361796369545,29.82364320447195,29.66332568330785,33.23201947835499,35.0970870335792,35.423539888284104,36.49467556455015,36.471731416199255,27.7876094179942,31.04247199062565,32.64773639856915,37.593255444764445,31.744129190088803,23.0061873434662,29.058894754382546
"Transportation",17.137484573687598,17.0356324496849,17.4322739347862,17.9887566867982,19.1068288330235,19.6310580357694,20.0958573476241,20.784927846906907,21.139404440085404,22.3122996335498,22.520236673034603,21.067073223475198,20.928562468293002,21.3871948357385,20.9725959326902,21.3375610035901,21.508496386994597,21.7916244916089,20.532032853808698,20.1585945792091,20.3746304201806,19.863690779072396,19.726193104354707,19.1567722071026,19.869139816602402,19.2392967088563,19.987661644007506,20.108931977979903,20.281105928385898,20.316347489214298,19.2296287271258,20.4854812805481
"Agriculture",16.91341985894,17.539293336780002,16.2819298839077,17.5576509563823,17.911478077369097,17.6686486975346,18.3747253452464,17.229693859003405,18.4301960680945,17.8304020362215,18.273719693695497,17.0538927292684,17.896655213177,17.8412696231834,19.590173139938102,21.342038245696102,19.7835065102383,20.1577176560678,18.3982113849865,18.575683081099,20.899156248466596,18.057902387637498,18.5245288939566,16.012623166491,17.1989422829602,17.675659344705,17.5284021792387,16.420871272706602,17.4698655980547,17.0107661296853,17.1022739998049,16.463773322353
"Industry",16.918644704679156,15.681260203058706,16.995287834798802,17.36415777411605,18.1960939300215,18.67008917622975,18.456891129537553,18.61788003209205,18.265230021485547,17.511258152735603,17.7518895199362,17.516441756696704,16.940348896857802,16.390593101973757,15.8890648294165,15.370437047643899,16.303913747463298,16.45628356251365,18.04443102995965,17.382824180988152,18.197474156357405,19.22888914447209,17.9088633075407,17.79946163793525,17.78137658761055,16.117481976176,14.791389253990252,16.225838242309354,15.806221394095353,14.986571558961899,13.483999426070296,13.03423270560875
"Commercial",3.1005197782858,3.3811611949802,3.5053488556183,3.3452653760035997,3.5820631700274,3.6351276138490003,3.8530239726325997,3.6160799317011003,3.4216383230659,3.4567329329247,3.5978609224605,3.6046541446325997,3.6084457894057005,3.6993885011705,3.6197914619622997,3.7320067354080995,3.6332339009877,3.6600845261022,4.1977748587119,4.5448800520071,5.570660749673401,5.491186569167899,5.2873151842081,5.527852153347499,5.7947444814779,5.851940573215099,5.559280807726,5.613458598044801,5.9669785483383,6.0625254711024,5.9819740645397,6.237748633758599
"Residential",2.5745619359956997,2.6373298232497002,2.5166678593188,2.9051818355965997,2.7021490103856,2.8712286919325,3.0377455576393,2.8089513452375,2.5022178259088,2.8310980733435,3.0946200008592,2.8152135091346002,2.7680376333268,2.6208009836729,2.3752516845426,2.2969197349828003,2.2207412279074,2.2577125915389997,2.5309458158966,2.4623102251827,2.6129208891534,2.4669679904049997,1.9485033829317,2.5762578221733,2.7492047821426997,2.4274965434003994,2.0355621901282,1.9732679674942002,2.6030949203444,2.5286211523229998,2.4438855023537,2.7325117473387
"Gross total",78.7724270131366,78.41689077328121,79.24346572506609,79.278208692962,83.83441865189918,86.71447584226588,90.2752381698344,87.83067930733061,90.16886198957751,91.4820361911968,92.3922585016549,89.7806576598532,88.46221540272731,89.0587874184386,90.4675550948265,90.19569249435561,91.6612673374961,93.727040791527,93.5270391478353,92.78761780179391,100.88686194218639,100.20572390433408,98.81894376127592,97.5676425515998,99.86513936699302,89.099484564347,90.9447680657163,92.99010445710401,99.72052183398311,92.6489609913757,81.24794906336058,88.0126424439897
