"Mississippi Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Electric power industry",14.00222746610955,12.767364987736899,11.4799142225033,14.12213193155785,14.415512528045701,15.827957890075451,17.5298707791317,18.4521091999234,20.1158603608838,21.2707518222278,21.76911971835405,31.116872440019648,23.757468298119,23.73662572111375,25.82817369782,25.654117300398752,26.2800637478941,28.16544742726665,26.24368987815305,23.618456937005103,27.04021720717585,23.455684652810998,23.59298838910075,22.08728905165725,24.2533800823339,25.07992695643755,26.343404795218902,24.13470190210355,26.0914012973254,24.8810562195895,26.6535133889436,25.56830034225085
"Transportation",19.575978331351504,20.037335601448902,21.623002602675403,21.676781562022,22.0476048047192,22.9189442686485,23.6677133157102,24.2015929106535,25.1752419811628,26.9657753277556,25.753344417023502,24.827903038527,25.0087943963065,26.473544337880398,25.1447319763007,24.857952945542102,25.5801509029954,24.9259354041734,24.235755233154702,22.759484445353102,22.219275442925298,21.790856192556898,23.1821633664601,21.021417779069598,21.862391386999303,22.271563340453802,23.211512274549502,22.7530255280883,23.2045488999327,23.446892301722098,22.582777190755703,23.934369592647997
"Industry",16.671535949521132,16.103510625732287,16.711842406741983,16.089850544003184,15.286153967187953,15.059911966606766,15.473135616812755,15.30171060032327,14.092896986491052,16.56383158719467,16.023870569770043,15.697871533710726,15.885788385734584,15.963541149687725,16.80024171691605,16.060296689825687,17.266705281039155,17.302251688494994,16.500974525134875,14.85114361954986,16.564957207086355,15.41294873578806,15.499886950492456,15.717172237737916,15.426970671885393,15.835800668895645,15.183184027929736,15.856601000151878,15.81491280654364,16.3584763977854,16.351990601994046,15.897129589556485
"Agriculture",9.3736283825328,9.4133656752776,9.1010711482843,9.202145713126798,9.1530555624496,9.1894222765767,9.0631959929293,8.9478338904663,9.3508750197654,8.569192707765602,8.7795731754588,8.5836857530178,9.1774769618443,8.841049286891899,8.2282868664014,8.8013910331884,8.120510798829601,8.250862151916499,8.0814110568774,7.6491664905503,8.1961383612014,7.880860576852301,8.535690063536599,8.3703876052485,8.2739527926726,8.0995170938582,7.8169341043908,8.190289002327301,8.0513171227648,7.9368663138138,8.0901523096307,7.8361605427187
"Commercial",2.8561592107875002,2.9455849129346,3.0531138848298998,3.0616263927349006,3.5099151510557993,3.4839298920812,4.0320751411598,3.8324430103959,3.7204786329157002,3.3599714622233003,3.4221383274462998,3.489067169645,3.3201723988753007,3.6261701511283,3.3971787017117,3.4561400207478,3.4316369041299,3.8054537486295,3.6729325713215997,3.7328846457430003,4.5099747822376,4.2857576779021,4.0566834666087,4.238358163242101,4.407077430272,4.3869784560774,4.2818772359481,4.2890026515489,4.5312264920679,4.38432376767,4.1376969188332,4.0170693793043
"Residential",1.9366183624444,1.9231829982999,1.970628204997,2.1058797138442,2.0377045145709003,2.0689229132376004,2.3709482427961,2.1843614707341,2.0238315955174997,2.0441380717258,2.5622858567193996,2.5878616552753995,2.2458677596238004,2.1005513265443003,1.9249213604475002,1.8947310505712,1.7080725999691997,1.7694466241402003,1.9575260453316,1.9833883004703,2.2118681127467004,2.0232044368116004,1.6297687901075997,2.0267002978257,2.3171776890837004,1.9496534009985003,1.7684181661912999,1.6858596535711001,2.0949312112689,2.0394265714033,1.9431768621341001,2.1064963481143
"Gross total",64.41614770274688,63.190344801430186,63.939572470031884,66.25841585728894,66.44994652802916,68.54908920722622,72.13693908853985,72.92005108249649,74.47918457673626,78.77366097889278,78.3103320647721,86.30326159019558,79.39556820050349,80.7414819732464,81.32353431959734,80.72462904027392,82.38714023485736,84.21939704462125,80.69228930997323,74.59452443867166,80.74243111337321,74.84931227272195,76.49718102630621,73.46132513478105,76.5409500532469,77.6234399167211,78.60533060422834,76.90947973779103,79.78833782990334,79.04704157198408,79.75930727229134,79.35952579459264
