"Kansas Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Agriculture",27.6943821741697,26.5610384591147,28.6397661020965,31.711351523620802,29.412386441451503,30.9827081959259,30.688231857823,31.695957784139203,31.657243654802503,31.108447033693395,30.9363036004062,35.0282130600072,31.886396703235498,33.609092922314304,34.0933354042362,35.2275076737691,32.5762917698829,35.61981568943381,37.0440031463548,32.7052159852103,34.9689866078793,32.6580922542898,33.4848077490912,36.8285120379286,34.5393026914943,35.734921204289705,36.603306698962996,38.2451734745855,35.5917064171484,37.9774930604596,36.4001683181169,35.6923030658418
"Industry",34.85885757828679,34.660991155191006,35.905142106724,35.2218560484494,37.3996364361588,34.500764495080595,34.5530267379682,34.51421645117635,33.399851309688756,31.267920517335845,31.741576208771804,28.77031321109135,28.360797414156046,27.7947805421441,27.44664471566,26.5554845060831,28.55744415865675,29.59838442323835,26.445520002052,24.905838008856602,25.039285563664603,24.868001205825195,25.085414436391194,26.111266503339895,26.7307784049279,27.081578843564998,26.53213925856865,26.537365386928546,26.47165969761425,25.90696011529775,25.080635331585253,24.699234154025703
"Electric power industry",27.758018909069598,27.9071341624728,25.259946837489203,30.319866026536097,30.407088938587798,29.365931886423798,33.6822803247591,31.34609144467935,31.88283821605305,33.94708991381505,37.0687732785156,35.87637107116495,39.251628973149145,39.1250492089517,38.4110271782889,38.168447546908,36.152699939965046,39.622668977594245,37.400190094615,36.332244153356704,36.43359624521779,35.217767200260404,31.5618450987974,32.9455890913602,31.610739877717002,27.2842478441624,25.67254128218625,22.15053900793865,23.62171346568365,20.785562484799247,20.30733282721535,22.7625755288097
"Transportation",18.509592758395495,17.163839767677697,17.147473371569596,17.905587641755,17.330680756210203,18.2881114222483,19.2229812179164,19.5185755468533,19.635684217337204,20.9062897377936,19.8350774722711,18.6618218035256,18.918666657508798,20.6752533711503,19.832177029107,18.038714293672797,18.968883673194604,19.4454809754653,19.09132846441,18.8837926657042,18.9352282879158,18.247688772360203,17.615186796052402,17.815812294012098,18.5795441318045,17.748759574748096,17.6308590944068,16.696687067386,17.8272677831551,18.2292044593079,16.888655802191,16.958909493610705
"Commercial",5.8641178031736,6.1692858128907,5.8511576828158995,5.8468116138231,5.566906487071599,5.5986712944617,5.8732438860177005,4.921748125803799,4.7843594580617,4.5392837428447,4.732744880800499,4.5857020153339,4.3956307929562,4.4084429305916,4.2918802365108,3.947464728197,3.9750698880143,4.0884244945399,4.3710937731135,4.3191027971721,5.378621459279999,5.0125720192139,4.8543203313081005,5.2973729099727,5.5504981628431,5.035974976365,4.7195965983719,4.731132175549701,4.7492299102266005,4.8695879820323,4.775551800143999,4.7797111895877
"Residential",4.175770929358101,4.4496412896024005,4.132964602392399,4.8251332996642,4.3006934213654,4.5916589246488995,5.225876476661799,4.4817718506149,4.5200335144840995,4.770689630454501,4.6459730555618,4.4086334171637995,4.5420143723054,4.5593776052327,4.211867651991401,4.1661661689392995,3.6149006666293997,4.0606602855158,4.696217750477801,4.652731492257299,4.4084309574479,4.298781807996801,3.4101549910410003,4.4380150950491,4.6882827551275,4.004387090426699,3.644305537098,3.6565952512076,4.502212793591901,4.649009587275001,4.239110768173,4.1201728206584995
"Gross total",118.86074015245329,116.91193064694932,116.9364507030876,125.8306061538486,124.41739248084531,123.32784621878918,129.2456405011462,126.4783612032669,125.8800103704273,126.5397205759371,128.960448496327,127.33105457828678,127.35513491331109,130.17199658038473,128.2869322157943,126.1037849175693,123.84529009634299,132.4354348457874,129.0483532310231,121.79892510255719,125.16414912140542,120.3029032599463,116.0117294026813,123.43656793166257,121.6991460239143,116.88986953355689,114.80274846959459,112.01749236359599,112.7637900674199,112.41781768917181,107.6914548474255,109.0129062525341
