"South Carolina Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",22.844708399383602,21.7976123337657,22.534246447763604,23.3501014927952,24.671517275604998,24.4433101023933,24.971196500660998,25.922030808735798,27.7066954339337,28.8281624775859,29.369140063298296,29.205140836050003,29.4972388821688,29.934291079579204,32.6979445401365,31.165231933212898,31.921310309567303,31.807035426507397,30.7401740625109,31.2641459165441,31.422025123687202,31.288763084261802,30.614161535728304,31.3682765670377,30.601857647013397,31.9755274632064,33.231521739788,33.5726064811722,33.5428023156722,33.352399326078206,29.875451418541697,33.4117134513311
"Electric power industry",23.33879760619945,23.886381889017503,23.269942384363755,26.436261223718006,26.917237302231594,25.96981139633855,29.771055593711804,30.7820741324163,32.428196324277245,35.05305627068535,38.0943604097102,36.15955414860145,36.88023962675491,37.041866469341294,40.27996826420639,41.309800165279995,41.3086237188389,43.107486631615906,43.21728051220885,38.622048887309745,42.0608397099566,39.03458314564505,34.32297487639585,29.043632036327004,33.467866227654504,30.139910418890345,28.325997546601148,25.771434054058552,29.31509253995115,25.50947562776695,23.409378609187954,25.6318009875164
"Industry",17.932388357111144,17.297416120488005,17.834732446255956,18.123878330960295,17.75710849947581,17.619059805085648,17.407192590214205,17.789245961697798,18.266723252576156,17.863715205588658,17.8002851339129,18.146774772501743,18.038544720914704,18.4124203219473,18.869610728496802,18.507363345735097,19.043049939703,17.885106792306996,16.40859423116725,14.515547786804547,12.458356674181402,12.275928535726976,11.818941858355902,11.491953310114361,11.607066816965832,12.194386561483551,11.63240396415715,11.397057984973848,11.554227655726852,11.584190946240247,11.17216712674875,11.2914707383877
"Commercial",3.5214753199298,3.7374340394279004,3.8524604251519996,4.0307792956575,5.1491509788918,4.937799706993,4.610575197614001,4.4420118328412,4.813964978796601,5.053210449673,4.5738212901161,4.3597492898579,4.4969403710249995,4.6503745014273,4.577884569234199,4.5861288621331004,4.759198888767,4.488006674977801,4.5944127719567,4.4466783203897995,4.974534264648001,4.3971666685042,4.9752255815125,4.8663726071031,5.3533425126970995,5.6745496719996,5.866385746971801,5.680605574008901,5.8854098766056,6.013443980943201,5.7098775644629995,6.0283660235592
"Residential",2.1297428263004,2.333085741041,2.2296065484568,2.5059297472232003,2.2637117891964005,2.4503536640049,2.7303473568914995,2.4772349519152996,2.4054245549782003,2.5007983039454,2.6576244518413,2.3795091329137,2.3425639174771,2.504328919782,2.5330506186963997,2.4168441086676,2.1175533723586,2.0398122244742,2.1516621251177,2.2015260873152,2.5716356360074,2.164827640048,1.92868377299,2.3103188486171,2.5956955176211,2.43751113219,2.481215057333,2.4182274754659,2.8493499981846,2.9997177793467,2.8252515862895,3.276496716348
"Agriculture",3.2144087171532,3.2262384277614,3.056667075221,2.9384753257235006,3.0914051050805993,3.0069131364608,3.0694831440684998,3.0518978276272004,2.8668258923261,2.9873255583245,2.9375239253824,2.9642127239516,3.0515840798846,3.0434766195160003,3.1015271875217993,3.1558204470226996,2.9908226292607,2.869276062398701,2.7975372779526997,2.6341334699444,2.5291758758958993,2.5822338080405998,2.5562965653199,2.4928795358032003,2.4824675301243,2.5136179521321003,2.4870594155097994,2.5135131630746,2.6026191288219005,2.5802913411726003,2.5931095731816005,2.4790408278729004
"Gross total",72.98152122607762,72.27816855150151,72.77765532721311,77.38542541607771,79.8501309504812,78.4272478112762,82.559850383161,84.4644955152336,88.487830436888,92.28626826580282,95.4327552742612,93.2149409038764,94.3071115982251,95.5867579115931,102.05998590829208,101.1411888620514,102.14055885849551,102.19672381228101,99.9096609809141,93.68408046830778,96.0165672843765,91.74350288222664,86.21628419030245,81.57343290500246,86.10829625207622,84.93550319990199,84.02458347036091,81.35344473275401,85.74950151496229,82.03951900154789,75.5852358784125,82.11888874501531
