"Ohio Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Electric power industry",113.6088589146626,115.96603130531575,117.7144860226545,120.56287831254666,116.70379492610562,117.91121410621237,125.15593900403395,122.04430025466733,126.35337631272841,121.62730430245819,127.87813749638664,121.25840258355831,127.78150631636474,131.9151868828052,127.62934098510678,136.35836834086058,132.31776256653635,134.11488294962592,130.88379992175126,116.9372177679623,124.0605034588402,113.57322691924016,96.58572497876882,104.28456227765535,100.39316648843602,84.88329966364111,82.85977655110855,81.34447152716619,78.88463041086833,68.5362023102559,68.15942150177605,69.57449759500209
"Transportation",59.4049751060551,57.6934094604653,58.3565111754638,60.9202617670746,62.865826047938505,64.83456820092769,66.41722594260439,68.468908885245,70.2919889592131,73.7305759758264,74.37432588868371,73.2473050595409,73.5738479457672,74.568541587305,74.5904539621988,73.8214023188647,72.6190662421552,71.8653288568595,68.964226241739,64.296915955096,63.1598733132888,61.7936680329661,60.504007408794905,60.0532220779423,61.904141395579806,62.193764544842004,61.898872150949096,62.846989681231705,63.1791850654995,62.0495449637502,56.4649357023491,60.635375370713795
"Industry",71.5377204906141,68.23927224572155,68.66873561398229,68.91888183481635,68.70907332276238,68.74626871071818,68.89779996816605,67.97404987067999,67.4128830936945,66.30646790476939,63.628690824348524,60.9407738715358,58.49707608557714,56.118726243520925,57.34297481912482,55.9624104501382,56.442471336198885,56.89961767262041,56.687986473806845,46.289273717481,46.27863299911181,46.35582050415376,46.47229576568979,46.859154837439675,46.8787574921694,47.47524700089249,45.81574035677325,47.73017782352552,52.91455664176646,48.3962714493278,46.650054461198465,52.75892900002659
"Commercial",21.4318927125088,22.849980426059606,22.622435726259702,21.856782964836295,21.614964727500002,21.8620035212624,23.0317646505075,22.0308627878978,20.018879188152,19.665563979979595,20.4885999281821,19.6879444890181,19.496909642081704,19.929218228236298,19.965392326893703,19.215644627504098,17.967405583143098,19.049460660070398,19.936183867194,20.2871011591905,20.965043968670397,20.0275924096354,19.951454761487305,21.1678553871915,21.3111764679506,21.3822259844062,19.025892092163698,19.0735259998262,19.9839920662322,20.2361230174538,19.908421961885097,20.528937077936902
"Residential",20.9801413619084,21.6411996351061,22.6033221955834,23.2378721741467,22.458306585122298,23.4682716808843,24.891557404253497,23.531274211556102,19.8269384122273,21.8189890036703,22.675868131507602,20.130444397704398,21.088115411755496,22.491631214557202,21.233186600078,20.976340183090198,17.8056529115933,19.472468742998203,19.778231330149097,19.147079621773205,18.490263819243502,18.5627999132237,16.2436969521897,19.0694481873611,20.9207324482528,18.980180753876297,17.252439158707702,17.4413965007048,19.925464585495202,19.5058909245334,18.2299632637303,18.4848460049318
"Agriculture",14.067383744437803,12.321244103008102,13.912299356943501,12.797802421619398,12.832838369760301,14.5413240889501,13.5441626275289,12.092739610093599,12.3250862108903,12.3626932711416,12.444306119686898,13.999712033442199,13.304944556152599,12.713397511014799,12.8148348959538,13.3532751036687,13.526742989194998,13.265522484101599,14.148637954839398,13.771963700742802,14.285314824107,13.6467706655082,12.997884591319199,13.915851882578103,13.460633534123202,14.279413756371598,13.822173863354902,13.861234309656702,14.4669380920279,13.648067774263401,13.3790681503329,13.432773910571699
"Gross total",301.0309723301868,298.7111371756764,303.87779009088723,308.29447947503996,305.18480397918904,311.3636503089551,321.93844959709435,316.14213562013975,316.22915217690564,315.51159443784553,321.48992838879553,309.26458243479976,313.74239995769886,317.73670166743943,313.57618358935594,319.6874410241265,310.6791016288218,314.6672813662761,310.3990657894796,280.7295519222458,287.23963238326166,273.9598784447273,252.75506445824976,265.35009465016805,264.86860782651183,249.19413170402973,240.6748941730572,242.2977958421111,249.3547668618896,232.3721004395845,222.7918650412719,235.41535895918287
